opposingHand,winningChance,drawChance,lostChance
SPADES KING SPADES FOUR
SPADES TEN HEARTS FIVE,0.62,0.0082,0.3718
SPADES JACK HEARTS FIVE,0.6214,0.0094,0.3692
SPADES FIVE CLUBS JACK,0.617,0.0074,0.3756
SPADES FIVE CLUBS TEN,0.621,0.0066,0.3724
CLUBS EIGHT CLUBS JACK,0.5596,0.0058,0.4346
CLUBS EIGHT CLUBS TEN,0.5424,0.007,0.4506
CLUBS EIGHT CLUBS KING,0.2624,0.207,0.5306
SPADES FIVE CLUBS ACE,0.383,0.0062,0.6108
CLUBS EIGHT CLUBS QUEEN,0.5638,0.008,0.4282
SPADES FIVE CLUBS KING,0.2506,0.4356,0.3138
SPADES FIVE CLUBS QUEEN,0.619,0.0082,0.3728
CLUBS EIGHT CLUBS ACE,0.378,0.0062,0.6158
DIAMONDS TWO DIAMONDS THREE,0.6228,0.012,0.3652
DIAMONDS TWO DIAMONDS FIVE,0.601,0.0082,0.3908
DIAMONDS TWO DIAMONDS FOUR,0.681,0.0336,0.2854
SPADES QUEEN HEARTS FIVE,0.619,0.0096,0.3714
DIAMONDS TWO DIAMONDS SEVEN,0.6162,0.0104,0.3734
DIAMONDS TWO DIAMONDS SIX,0.6106,0.0062,0.3832
SPADES ACE HEARTS FIVE,0.3662,0.0052,0.6286
DIAMONDS TWO DIAMONDS NINE,0.6048,0.0074,0.3878
DIAMONDS TWO DIAMONDS EIGHT,0.6202,0.0076,0.3722
DIAMONDS THREE DIAMONDS FOUR,0.6768,0.0324,0.2908
DIAMONDS THREE DIAMONDS FIVE,0.5958,0.0106,0.3936
CLUBS TWO SPADES FIVE,0.6328,0.0084,0.3588
CLUBS TWO SPADES TWO,0.4764,0.017,0.5066
CLUBS TWO SPADES THREE,0.6654,0.0102,0.3244
DIAMONDS THREE DIAMONDS EIGHT,0.618,0.0102,0.3718
SPADES EIGHT CLUBS TWO,0.6522,0.0118,0.336
DIAMONDS THREE DIAMONDS NINE,0.6074,0.0078,0.3848
SPADES NINE CLUBS TWO,0.6448,0.0096,0.3456
DIAMONDS THREE DIAMONDS SIX,0.5938,0.0102,0.396
CLUBS TWO SPADES SIX,0.6416,0.0104,0.348
DIAMONDS THREE DIAMONDS SEVEN,0.617,0.0098,0.3732
SPADES SEVEN CLUBS TWO,0.6484,0.009,0.3426
CLUBS SIX CLUBS TWO,0.6108,0.0094,0.3798
CLUBS SEVEN CLUBS TWO,0.6316,0.008,0.3604
