opposingHand,winningChance,drawChance,lostChance
SPADES KING SPADES SIX
SPADES TEN HEARTS FIVE,0.6454,0.0074,0.3472
SPADES JACK HEARTS FIVE,0.648,0.009,0.343
SPADES FIVE CLUBS JACK,0.6454,0.0094,0.3452
SPADES FIVE CLUBS TEN,0.644,0.0078,0.3482
CLUBS EIGHT CLUBS JACK,0.573,0.0072,0.4198
CLUBS EIGHT CLUBS TEN,0.5572,0.0052,0.4376
CLUBS EIGHT CLUBS KING,0.2728,0.2082,0.519
SPADES FIVE CLUBS ACE,0.4102,0.0054,0.5844
CLUBS EIGHT CLUBS QUEEN,0.5774,0.0086,0.414
SPADES FIVE CLUBS KING,0.427,0.3552,0.2178
SPADES FIVE CLUBS QUEEN,0.643,0.0064,0.3506
CLUBS EIGHT CLUBS ACE,0.3758,0.0032,0.621
DIAMONDS TWO DIAMONDS THREE,0.6194,0.0106,0.37
DIAMONDS TWO DIAMONDS FIVE,0.6304,0.006,0.3636
DIAMONDS TWO DIAMONDS FOUR,0.627,0.01,0.363
SPADES QUEEN HEARTS FIVE,0.6544,0.0072,0.3384
DIAMONDS TWO DIAMONDS SEVEN,0.6232,0.0108,0.366
DIAMONDS TWO DIAMONDS SIX,0.6906,0.0366,0.2728
SPADES ACE HEARTS FIVE,0.4028,0.0048,0.5924
DIAMONDS TWO DIAMONDS NINE,0.6172,0.0094,0.3734
DIAMONDS TWO DIAMONDS EIGHT,0.6244,0.008,0.3676
DIAMONDS THREE DIAMONDS FOUR,0.5972,0.0088,0.394
CLUBS TWO SPADES FOUR,0.6708,0.0098,0.3194
DIAMONDS THREE DIAMONDS FIVE,0.6114,0.009,0.3796
CLUBS TWO SPADES FIVE,0.6684,0.0136,0.318
CLUBS TWO SPADES TWO,0.4806,0.0164,0.503
CLUBS TWO SPADES THREE,0.6596,0.008,0.3324
DIAMONDS THREE DIAMONDS EIGHT,0.6052,0.0074,0.3874
SPADES EIGHT CLUBS TWO,0.6594,0.0078,0.3328
DIAMONDS THREE DIAMONDS NINE,0.6232,0.0074,0.3694
SPADES NINE CLUBS TWO,0.6418,0.0116,0.3466
DIAMONDS THREE DIAMONDS SIX,0.674,0.0338,0.2922
DIAMONDS THREE DIAMONDS SEVEN,0.6096,0.0074,0.383
SPADES SEVEN CLUBS TWO,0.6608,0.0094,0.3298
CLUBS SIX CLUBS TWO,0.6972,0.036,0.2668
CLUBS SEVEN CLUBS TWO,0.6152,0.0066,0.3782
CLUBS FOUR CLUBS TWO,0.6252,0.0102,0.3646
CLUBS FIVE CLUBS TWO,0.6166,0.0088,0.3746
CLUBS JACK CLUBS TEN,0.54,0.0092,0.4508
DIAMONDS FOUR DIAMONDS SIX,0.6742,0.0318,0.294
CLUBS QUEEN CLUBS TEN,0.5358,0.0062,0.458
DIAMONDS FOUR DIAMONDS SEVEN,0.5888,0.0086,0.4026
CLUBS KING CLUBS TEN,0.2526,0.1084,0.639
CLUBS ACE CLUBS TEN,0.3728,0.0038,0.6234
CLUBS EIGHT CLUBS TWO,0.623,0.0076,0.3694
DIAMONDS FIVE DIAMONDS FOUR,0.6144,0.0076,0.378
CLUBS NINE CLUBS TWO,0.6156,0.0078,0.3766
DIAMONDS NINE DIAMONDS FOUR,0.6118,0.0094,0.3788
DIAMONDS EIGHT DIAMONDS FOUR,0.6128,0.006,0.3812
CLUBS TWO CLUBS THREE,0.6272,0.0094,0.3634
DIAMONDS NINE DIAMONDS FIVE,0.614,0.0068,0.3792
DIAMONDS TWO CLUBS JACK,0.6476,0.0084,0.344
DIAMONDS EIGHT DIAMONDS FIVE,0.5982,0.006,0.3958
DIAMONDS TWO CLUBS TEN,0.6614,0.0074,0.3312
DIAMONDS FIVE DIAMONDS SEVEN,0.6028,0.0082,0.389
DIAMONDS FIVE DIAMONDS SIX,0.656,0.0348,0.3092
DIAMONDS TWO CLUBS ACE,0.4438,0.004,0.5522
DIAMONDS TWO CLUBS KING,0.4306,0.36,0.2094
DIAMONDS TWO CLUBS QUEEN,0.6448,0.0098,0.3454
DIAMONDS EIGHT DIAMONDS SIX,0.6582,0.0318,0.31
DIAMONDS NINE DIAMONDS SIX,0.6668,0.0344,0.2988
SPADES THREE HEARTS ACE,0.4184,0.0072,0.5744
HEARTS KING SPADES THREE,0.4224,0.3706,0.207
DIAMONDS SEVEN DIAMONDS SIX,0.6604,0.029,0.3106
SPADES THREE HEARTS QUEEN,0.6502,0.0084,0.3414
SPADES THREE HEARTS JACK,0.646,0.0086,0.3454
SPADES THREE HEARTS TEN,0.6516,0.0076,0.3408
DIAMONDS EIGHT DIAMONDS SEVEN,0.5618,0.0088,0.4294
DIAMONDS NINE DIAMONDS SEVEN,0.569,0.006,0.425
DIAMONDS NINE DIAMONDS EIGHT,0.5524,0.0084,0.4392
DIAMONDS KING HEARTS TEN,0.2784,0.11,0.6116
HEARTS THREE HEARTS TEN,0.6154,0.0086,0.376
SPADES JACK CLUBS SIX,0.7398,0.037,0.2232
DIAMONDS KING HEARTS JACK,0.2844,0.077,0.6386
HEARTS THREE HEARTS JACK,0.6098,0.0076,0.3826
CLUBS SIX SPADES TEN,0.7316,0.0332,0.2352
SPADES JACK SPADES FIVE,0.6312,0.0092,0.3596
SPADES TEN SPADES FIVE,0.6404,0.0098,0.3498
DIAMONDS KING HEARTS ACE,0.2828,0.0118,0.7054
HEARTS THREE HEARTS ACE,0.4102,0.005,0.5848
SPADES ACE CLUBS SIX,0.2588,0.0276,0.7136
DIAMONDS KING HEARTS QUEEN,0.2888,0.0652,0.646
HEARTS THREE HEARTS QUEEN,0.6042,0.0076,0.3882
DIAMONDS KING HEARTS KING,0.1292,0.0144,0.8564
HEARTS THREE HEARTS KING,0.4234,0.3304,0.2462
SPADES QUEEN CLUBS SIX,0.736,0.0372,0.2268
SPADES NINE HEARTS TEN,0.563,0.0098,0.4272
