opposingHand,winningChance,drawChance,lostChance
SPADES KING SPADES TEN
SPADES JACK HEARTS FIVE,0.6668,0.0056,0.3276
SPADES FIVE CLUBS JACK,0.6718,0.008,0.3202
SPADES FIVE CLUBS TEN,0.7388,0.034,0.2272
CLUBS EIGHT CLUBS JACK,0.613,0.0098,0.3772
CLUBS EIGHT CLUBS TEN,0.6798,0.0324,0.2878
CLUBS EIGHT CLUBS KING,0.6402,0.1028,0.257
SPADES FIVE CLUBS ACE,0.4388,0.0052,0.556
CLUBS EIGHT CLUBS QUEEN,0.6188,0.0068,0.3744
SPADES FIVE CLUBS KING,0.6604,0.109,0.2306
SPADES FIVE CLUBS QUEEN,0.6788,0.0096,0.3116
CLUBS EIGHT CLUBS ACE,0.4312,0.0046,0.5642
DIAMONDS TWO DIAMONDS THREE,0.6288,0.0094,0.3618
DIAMONDS TWO DIAMONDS FIVE,0.6244,0.0088,0.3668
DIAMONDS TWO DIAMONDS FOUR,0.622,0.009,0.369
SPADES QUEEN HEARTS FIVE,0.6634,0.0088,0.3278
DIAMONDS TWO DIAMONDS SEVEN,0.6514,0.009,0.3396
DIAMONDS TWO DIAMONDS SIX,0.6474,0.0086,0.344
SPADES ACE HEARTS FIVE,0.4418,0.005,0.5532
DIAMONDS TWO DIAMONDS NINE,0.6642,0.0076,0.3282
DIAMONDS TWO DIAMONDS EIGHT,0.647,0.0078,0.3452
DIAMONDS THREE DIAMONDS FOUR,0.614,0.007,0.379
CLUBS TWO SPADES FOUR,0.6724,0.0088,0.3188
DIAMONDS THREE DIAMONDS FIVE,0.6084,0.008,0.3836
CLUBS TWO SPADES FIVE,0.6704,0.0096,0.32
CLUBS TWO SPADES TWO,0.529,0.0098,0.4612
CLUBS TWO SPADES THREE,0.667,0.0076,0.3254
DIAMONDS THREE DIAMONDS EIGHT,0.6478,0.0068,0.3454
SPADES EIGHT CLUBS TWO,0.6836,0.0096,0.3068
DIAMONDS THREE DIAMONDS NINE,0.6434,0.007,0.3496
SPADES NINE CLUBS TWO,0.695,0.0078,0.2972
DIAMONDS THREE DIAMONDS SIX,0.6418,0.0078,0.3504
SPADES SIX CLUBS TWO,0.6882,0.0082,0.3036
DIAMONDS THREE DIAMONDS SEVEN,0.6474,0.0076,0.345
SPADES SEVEN CLUBS TWO,0.6964,0.0084,0.2952
CLUBS SIX CLUBS TWO,0.6462,0.0064,0.3474
CLUBS SEVEN CLUBS TWO,0.6506,0.0062,0.3432
CLUBS FOUR CLUBS TWO,0.627,0.009,0.364
CLUBS FIVE CLUBS TWO,0.6348,0.0094,0.3558
CLUBS JACK CLUBS TEN,0.68,0.0272,0.2928
DIAMONDS FOUR DIAMONDS SIX,0.6118,0.0062,0.382
CLUBS QUEEN CLUBS TEN,0.6952,0.0236,0.2812
DIAMONDS FOUR DIAMONDS SEVEN,0.6318,0.0102,0.358
CLUBS KING CLUBS TEN,0.0682,0.8614,0.0704
CLUBS ACE CLUBS TEN,0.2812,0.019,0.6998
CLUBS EIGHT CLUBS TWO,0.6376,0.0074,0.355
DIAMONDS FIVE DIAMONDS FOUR,0.613,0.0076,0.3794
CLUBS NINE CLUBS TWO,0.6586,0.0068,0.3346
DIAMONDS NINE DIAMONDS FOUR,0.6642,0.0058,0.33
DIAMONDS EIGHT DIAMONDS FOUR,0.6596,0.0074,0.333
CLUBS TWO CLUBS THREE,0.6254,0.007,0.3676
DIAMONDS NINE DIAMONDS FIVE,0.6398,0.0056,0.3546
DIAMONDS TWO CLUBS JACK,0.6782,0.0074,0.3144
DIAMONDS EIGHT DIAMONDS FIVE,0.6304,0.0064,0.3632
DIAMONDS TWO CLUBS TEN,0.7692,0.0352,0.1956
DIAMONDS FIVE DIAMONDS SEVEN,0.621,0.0056,0.3734
DIAMONDS FIVE DIAMONDS SIX,0.6076,0.0084,0.384
DIAMONDS TWO CLUBS ACE,0.4604,0.0042,0.5354
DIAMONDS TWO CLUBS KING,0.679,0.1058,0.2152
DIAMONDS TWO CLUBS QUEEN,0.685,0.0084,0.3066
DIAMONDS EIGHT DIAMONDS SIX,0.6266,0.0074,0.366
DIAMONDS NINE DIAMONDS SIX,0.626,0.0082,0.3658
SPADES THREE HEARTS ACE,0.4504,0.0076,0.542
HEARTS KING SPADES THREE,0.6646,0.1184,0.217
DIAMONDS SEVEN DIAMONDS SIX,0.6074,0.0078,0.3848
SPADES THREE HEARTS QUEEN,0.6654,0.007,0.3276
SPADES THREE HEARTS JACK,0.6674,0.008,0.3246
SPADES THREE HEARTS TEN,0.7512,0.0334,0.2154
DIAMONDS EIGHT DIAMONDS SEVEN,0.613,0.0052,0.3818
DIAMONDS NINE DIAMONDS SEVEN,0.6402,0.0066,0.3532
DIAMONDS NINE DIAMONDS EIGHT,0.6204,0.0068,0.3728
DIAMONDS KING HEARTS TEN,0.0682,0.9106,0.0212
HEARTS THREE HEARTS TEN,0.7086,0.0282,0.2632
SPADES JACK CLUBS SIX,0.6638,0.0092,0.327
DIAMONDS KING HEARTS JACK,0.2894,0.08,0.6306
HEARTS THREE HEARTS JACK,0.6312,0.0068,0.362
SPADES JACK SPADES FIVE,0.6686,0.008,0.3234
DIAMONDS KING HEARTS ACE,0.2968,0.009,0.6942
HEARTS THREE HEARTS ACE,0.4374,0.0048,0.5578
SPADES ACE CLUBS SIX,0.4494,0.006,0.5446
DIAMONDS KING HEARTS QUEEN,0.2824,0.0586,0.659
