opposingHand,winningChance,drawChance,lostChance
SPADES KING SPADES THREE
SPADES TEN HEARTS FIVE,0.6142,0.0094,0.3764
SPADES JACK HEARTS FIVE,0.6112,0.009,0.3798
SPADES FIVE CLUBS JACK,0.6104,0.0108,0.3788
SPADES FIVE CLUBS TEN,0.6188,0.0086,0.3726
CLUBS EIGHT CLUBS JACK,0.5646,0.0066,0.4288
CLUBS EIGHT CLUBS TEN,0.5548,0.0076,0.4376
CLUBS EIGHT CLUBS KING,0.2576,0.2066,0.5358
SPADES FIVE CLUBS ACE,0.3766,0.006,0.6174
CLUBS EIGHT CLUBS QUEEN,0.5706,0.0066,0.4228
SPADES FIVE CLUBS KING,0.2636,0.4416,0.2948
SPADES FIVE CLUBS QUEEN,0.6236,0.0072,0.3692
CLUBS EIGHT CLUBS ACE,0.3686,0.0056,0.6258
DIAMONDS TWO DIAMONDS THREE,0.685,0.0264,0.2886
DIAMONDS TWO DIAMONDS FIVE,0.5904,0.0104,0.3992
DIAMONDS TWO DIAMONDS FOUR,0.594,0.0086,0.3974
SPADES QUEEN HEARTS FIVE,0.6142,0.0088,0.377
DIAMONDS TWO DIAMONDS SEVEN,0.623,0.0102,0.3668
DIAMONDS TWO DIAMONDS SIX,0.6008,0.0062,0.393
SPADES ACE HEARTS FIVE,0.369,0.0066,0.6244
DIAMONDS TWO DIAMONDS NINE,0.5982,0.0084,0.3934
DIAMONDS TWO DIAMONDS EIGHT,0.604,0.009,0.387
DIAMONDS THREE DIAMONDS FOUR,0.6704,0.0288,0.3008
CLUBS TWO SPADES FOUR,0.642,0.01,0.348
DIAMONDS THREE DIAMONDS FIVE,0.6588,0.0306,0.3106
CLUBS TWO SPADES FIVE,0.6366,0.0116,0.3518
CLUBS TWO SPADES TWO,0.4544,0.0226,0.523
DIAMONDS THREE DIAMONDS EIGHT,0.6946,0.0266,0.2788
SPADES EIGHT CLUBS TWO,0.6564,0.0082,0.3354
