opposingHand,winningChance,drawChance,lostChance
SPADES NINE CLUBS ACE
HEARTS FIVE SPADES TEN,0.6356,0.0034,0.361
SPADES JACK HEARTS FIVE,0.6296,0.0034,0.367
SPADES FIVE CLUBS JACK,0.6376,0.0044,0.358
SPADES FIVE CLUBS TEN,0.6394,0.005,0.3556
CLUBS EIGHT CLUBS JACK,0.596,0.0056,0.3984
CLUBS EIGHT CLUBS TEN,0.587,0.0054,0.4076
CLUBS EIGHT CLUBS KING,0.6126,0.0058,0.3816
CLUBS EIGHT CLUBS QUEEN,0.6082,0.0058,0.386
SPADES FIVE CLUBS KING,0.6332,0.0058,0.361
SPADES FIVE CLUBS QUEEN,0.6524,0.0068,0.3408
DIAMONDS TWO DIAMONDS THREE,0.6092,0.005,0.3858
DIAMONDS TWO DIAMONDS FIVE,0.5912,0.0036,0.4052
SPADES KING HEARTS FIVE,0.6366,0.006,0.3574
DIAMONDS TWO DIAMONDS FOUR,0.6012,0.0058,0.393
SPADES QUEEN HEARTS FIVE,0.6394,0.0038,0.3568
DIAMONDS TWO DIAMONDS SEVEN,0.6378,0.0044,0.3578
DIAMONDS TWO DIAMONDS SIX,0.6324,0.005,0.3626
SPADES ACE HEARTS FIVE,0.577,0.1726,0.2504
DIAMONDS TWO DIAMONDS NINE,0.7078,0.0276,0.2646
DIAMONDS TWO DIAMONDS EIGHT,0.6284,0.004,0.3676
DIAMONDS THREE DIAMONDS FOUR,0.5964,0.004,0.3996
CLUBS TWO SPADES FOUR,0.6602,0.0058,0.334
DIAMONDS THREE DIAMONDS FIVE,0.5884,0.0038,0.4078
CLUBS TWO SPADES FIVE,0.6592,0.0076,0.3332
CLUBS TWO SPADES TWO,0.4694,0.008,0.5226
CLUBS TWO SPADES THREE,0.6684,0.0054,0.3262
DIAMONDS THREE DIAMONDS EIGHT,0.6228,0.0036,0.3736
SPADES EIGHT CLUBS TWO,0.6894,0.0052,0.3054
DIAMONDS THREE DIAMONDS NINE,0.7182,0.0234,0.2584
DIAMONDS THREE DIAMONDS SIX,0.6142,0.0032,0.3826
CLUBS TWO SPADES SIX,0.675,0.0056,0.3194
DIAMONDS THREE DIAMONDS SEVEN,0.6234,0.005,0.3716
SPADES SEVEN CLUBS TWO,0.6796,0.004,0.3164
CLUBS SIX CLUBS TWO,0.6364,0.0042,0.3594
CLUBS SEVEN CLUBS TWO,0.6506,0.0038,0.3456
CLUBS FOUR CLUBS TWO,0.6318,0.0048,0.3634
CLUBS FIVE CLUBS TWO,0.6188,0.0056,0.3756
CLUBS JACK CLUBS TEN,0.533,0.0042,0.4628
DIAMONDS FOUR DIAMONDS SIX,0.6026,0.003,0.3944
CLUBS QUEEN CLUBS TEN,0.5446,0.0036,0.4518
DIAMONDS FOUR DIAMONDS SEVEN,0.6136,0.0056,0.3808
CLUBS KING CLUBS TEN,0.563,0.0056,0.4314
CLUBS EIGHT CLUBS TWO,0.6484,0.0064,0.3452
DIAMONDS FIVE DIAMONDS FOUR,0.5754,0.0036,0.421
CLUBS NINE CLUBS TWO,0.7172,0.026,0.2568
DIAMONDS NINE DIAMONDS FOUR,0.7048,0.0278,0.2674
DIAMONDS EIGHT DIAMONDS FOUR,0.6212,0.0038,0.375
CLUBS TWO CLUBS THREE,0.6158,0.0058,0.3784
DIAMONDS NINE DIAMONDS FIVE,0.6862,0.0236,0.2902
DIAMONDS TWO CLUBS JACK,0.6416,0.0046,0.3538
DIAMONDS EIGHT DIAMONDS FIVE,0.6096,0.0036,0.3868
DIAMONDS TWO CLUBS TEN,0.642,0.0062,0.3518
DIAMONDS FIVE DIAMONDS SEVEN,0.6002,0.0038,0.396
DIAMONDS FIVE DIAMONDS SIX,0.5856,0.0032,0.4112
DIAMONDS TWO CLUBS KING,0.6346,0.006,0.3594
DIAMONDS TWO CLUBS QUEEN,0.6434,0.0062,0.3504
DIAMONDS EIGHT DIAMONDS SIX,0.594,0.0034,0.4026
DIAMONDS NINE DIAMONDS SIX,0.687,0.0196,0.2934
HEARTS ACE SPADES THREE,0.5856,0.1758,0.2386
HEARTS KING SPADES THREE,0.6398,0.005,0.3552
DIAMONDS SEVEN DIAMONDS SIX,0.6008,0.0036,0.3956
SPADES THREE HEARTS QUEEN,0.634,0.0046,0.3614
SPADES THREE HEARTS JACK,0.6408,0.0052,0.354
SPADES THREE HEARTS TEN,0.652,0.0046,0.3434
DIAMONDS EIGHT DIAMONDS SEVEN,0.5816,0.0048,0.4136
DIAMONDS NINE DIAMONDS SEVEN,0.6674,0.0232,0.3094
DIAMONDS NINE DIAMONDS EIGHT,0.6554,0.0196,0.325
DIAMONDS KING HEARTS TEN,0.5872,0.0044,0.4084
HEARTS THREE HEARTS TEN,0.592,0.0038,0.4042
CLUBS SIX SPADES JACK,0.6456,0.0048,0.3496
DIAMONDS KING HEARTS JACK,0.5756,0.0036,0.4208
HEARTS THREE HEARTS JACK,0.6044,0.0056,0.39
CLUBS SIX SPADES TEN,0.6224,0.0042,0.3734
SPADES JACK SPADES FIVE,0.5888,0.0056,0.4056
SPADES TEN SPADES FIVE,0.6016,0.0048,0.3936
DIAMONDS KING HEARTS ACE,0.2388,0.0466,0.7146
HEARTS THREE HEARTS ACE,0.5482,0.163,0.2888
SPADES ACE CLUBS SIX,0.617,0.1644,0.2186
DIAMONDS KING HEARTS QUEEN,0.5798,0.0034,0.4168
HEARTS THREE HEARTS QUEEN,0.5996,0.0046,0.3958
SPADES KING CLUBS SIX,0.639,0.005,0.356
DIAMONDS KING HEARTS KING,0.2872,0.0028,0.71
HEARTS THREE HEARTS KING,0.5892,0.0066,0.4042
SPADES QUEEN CLUBS SIX,0.6504,0.006,0.3436
SPADES QUEEN SPADES FIVE,0.5966,0.006,0.3974
SPADES KING SPADES FIVE,0.6024,0.0048,0.3928
SPADES ACE SPADES FIVE,0.5556,0.1618,0.2826
SPADES JACK CLUBS TEN,0.5676,0.0036,0.4288
SPADES TEN CLUBS TEN,0.3164,0.0046,0.679
SPADES ACE CLUBS TEN,0.2298,0.1282,0.642
SPADES KING CLUBS TEN,0.5956,0.0042,0.4002
SPADES QUEEN CLUBS TEN,0.5732,0.0026,0.4242
SPADES FIVE HEARTS QUEEN,0.6228,0.0042,0.373
SPADES FIVE HEARTS KING,0.6336,0.0034,0.363
SPADES FIVE HEARTS ACE,0.5762,0.1738,0.25
CLUBS EIGHT SPADES TEN,0.6248,0.0064,0.3688
HEARTS THREE SPADES JACK,0.632,0.003,0.365
SPADES JACK DIAMONDS KING,0.58,0.0042,0.4158
SPADES TEN DIAMONDS KING,0.5752,0.0062,0.4186
HEARTS THREE SPADES TEN,0.6386,0.0036,0.3578
CLUBS EIGHT SPADES JACK,0.6092,0.0034,0.3874
SPADES ACE CLUBS EIGHT,0.6032,0.1756,0.2212
HEARTS FIVE CLUBS JACK,0.6334,0.0036,0.363
CLUBS SIX HEARTS ACE,0.601,0.1728,0.2262
HEARTS FIVE CLUBS TEN,0.6338,0.0052,0.361
CLUBS EIGHT SPADES QUEEN,0.6334,0.0044,0.3622
SPADES THREE CLUBS TEN,0.6344,0.0032,0.3624
CLUBS SIX HEARTS QUEEN,0.6484,0.0036,0.348
CLUBS EIGHT SPADES KING,0.6386,0.0038,0.3576
SPADES THREE CLUBS JACK,0.6402,0.0046,0.3552
CLUBS SIX HEARTS KING,0.6454,0.0044,0.3502
DIAMONDS TWO HEARTS JACK,0.631,0.0044,0.3646
