opposingHand,winningChance,drawChance,lostChance
SPADES NINE CLUBS THREE
HEARTS FIVE SPADES TEN,0.3484,0.0306,0.621
SPADES JACK HEARTS FIVE,0.3532,0.0142,0.6326
SPADES FIVE CLUBS JACK,0.3498,0.0196,0.6306
CLUBS TEN SPADES FIVE,0.3568,0.0296,0.6136
CLUBS EIGHT CLUBS JACK,0.3234,0.0148,0.6618
CLUBS TEN CLUBS EIGHT,0.3192,0.0218,0.659
CLUBS EIGHT CLUBS KING,0.3264,0.007,0.6666
SPADES FIVE CLUBS ACE,0.3312,0.0044,0.6644
CLUBS EIGHT CLUBS QUEEN,0.3438,0.0114,0.6448
SPADES FIVE CLUBS KING,0.3668,0.0076,0.6256
SPADES FIVE CLUBS QUEEN,0.3582,0.0128,0.629
CLUBS EIGHT CLUBS ACE,0.3278,0.0054,0.6668
DIAMONDS TWO DIAMONDS THREE,0.6056,0.1022,0.2922
DIAMONDS TWO DIAMONDS FIVE,0.5272,0.0454,0.4274
SPADES KING HEARTS FIVE,0.3632,0.0088,0.628
DIAMONDS TWO DIAMONDS FOUR,0.5392,0.045,0.4158
SPADES QUEEN HEARTS FIVE,0.3448,0.0142,0.641
DIAMONDS TWO DIAMONDS SEVEN,0.5746,0.0416,0.3838
DIAMONDS TWO DIAMONDS SIX,0.5498,0.0458,0.4044
SPADES ACE HEARTS FIVE,0.3328,0.0048,0.6624
DIAMONDS TWO DIAMONDS NINE,0.2436,0.498,0.2584
DIAMONDS TWO DIAMONDS EIGHT,0.5606,0.0374,0.402
DIAMONDS THREE DIAMONDS FOUR,0.5824,0.1076,0.31
CLUBS TWO SPADES FOUR,0.5956,0.047,0.3574
DIAMONDS THREE DIAMONDS FIVE,0.5894,0.0938,0.3168
CLUBS TWO SPADES FIVE,0.5996,0.0416,0.3588
CLUBS TWO SPADES TWO,0.3756,0.0876,0.5368
CLUBS TWO SPADES THREE,0.6356,0.1102,0.2542
DIAMONDS THREE DIAMONDS EIGHT,0.6238,0.0982,0.278
SPADES EIGHT CLUBS TWO,0.6032,0.0418,0.355
DIAMONDS THREE DIAMONDS NINE,0.02,0.9062,0.0738
DIAMONDS THREE DIAMONDS SIX,0.5882,0.1038,0.308
CLUBS TWO SPADES SIX,0.5974,0.0534,0.3492
DIAMONDS THREE DIAMONDS SEVEN,0.5934,0.1008,0.3058
SPADES SEVEN CLUBS TWO,0.6112,0.048,0.3408
CLUBS SIX CLUBS TWO,0.5564,0.0524,0.3912
CLUBS SEVEN CLUBS TWO,0.5632,0.0432,0.3936
CLUBS TWO CLUBS FOUR,0.549,0.0408,0.4102
CLUBS FIVE CLUBS TWO,0.556,0.0448,0.3992
CLUBS TEN CLUBS JACK,0.2816,0.014,0.7044
DIAMONDS FOUR DIAMONDS SIX,0.5118,0.0422,0.446
CLUBS TEN CLUBS QUEEN,0.2924,0.0088,0.6988
DIAMONDS FOUR DIAMONDS SEVEN,0.509,0.048,0.443
CLUBS TEN CLUBS KING,0.3026,0.0052,0.6922
CLUBS TEN CLUBS ACE,0.2992,0.004,0.6968
CLUBS EIGHT CLUBS TWO,0.5714,0.0396,0.389
DIAMONDS FIVE DIAMONDS FOUR,0.498,0.042,0.46
CLUBS NINE CLUBS TWO,0.2476,0.4952,0.2572
DIAMONDS NINE DIAMONDS FOUR,0.2034,0.4932,0.3034
DIAMONDS EIGHT DIAMONDS FOUR,0.525,0.0382,0.4368
DIAMONDS NINE DIAMONDS FIVE,0.2002,0.42,0.3798
DIAMONDS TWO CLUBS JACK,0.3806,0.0184,0.601
DIAMONDS EIGHT DIAMONDS FIVE,0.5166,0.0362,0.4472
CLUBS TEN DIAMONDS TWO,0.3924,0.0272,0.5804
DIAMONDS FIVE DIAMONDS SEVEN,0.5042,0.0412,0.4546
DIAMONDS FIVE DIAMONDS SIX,0.4914,0.0454,0.4632
DIAMONDS TWO CLUBS ACE,0.379,0.0068,0.6142
DIAMONDS TWO CLUBS KING,0.3942,0.011,0.5948
DIAMONDS TWO CLUBS QUEEN,0.3956,0.0126,0.5918
DIAMONDS EIGHT DIAMONDS SIX,0.4988,0.0356,0.4656
DIAMONDS NINE DIAMONDS SIX,0.2114,0.3446,0.444
HEARTS ACE SPADES THREE,0.2446,0.0206,0.7348
HEARTS KING SPADES THREE,0.2444,0.0346,0.721
DIAMONDS SEVEN DIAMONDS SIX,0.485,0.0424,0.4726
