opposingHand,winningChance,drawChance,lostChance
SPADES NINE DIAMONDS SIX
HEARTS FIVE SPADES TEN,0.4052,0.0278,0.567
HEARTS FIVE SPADES JACK,0.4034,0.0144,0.5822
SPADES FIVE CLUBS JACK,0.407,0.016,0.577
CLUBS TEN SPADES FIVE,0.408,0.0234,0.5686
CLUBS EIGHT CLUBS JACK,0.3344,0.0134,0.6522
CLUBS TEN CLUBS EIGHT,0.3272,0.0234,0.6494
CLUBS EIGHT CLUBS KING,0.3624,0.0052,0.6324
SPADES FIVE CLUBS ACE,0.3998,0.005,0.5952
CLUBS EIGHT CLUBS QUEEN,0.3492,0.0092,0.6416
SPADES FIVE CLUBS KING,0.409,0.006,0.585
SPADES FIVE CLUBS QUEEN,0.4164,0.0086,0.575
CLUBS EIGHT CLUBS ACE,0.348,0.0044,0.6476
DIAMONDS TWO DIAMONDS THREE,0.597,0.0412,0.3618
DIAMONDS TWO DIAMONDS FIVE,0.574,0.0484,0.3776
HEARTS FIVE SPADES KING,0.4294,0.0072,0.5634
DIAMONDS TWO DIAMONDS FOUR,0.5844,0.044,0.3716
HEARTS FIVE SPADES QUEEN,0.402,0.0114,0.5866
DIAMONDS TWO DIAMONDS SEVEN,0.5894,0.0428,0.3678
SPADES ACE HEARTS FIVE,0.4006,0.005,0.5944
DIAMONDS TWO DIAMONDS NINE,0.3994,0.3502,0.2504
DIAMONDS TWO DIAMONDS EIGHT,0.6022,0.0388,0.359
DIAMONDS THREE DIAMONDS FOUR,0.5674,0.0426,0.39
SPADES FOUR CLUBS TWO,0.6076,0.0466,0.3458
DIAMONDS THREE DIAMONDS FIVE,0.58,0.0458,0.3742
SPADES FIVE CLUBS TWO,0.6162,0.0416,0.3422
CLUBS TWO SPADES TWO,0.4114,0.0768,0.5118
CLUBS TWO SPADES THREE,0.6234,0.0398,0.3368
DIAMONDS THREE DIAMONDS EIGHT,0.5988,0.0432,0.358
SPADES EIGHT CLUBS TWO,0.6318,0.0378,0.3304
DIAMONDS THREE DIAMONDS NINE,0.3978,0.3534,0.2488
SPADES SIX CLUBS TWO,0.6572,0.1162,0.2266
DIAMONDS THREE DIAMONDS SEVEN,0.5934,0.0368,0.3698
SPADES SEVEN CLUBS TWO,0.6352,0.0414,0.3234
CLUBS SIX CLUBS TWO,0.613,0.105,0.282
CLUBS SEVEN CLUBS TWO,0.5902,0.0386,0.3712
CLUBS FOUR CLUBS TWO,0.5764,0.0454,0.3782
CLUBS FIVE CLUBS TWO,0.5676,0.0432,0.3892
CLUBS TEN CLUBS JACK,0.3006,0.0146,0.6848
CLUBS TEN CLUBS QUEEN,0.3162,0.0124,0.6714
DIAMONDS FOUR DIAMONDS SEVEN,0.582,0.0424,0.3756
CLUBS TEN CLUBS KING,0.3254,0.0058,0.6688
CLUBS TEN CLUBS ACE,0.3264,0.0048,0.6688
CLUBS EIGHT CLUBS TWO,0.5884,0.0402,0.3714
DIAMONDS FIVE DIAMONDS FOUR,0.5676,0.043,0.3894
CLUBS NINE CLUBS TWO,0.3842,0.3534,0.2624
DIAMONDS NINE DIAMONDS FOUR,0.4012,0.3506,0.2482
DIAMONDS FOUR DIAMONDS EIGHT,0.5816,0.0414,0.377
CLUBS THREE CLUBS TWO,0.5824,0.0428,0.3748
