opposingHand,winningChance,drawChance,lostChance
SPADES NINE HEARTS ACE
HEARTS FIVE SPADES TEN,0.6506,0.0056,0.3438
SPADES JACK HEARTS FIVE,0.6276,0.004,0.3684
SPADES FIVE CLUBS JACK,0.6346,0.0036,0.3618
CLUBS TEN SPADES FIVE,0.6348,0.0046,0.3606
CLUBS EIGHT CLUBS JACK,0.5806,0.0048,0.4146
CLUBS TEN CLUBS EIGHT,0.5776,0.0038,0.4186
CLUBS EIGHT CLUBS KING,0.5846,0.003,0.4124
SPADES FIVE CLUBS ACE,0.577,0.1742,0.2488
CLUBS EIGHT CLUBS QUEEN,0.5898,0.0048,0.4054
SPADES FIVE CLUBS KING,0.638,0.0048,0.3572
SPADES FIVE CLUBS QUEEN,0.645,0.0036,0.3514
CLUBS EIGHT CLUBS ACE,0.5526,0.1614,0.286
DIAMONDS TWO DIAMONDS THREE,0.602,0.0034,0.3946
DIAMONDS TWO DIAMONDS FIVE,0.6074,0.003,0.3896
SPADES KING HEARTS FIVE,0.6374,0.006,0.3566
DIAMONDS TWO DIAMONDS FOUR,0.5934,0.0062,0.4004
SPADES QUEEN HEARTS FIVE,0.6296,0.0056,0.3648
DIAMONDS TWO DIAMONDS SEVEN,0.6312,0.003,0.3658
DIAMONDS TWO DIAMONDS SIX,0.6056,0.004,0.3904
SPADES ACE HEARTS FIVE,0.5904,0.1724,0.2372
DIAMONDS TWO DIAMONDS NINE,0.7,0.0218,0.2782
DIAMONDS TWO DIAMONDS EIGHT,0.6316,0.0028,0.3656
DIAMONDS THREE DIAMONDS FOUR,0.6014,0.0042,0.3944
SPADES FOUR CLUBS TWO,0.6522,0.0054,0.3424
DIAMONDS THREE DIAMONDS FIVE,0.5932,0.006,0.4008
SPADES FIVE CLUBS TWO,0.648,0.0062,0.3458
CLUBS TWO SPADES TWO,0.474,0.0058,0.5202
CLUBS TWO SPADES THREE,0.6536,0.005,0.3414
DIAMONDS THREE DIAMONDS EIGHT,0.6294,0.003,0.3676
SPADES EIGHT CLUBS TWO,0.682,0.0046,0.3134
DIAMONDS THREE DIAMONDS NINE,0.6966,0.0242,0.2792
DIAMONDS THREE DIAMONDS SIX,0.606,0.0034,0.3906
SPADES SIX CLUBS TWO,0.6776,0.003,0.3194
DIAMONDS THREE DIAMONDS SEVEN,0.6428,0.0046,0.3526
SPADES SEVEN CLUBS TWO,0.668,0.006,0.326
CLUBS SIX CLUBS TWO,0.6216,0.005,0.3734
CLUBS SEVEN CLUBS TWO,0.6262,0.0042,0.3696
CLUBS FOUR CLUBS TWO,0.6042,0.0048,0.391
CLUBS FIVE CLUBS TWO,0.6134,0.0048,0.3818
CLUBS TEN CLUBS JACK,0.5084,0.005,0.4866
DIAMONDS FOUR DIAMONDS SIX,0.5884,0.0054,0.4062
CLUBS TEN CLUBS QUEEN,0.5376,0.0064,0.456
DIAMONDS FOUR DIAMONDS SEVEN,0.6124,0.0038,0.3838
CLUBS TEN CLUBS KING,0.5504,0.0034,0.4462
CLUBS TEN CLUBS ACE,0.224,0.1084,0.6676
CLUBS EIGHT CLUBS TWO,0.6476,0.004,0.3484
DIAMONDS FIVE DIAMONDS FOUR,0.5778,0.004,0.4182
CLUBS NINE CLUBS TWO,0.7192,0.026,0.2548
DIAMONDS NINE DIAMONDS FOUR,0.7026,0.024,0.2734
DIAMONDS EIGHT DIAMONDS FOUR,0.599,0.0052,0.3958
CLUBS THREE CLUBS TWO,0.613,0.0038,0.3832
DIAMONDS NINE DIAMONDS FIVE,0.6944,0.022,0.2836
DIAMONDS TWO CLUBS JACK,0.6448,0.004,0.3512
DIAMONDS EIGHT DIAMONDS FIVE,0.6112,0.0048,0.384
CLUBS TEN DIAMONDS TWO,0.649,0.0054,0.3456
DIAMONDS FIVE DIAMONDS SEVEN,0.5842,0.0036,0.4122
DIAMONDS FIVE DIAMONDS SIX,0.5894,0.0038,0.4068
DIAMONDS TWO CLUBS ACE,0.5758,0.1688,0.2554
DIAMONDS TWO CLUBS KING,0.6516,0.0042,0.3442
DIAMONDS TWO CLUBS QUEEN,0.6422,0.004,0.3538
DIAMONDS EIGHT DIAMONDS SIX,0.5888,0.0046,0.4066
DIAMONDS NINE DIAMONDS SIX,0.6868,0.0242,0.289
HEARTS KING SPADES THREE,0.6476,0.0038,0.3486
DIAMONDS SEVEN DIAMONDS SIX,0.5914,0.003,0.4056
SPADES THREE HEARTS QUEEN,0.6414,0.0056,0.353
SPADES THREE HEARTS JACK,0.6574,0.006,0.3366
SPADES THREE HEARTS TEN,0.6504,0.0048,0.3448
DIAMONDS EIGHT DIAMONDS SEVEN,0.5922,0.0028,0.405
DIAMONDS NINE DIAMONDS SEVEN,0.6584,0.0206,0.321
DIAMONDS NINE DIAMONDS EIGHT,0.6544,0.0226,0.323
DIAMONDS KING HEARTS TEN,0.5822,0.0044,0.4134
HEARTS THREE HEARTS TEN,0.6102,0.0054,0.3844
SPADES JACK CLUBS SIX,0.6332,0.0044,0.3624
DIAMONDS KING HEARTS JACK,0.589,0.0054,0.4056
HEARTS THREE HEARTS JACK,0.6176,0.0056,0.3768
SPADES TEN CLUBS SIX,0.6228,0.0032,0.374
SPADES JACK SPADES FIVE,0.5862,0.0038,0.41
SPADES TEN SPADES FIVE,0.5994,0.0034,0.3972
SPADES ACE CLUBS SIX,0.5974,0.1638,0.2388
DIAMONDS KING HEARTS QUEEN,0.5878,0.0046,0.4076
HEARTS THREE HEARTS QUEEN,0.6078,0.005,0.3872
SPADES KING CLUBS SIX,0.6264,0.0044,0.3692
DIAMONDS KING HEARTS KING,0.2804,0.0056,0.714
HEARTS THREE HEARTS KING,0.607,0.0058,0.3872
SPADES QUEEN CLUBS SIX,0.6296,0.004,0.3664
SPADES QUEEN SPADES FIVE,0.5964,0.0072,0.3964
SPADES KING SPADES FIVE,0.6044,0.004,0.3916
SPADES ACE SPADES FIVE,0.5478,0.1624,0.2898
CLUBS TEN SPADES JACK,0.5614,0.0048,0.4338
CLUBS TEN SPADES TEN,0.3028,0.0038,0.6934
SPADES ACE CLUBS TEN,0.2262,0.1168,0.657
SPADES KING CLUBS TEN,0.5772,0.004,0.4188
CLUBS TEN SPADES QUEEN,0.5666,0.0044,0.429
SPADES FIVE HEARTS QUEEN,0.6404,0.0066,0.353
SPADES FIVE HEARTS KING,0.6418,0.003,0.3552
CLUBS EIGHT SPADES TEN,0.6004,0.0024,0.3972
HEARTS THREE SPADES JACK,0.652,0.005,0.343
SPADES JACK DIAMONDS KING,0.5706,0.0044,0.425
SPADES TEN DIAMONDS KING,0.5742,0.0036,0.4222
HEARTS THREE SPADES TEN,0.6356,0.0042,0.3602
SPADES JACK CLUBS EIGHT,0.6056,0.0036,0.3908
SPADES ACE CLUBS EIGHT,0.5894,0.1728,0.2378
HEARTS FIVE CLUBS JACK,0.6272,0.0038,0.369
CLUBS TEN HEARTS FIVE,0.6436,0.0032,0.3532
CLUBS SIX HEARTS QUEEN,0.6342,0.0046,0.3612
SPADES QUEEN CLUBS EIGHT,0.6286,0.0044,0.367
CLUBS TEN SPADES THREE,0.6442,0.005,0.3508
CLUBS SIX HEARTS KING,0.6272,0.0028,0.37
SPADES KING CLUBS EIGHT,0.6498,0.0056,0.3446
SPADES THREE CLUBS JACK,0.6422,0.0036,0.3542
DIAMONDS TWO HEARTS JACK,0.6494,0.0042,0.3464
SPADES THREE CLUBS QUEEN,0.633,0.0054,0.3616
DIAMONDS TWO HEARTS TEN,0.6516,0.0056,0.3428
SPADES THREE CLUBS KING,0.6494,0.0036,0.347
HEARTS FIVE CLUBS ACE,0.5784,0.1776,0.244
SPADES FIVE HEARTS TEN,0.635,0.0076,0.3574
SPADES THREE CLUBS ACE,0.5882,0.1746,0.2372
HEARTS FIVE CLUBS KING,0.6228,0.0052,0.372
SPADES FIVE HEARTS JACK,0.6302,0.0064,0.3634
HEARTS FIVE CLUBS QUEEN,0.6328,0.0038,0.3634
HEARTS THREE CLUBS KING,0.6358,0.0034,0.3608
DIAMONDS KING CLUBS KING,0.2772,0.0016,0.7212
HEARTS THREE CLUBS QUEEN,0.6538,0.0044,0.3418
DIAMONDS KING CLUBS QUEEN,0.5862,0.0044,0.4094
