opposingHand,winningChance,drawChance,lostChance
SPADES NINE HEARTS THREE
HEARTS FIVE SPADES TEN,0.3546,0.0292,0.6162
HEARTS FIVE SPADES JACK,0.3508,0.0188,0.6304
SPADES FIVE CLUBS JACK,0.3624,0.0216,0.616
CLUBS TEN SPADES FIVE,0.3592,0.0294,0.6114
CLUBS EIGHT CLUBS JACK,0.3204,0.015,0.6646
CLUBS TEN CLUBS EIGHT,0.3218,0.0234,0.6548
CLUBS EIGHT CLUBS KING,0.3482,0.0088,0.643
SPADES FIVE CLUBS ACE,0.3464,0.0036,0.65
CLUBS EIGHT CLUBS QUEEN,0.324,0.0122,0.6638
SPADES FIVE CLUBS KING,0.3828,0.0076,0.6096
SPADES FIVE CLUBS QUEEN,0.3636,0.0114,0.625
CLUBS EIGHT CLUBS ACE,0.3274,0.0044,0.6682
DIAMONDS TWO DIAMONDS THREE,0.5892,0.0998,0.311
DIAMONDS TWO DIAMONDS FIVE,0.5442,0.0448,0.411
HEARTS FIVE SPADES KING,0.3664,0.007,0.6266
DIAMONDS TWO DIAMONDS FOUR,0.5418,0.0516,0.4066
HEARTS FIVE SPADES QUEEN,0.3412,0.0136,0.6452
DIAMONDS TWO DIAMONDS SEVEN,0.5612,0.0418,0.397
DIAMONDS TWO DIAMONDS SIX,0.5514,0.0432,0.4054
SPADES ACE HEARTS FIVE,0.352,0.0038,0.6442
DIAMONDS TWO DIAMONDS NINE,0.252,0.4882,0.2598
DIAMONDS TWO DIAMONDS EIGHT,0.5648,0.04,0.3952
DIAMONDS THREE DIAMONDS FOUR,0.5772,0.1024,0.3204
SPADES FOUR CLUBS TWO,0.579,0.0514,0.3696
DIAMONDS THREE DIAMONDS FIVE,0.568,0.0952,0.3368
SPADES FIVE CLUBS TWO,0.5864,0.0478,0.3658
CLUBS TWO SPADES TWO,0.383,0.0904,0.5266
CLUBS TWO SPADES THREE,0.6408,0.1156,0.2436
DIAMONDS THREE DIAMONDS EIGHT,0.6108,0.1016,0.2876
SPADES EIGHT CLUBS TWO,0.5968,0.045,0.3582
DIAMONDS THREE DIAMONDS NINE,0.0194,0.9066,0.074
DIAMONDS THREE DIAMONDS SIX,0.598,0.1034,0.2986
SPADES SIX CLUBS TWO,0.601,0.0456,0.3534
DIAMONDS THREE DIAMONDS SEVEN,0.595,0.0976,0.3074
SPADES SEVEN CLUBS TWO,0.6124,0.0478,0.3398
CLUBS SIX CLUBS TWO,0.5638,0.0406,0.3956
CLUBS SEVEN CLUBS TWO,0.5726,0.0466,0.3808
CLUBS FOUR CLUBS TWO,0.554,0.0426,0.4034
CLUBS FIVE CLUBS TWO,0.5498,0.0424,0.4078
CLUBS TEN CLUBS JACK,0.284,0.0108,0.7052
DIAMONDS FOUR DIAMONDS SIX,0.5176,0.042,0.4404
CLUBS TEN CLUBS QUEEN,0.2942,0.0084,0.6974
DIAMONDS FOUR DIAMONDS SEVEN,0.5126,0.0414,0.446
CLUBS TEN CLUBS KING,0.3008,0.0084,0.6908
CLUBS TEN CLUBS ACE,0.3032,0.0044,0.6924
CLUBS EIGHT CLUBS TWO,0.5558,0.0436,0.4006
DIAMONDS FIVE DIAMONDS FOUR,0.503,0.0424,0.4546
CLUBS NINE CLUBS TWO,0.2464,0.4842,0.2694
DIAMONDS NINE DIAMONDS FOUR,0.2122,0.4842,0.3036
DIAMONDS EIGHT DIAMONDS FOUR,0.5416,0.0368,0.4216
