opposingHand,winningChance,drawChance,lostChance
SPADES NINE SPADES SIX
HEARTS FIVE SPADES TEN,0.4306,0.0286,0.5408
SPADES JACK HEARTS FIVE,0.4302,0.019,0.5508
SPADES FIVE CLUBS JACK,0.43,0.0168,0.5532
SPADES FIVE CLUBS TEN,0.445,0.028,0.527
CLUBS EIGHT CLUBS JACK,0.3676,0.015,0.6174
CLUBS EIGHT CLUBS TEN,0.3716,0.0254,0.603
CLUBS EIGHT CLUBS KING,0.3916,0.0082,0.6002
SPADES FIVE CLUBS ACE,0.4328,0.007,0.5602
CLUBS EIGHT CLUBS QUEEN,0.3728,0.0098,0.6174
SPADES FIVE CLUBS KING,0.4436,0.0082,0.5482
SPADES FIVE CLUBS QUEEN,0.445,0.0106,0.5444
CLUBS EIGHT CLUBS ACE,0.3874,0.004,0.6086
DIAMONDS TWO DIAMONDS THREE,0.6026,0.0348,0.3626
DIAMONDS TWO DIAMONDS FIVE,0.6076,0.0422,0.3502
SPADES KING HEARTS FIVE,0.4294,0.0082,0.5624
DIAMONDS TWO DIAMONDS FOUR,0.5922,0.039,0.3688
SPADES QUEEN HEARTS FIVE,0.4362,0.0126,0.5512
DIAMONDS TWO DIAMONDS SEVEN,0.6056,0.04,0.3544
DIAMONDS TWO DIAMONDS SIX,0.623,0.102,0.275
SPADES ACE HEARTS FIVE,0.4266,0.0062,0.5672
DIAMONDS TWO DIAMONDS NINE,0.4358,0.327,0.2372
DIAMONDS TWO DIAMONDS EIGHT,0.6086,0.0368,0.3546
DIAMONDS THREE DIAMONDS FOUR,0.5904,0.04,0.3696
CLUBS TWO SPADES FOUR,0.6454,0.0428,0.3118
DIAMONDS THREE DIAMONDS FIVE,0.5772,0.0412,0.3816
CLUBS TWO SPADES FIVE,0.6254,0.041,0.3336
CLUBS TWO SPADES TWO,0.4306,0.0786,0.4908
CLUBS TWO SPADES THREE,0.6262,0.0476,0.3262
DIAMONDS THREE DIAMONDS EIGHT,0.6048,0.0402,0.355
SPADES EIGHT CLUBS TWO,0.642,0.042,0.316
DIAMONDS THREE DIAMONDS NINE,0.419,0.3272,0.2538
DIAMONDS THREE DIAMONDS SIX,0.6144,0.1054,0.2802
DIAMONDS THREE DIAMONDS SEVEN,0.6198,0.0398,0.3404
SPADES SEVEN CLUBS TWO,0.6394,0.0466,0.314
CLUBS SIX CLUBS TWO,0.632,0.104,0.264
CLUBS SEVEN CLUBS TWO,0.6012,0.043,0.3558
CLUBS FOUR CLUBS TWO,0.6024,0.0394,0.3582
