opposingHand,winningChance,drawChance,lostChance
SPADES NINE SPADES TWO
HEARTS FIVE SPADES TEN,0.3772,0.0272,0.5956
SPADES JACK HEARTS FIVE,0.3858,0.0148,0.5994
SPADES FIVE CLUBS JACK,0.3822,0.0204,0.5974
SPADES FIVE CLUBS TEN,0.3944,0.0252,0.5804
CLUBS EIGHT CLUBS JACK,0.3496,0.018,0.6324
CLUBS EIGHT CLUBS TEN,0.3388,0.025,0.6362
CLUBS EIGHT CLUBS KING,0.3718,0.0068,0.6214
SPADES FIVE CLUBS ACE,0.3828,0.0062,0.611
CLUBS EIGHT CLUBS QUEEN,0.3736,0.0106,0.6158
SPADES FIVE CLUBS KING,0.3902,0.0086,0.6012
SPADES FIVE CLUBS QUEEN,0.3894,0.0142,0.5964
CLUBS EIGHT CLUBS ACE,0.376,0.0056,0.6184
DIAMONDS TWO DIAMONDS THREE,0.6216,0.1022,0.2762
DIAMONDS TWO DIAMONDS FIVE,0.6118,0.0964,0.2918
SPADES KING HEARTS FIVE,0.3732,0.0098,0.617
DIAMONDS TWO DIAMONDS FOUR,0.6062,0.0958,0.298
SPADES QUEEN HEARTS FIVE,0.397,0.013,0.59
DIAMONDS TWO DIAMONDS SEVEN,0.6226,0.093,0.2844
DIAMONDS TWO DIAMONDS SIX,0.6158,0.1034,0.2808
SPADES ACE HEARTS FIVE,0.3814,0.006,0.6126
DIAMONDS TWO DIAMONDS NINE,0.07,0.8526,0.0774
DIAMONDS TWO DIAMONDS EIGHT,0.636,0.096,0.268
DIAMONDS THREE DIAMONDS FOUR,0.5438,0.0504,0.4058
CLUBS TWO SPADES FOUR,0.6504,0.1002,0.2494
DIAMONDS THREE DIAMONDS FIVE,0.5222,0.0394,0.4384
CLUBS TWO SPADES FIVE,0.6384,0.101,0.2606
CLUBS TWO SPADES THREE,0.656,0.1072,0.2368
DIAMONDS THREE DIAMONDS EIGHT,0.5668,0.0376,0.3956
SPADES EIGHT CLUBS TWO,0.6622,0.0998,0.238
DIAMONDS THREE DIAMONDS NINE,0.265,0.438,0.297
DIAMONDS THREE DIAMONDS SIX,0.5412,0.0418,0.417
CLUBS TWO SPADES SIX,0.6658,0.0996,0.2346
DIAMONDS THREE DIAMONDS SEVEN,0.5472,0.0388,0.414
SPADES SEVEN CLUBS TWO,0.6756,0.096,0.2284
CLUBS SIX CLUBS TWO,0.6292,0.0986,0.2722
CLUBS SEVEN CLUBS TWO,0.6522,0.088,0.2598
CLUBS FOUR CLUBS TWO,0.6154,0.1038,0.2808
CLUBS FIVE CLUBS TWO,0.6038,0.0978,0.2984
CLUBS JACK CLUBS TEN,0.318,0.0158,0.6662
DIAMONDS FOUR DIAMONDS SIX,0.5212,0.0386,0.4402
CLUBS QUEEN CLUBS TEN,0.3314,0.0098,0.6588
DIAMONDS FOUR DIAMONDS SEVEN,0.5376,0.0368,0.4256
CLUBS KING CLUBS TEN,0.3362,0.0084,0.6554
CLUBS ACE CLUBS TEN,0.3314,0.0044,0.6642
CLUBS EIGHT CLUBS TWO,0.6334,0.097,0.2696
DIAMONDS FIVE DIAMONDS FOUR,0.5194,0.044,0.4366
CLUBS NINE CLUBS TWO,0.0666,0.8604,0.073
DIAMONDS NINE DIAMONDS FOUR,0.251,0.4622,0.2868
DIAMONDS EIGHT DIAMONDS FOUR,0.5444,0.0446,0.411
CLUBS TWO CLUBS THREE,0.6092,0.1022,0.2886
DIAMONDS NINE DIAMONDS FIVE,0.2484,0.3966,0.355
DIAMONDS TWO CLUBS JACK,0.2962,0.0522,0.6516
DIAMONDS EIGHT DIAMONDS FIVE,0.5476,0.0354,0.417
DIAMONDS TWO CLUBS TEN,0.2798,0.072,0.6482
DIAMONDS FIVE DIAMONDS SEVEN,0.5242,0.0412,0.4346
DIAMONDS FIVE DIAMONDS SIX,0.5158,0.0386,0.4456
DIAMONDS TWO CLUBS ACE,0.299,0.0192,0.6818
DIAMONDS TWO CLUBS KING,0.276,0.0302,0.6938
DIAMONDS TWO CLUBS QUEEN,0.2846,0.0382,0.6772
DIAMONDS EIGHT DIAMONDS SIX,0.5252,0.036,0.4388
DIAMONDS NINE DIAMONDS SIX,0.2506,0.3334,0.416
HEARTS ACE SPADES THREE,0.373,0.0058,0.6212
HEARTS KING SPADES THREE,0.391,0.0072,0.6018
DIAMONDS SEVEN DIAMONDS SIX,0.5166,0.0398,0.4436
SPADES THREE HEARTS QUEEN,0.3906,0.0136,0.5958
SPADES THREE HEARTS JACK,0.388,0.024,0.588
SPADES THREE HEARTS TEN,0.3798,0.0308,0.5894
DIAMONDS EIGHT DIAMONDS SEVEN,0.5104,0.0374,0.4522
DIAMONDS NINE DIAMONDS SEVEN,0.256,0.2592,0.4848
DIAMONDS NINE DIAMONDS EIGHT,0.2556,0.2038,0.5406
DIAMONDS KING HEARTS TEN,0.3648,0.005,0.6302
