opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN CLUBS EIGHT
SPADES TEN HEARTS FIVE,0.6342,0.01,0.3558
SPADES JACK HEARTS FIVE,0.6426,0.009,0.3484
SPADES FIVE CLUBS JACK,0.6306,0.01,0.3594
CLUBS TEN SPADES FIVE,0.6434,0.0122,0.3444
SPADES FIVE CLUBS ACE,0.3788,0.0056,0.6156
SPADES FIVE CLUBS KING,0.3956,0.0084,0.596
SPADES FIVE CLUBS QUEEN,0.5468,0.2288,0.2244
DIAMONDS TWO DIAMONDS THREE,0.6074,0.0124,0.3802
DIAMONDS TWO DIAMONDS FIVE,0.6036,0.0128,0.3836
SPADES KING HEARTS FIVE,0.4036,0.008,0.5884
DIAMONDS TWO DIAMONDS FOUR,0.6018,0.0114,0.3868
DIAMONDS TWO DIAMONDS SEVEN,0.6198,0.0112,0.369
DIAMONDS TWO DIAMONDS SIX,0.6072,0.0106,0.3822
SPADES ACE HEARTS FIVE,0.401,0.0048,0.5942
DIAMONDS TWO DIAMONDS NINE,0.602,0.009,0.389
DIAMONDS TWO DIAMONDS EIGHT,0.6886,0.038,0.2734
DIAMONDS THREE DIAMONDS FOUR,0.5926,0.0088,0.3986
CLUBS TWO SPADES FOUR,0.6516,0.0124,0.336
DIAMONDS THREE DIAMONDS FIVE,0.5996,0.012,0.3884
CLUBS TWO SPADES FIVE,0.652,0.0124,0.3356
CLUBS TWO SPADES TWO,0.4474,0.0244,0.5282
CLUBS TWO SPADES THREE,0.6504,0.0112,0.3384
DIAMONDS THREE DIAMONDS EIGHT,0.6878,0.0432,0.269
SPADES EIGHT CLUBS TWO,0.7302,0.0518,0.218
DIAMONDS THREE DIAMONDS NINE,0.597,0.011,0.392
SPADES NINE CLUBS TWO,0.6456,0.0144,0.34
DIAMONDS THREE DIAMONDS SIX,0.6046,0.0104,0.385
CLUBS TWO SPADES SIX,0.6632,0.0112,0.3256
DIAMONDS THREE DIAMONDS SEVEN,0.6162,0.011,0.3728
SPADES SEVEN CLUBS TWO,0.6794,0.009,0.3116
CLUBS SIX CLUBS TWO,0.6322,0.0106,0.3572
CLUBS SEVEN CLUBS TWO,0.6506,0.0128,0.3366
CLUBS FOUR CLUBS TWO,0.6116,0.013,0.3754
CLUBS FIVE CLUBS TWO,0.6228,0.0126,0.3646
CLUBS TEN CLUBS JACK,0.5294,0.011,0.4596
DIAMONDS FOUR DIAMONDS SIX,0.595,0.012,0.393
CLUBS TEN CLUBS QUEEN,0.2224,0.1138,0.6638
DIAMONDS FOUR DIAMONDS SEVEN,0.6004,0.0116,0.388
CLUBS TEN CLUBS KING,0.3162,0.0094,0.6744
CLUBS TEN CLUBS ACE,0.3448,0.004,0.6512
DIAMONDS FIVE DIAMONDS FOUR,0.5666,0.013,0.4204
CLUBS NINE CLUBS TWO,0.5976,0.0102,0.3922
