opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN CLUBS KING
SPADES TEN HEARTS FIVE,0.6742,0.0064,0.3194
SPADES JACK HEARTS FIVE,0.6824,0.0064,0.3112
SPADES FIVE CLUBS JACK,0.6998,0.0074,0.2928
SPADES FIVE CLUBS TEN,0.6852,0.0052,0.3096
CLUBS EIGHT CLUBS JACK,0.6258,0.0076,0.3666
CLUBS EIGHT CLUBS TEN,0.6108,0.0086,0.3806
SPADES FIVE CLUBS ACE,0.424,0.0052,0.5708
CLUBS EIGHT CLUBS QUEEN,0.7118,0.0276,0.2606
SPADES FIVE CLUBS QUEEN,0.7434,0.0282,0.2284
CLUBS EIGHT CLUBS ACE,0.399,0.0056,0.5954
DIAMONDS TWO DIAMONDS THREE,0.6202,0.0096,0.3702
DIAMONDS TWO DIAMONDS FIVE,0.5984,0.0074,0.3942
SPADES KING HEARTS FIVE,0.6832,0.0648,0.252
DIAMONDS TWO DIAMONDS FOUR,0.6088,0.0068,0.3844
DIAMONDS TWO DIAMONDS SEVEN,0.6402,0.008,0.3518
DIAMONDS TWO DIAMONDS SIX,0.6218,0.0056,0.3726
SPADES ACE HEARTS FIVE,0.4124,0.004,0.5836
DIAMONDS TWO DIAMONDS NINE,0.6166,0.0074,0.376
DIAMONDS TWO DIAMONDS EIGHT,0.6204,0.0072,0.3724
DIAMONDS THREE DIAMONDS FOUR,0.592,0.008,0.4
CLUBS TWO SPADES FOUR,0.6568,0.0098,0.3334
DIAMONDS THREE DIAMONDS FIVE,0.5892,0.0064,0.4044
CLUBS TWO SPADES FIVE,0.656,0.0078,0.3362
CLUBS TWO SPADES TWO,0.4896,0.0072,0.5032
CLUBS TWO SPADES THREE,0.6712,0.008,0.3208
DIAMONDS THREE DIAMONDS EIGHT,0.6282,0.0054,0.3664
SPADES EIGHT CLUBS TWO,0.6892,0.0066,0.3042
DIAMONDS THREE DIAMONDS NINE,0.6202,0.0072,0.3726
SPADES NINE CLUBS TWO,0.6804,0.007,0.3126
DIAMONDS THREE DIAMONDS SIX,0.6072,0.009,0.3838
CLUBS TWO SPADES SIX,0.6636,0.0086,0.3278
DIAMONDS THREE DIAMONDS SEVEN,0.615,0.0062,0.3788
SPADES SEVEN CLUBS TWO,0.6792,0.0102,0.3106
CLUBS SIX CLUBS TWO,0.632,0.008,0.36
CLUBS SEVEN CLUBS TWO,0.634,0.0092,0.3568
CLUBS FOUR CLUBS TWO,0.615,0.0068,0.3782
CLUBS FIVE CLUBS TWO,0.621,0.0056,0.3734
CLUBS JACK CLUBS TEN,0.6132,0.007,0.3798
DIAMONDS FOUR DIAMONDS SIX,0.5952,0.0058,0.399
CLUBS QUEEN CLUBS TEN,0.7024,0.0202,0.2774
DIAMONDS FOUR DIAMONDS SEVEN,0.613,0.0064,0.3806
CLUBS ACE CLUBS TEN,0.3658,0.0054,0.6288
CLUBS EIGHT CLUBS TWO,0.6428,0.0068,0.3504
DIAMONDS FIVE DIAMONDS FOUR,0.5778,0.0068,0.4154
CLUBS NINE CLUBS TWO,0.6418,0.0074,0.3508
DIAMONDS NINE DIAMONDS FOUR,0.6278,0.0046,0.3676
DIAMONDS EIGHT DIAMONDS FOUR,0.6094,0.005,0.3856
CLUBS TWO CLUBS THREE,0.627,0.0086,0.3644
DIAMONDS NINE DIAMONDS FIVE,0.6136,0.0058,0.3806
DIAMONDS TWO CLUBS JACK,0.6894,0.008,0.3026
DIAMONDS EIGHT DIAMONDS FIVE,0.6056,0.008,0.3864
DIAMONDS TWO CLUBS TEN,0.6878,0.0072,0.305
DIAMONDS FIVE DIAMONDS SEVEN,0.5954,0.0058,0.3988
DIAMONDS FIVE DIAMONDS SIX,0.5844,0.0044,0.4112
DIAMONDS TWO CLUBS ACE,0.4206,0.007,0.5724
DIAMONDS TWO CLUBS QUEEN,0.7566,0.0282,0.2152
DIAMONDS EIGHT DIAMONDS SIX,0.5898,0.007,0.4032
DIAMONDS NINE DIAMONDS SIX,0.6022,0.0042,0.3936
HEARTS ACE SPADES THREE,0.4166,0.0064,0.577
HEARTS KING SPADES THREE,0.6952,0.0662,0.2386
DIAMONDS SEVEN DIAMONDS SIX,0.576,0.0036,0.4204
SPADES THREE HEARTS QUEEN,0.757,0.0246,0.2184
SPADES THREE HEARTS JACK,0.6816,0.0082,0.3102
SPADES THREE HEARTS TEN,0.6914,0.0078,0.3008
DIAMONDS EIGHT DIAMONDS SEVEN,0.598,0.0056,0.3964
DIAMONDS NINE DIAMONDS SEVEN,0.601,0.0062,0.3928
DIAMONDS NINE DIAMONDS EIGHT,0.5842,0.0064,0.4094
DIAMONDS KING HEARTS TEN,0.6988,0.0612,0.24
HEARTS THREE HEARTS TEN,0.6292,0.0058,0.365
SPADES JACK CLUBS SIX,0.6918,0.0064,0.3018
DIAMONDS KING HEARTS JACK,0.706,0.0536,0.2404
HEARTS THREE HEARTS JACK,0.6288,0.0076,0.3636
CLUBS SIX SPADES TEN,0.6572,0.0068,0.336
SPADES JACK SPADES FIVE,0.6656,0.0088,0.3256
SPADES TEN SPADES FIVE,0.648,0.0064,0.3456
DIAMONDS KING HEARTS ACE,0.2408,0.0116,0.7476
HEARTS THREE HEARTS ACE,0.3862,0.004,0.6098
SPADES ACE CLUBS SIX,0.4288,0.0038,0.5674
DIAMONDS KING HEARTS QUEEN,0.0228,0.9548,0.0224
HEARTS THREE HEARTS QUEEN,0.6968,0.0262,0.277
SPADES KING CLUBS SIX,0.6874,0.0714,0.2412
DIAMONDS KING HEARTS KING,0.1008,0.0116,0.8876
HEARTS THREE HEARTS KING,0.65,0.0636,0.2864
SPADES NINE HEARTS TEN,0.6294,0.008,0.3626
SPADES NINE HEARTS JACK,0.6554,0.0072,0.3374
SPADES KING SPADES FIVE,0.6596,0.0604,0.28
SPADES ACE SPADES FIVE,0.409,0.0066,0.5844
SPADES NINE HEARTS QUEEN,0.7368,0.0296,0.2336
SPADES NINE HEARTS KING,0.6948,0.0634,0.2418
SPADES NINE HEARTS ACE,0.4212,0.004,0.5748
SPADES JACK CLUBS TEN,0.647,0.0082,0.3448
SPADES TEN CLUBS TEN,0.4518,0.0046,0.5436
SPADES ACE CLUBS TEN,0.399,0.0054,0.5956
SPADES KING CLUBS TEN,0.6906,0.0598,0.2496
SPADES FIVE HEARTS QUEEN,0.7402,0.027,0.2328
SPADES FIVE HEARTS KING,0.7084,0.0588,0.2328
SPADES FIVE HEARTS ACE,0.4236,0.004,0.5724
HEARTS THREE SPADES JACK,0.6864,0.005,0.3086
SPADES JACK DIAMONDS KING,0.7098,0.055,0.2352
CLUBS EIGHT SPADES TEN,0.6526,0.0082,0.3392
CLUBS EIGHT SPADES JACK,0.6684,0.0066,0.325
HEARTS THREE SPADES TEN,0.6778,0.006,0.3162
SPADES TEN DIAMONDS KING,0.6958,0.0588,0.2454
SPADES ACE CLUBS EIGHT,0.425,0.004,0.571
HEARTS FIVE CLUBS JACK,0.6814,0.0084,0.3102
CLUBS SIX HEARTS ACE,0.4294,0.0046,0.566
HEARTS FIVE CLUBS TEN,0.6784,0.0054,0.3162
SPADES THREE CLUBS TEN,0.6896,0.0082,0.3022
CLUBS SIX HEARTS QUEEN,0.7396,0.0272,0.2332
CLUBS EIGHT SPADES KING,0.7106,0.0534,0.236
SPADES THREE CLUBS JACK,0.6798,0.0108,0.3094
CLUBS SIX HEARTS KING,0.701,0.0638,0.2352
DIAMONDS TWO HEARTS JACK,0.6826,0.0072,0.3102
SPADES THREE CLUBS QUEEN,0.761,0.0268,0.2122
DIAMONDS TWO HEARTS TEN,0.6838,0.0066,0.3096
HEARTS FIVE CLUBS ACE,0.4104,0.0058,0.5838
SPADES FIVE HEARTS TEN,0.6892,0.0058,0.305
SPADES THREE CLUBS ACE,0.4072,0.0054,0.5874
SPADES FIVE HEARTS JACK,0.667,0.0076,0.3254
HEARTS FIVE CLUBS QUEEN,0.7434,0.0296,0.227
HEARTS THREE CLUBS QUEEN,0.758,0.0246,0.2174
DIAMONDS KING CLUBS QUEEN,0.0148,0.973,0.0122
HEARTS FIVE HEARTS JACK,0.6282,0.0072,0.3646
HEARTS FIVE HEARTS TEN,0.6232,0.0064,0.3704
HEARTS THREE CLUBS ACE,0.4118,0.0072,0.581
DIAMONDS KING CLUBS ACE,0.2398,0.0102,0.75
SPADES ACE CLUBS QUEEN,0.2472,0.0146,0.7382
SPADES KING CLUBS QUEEN,0.0088,0.9854,0.0058
HEARTS THREE CLUBS JACK,0.6734,0.0084,0.3182
DIAMONDS KING CLUBS JACK,0.7032,0.0668,0.23
HEARTS THREE CLUBS TEN,0.6888,0.0084,0.3028
DIAMONDS KING CLUBS TEN,0.695,0.0608,0.2442
SPADES JACK CLUBS QUEEN,0.741,0.0262,0.2328
CLUBS SIX CLUBS QUEEN,0.7066,0.0288,0.2646
SPADES TEN CLUBS QUEEN,0.7402,0.0262,0.2336
CLUBS SIX CLUBS ACE,0.416,0.0052,0.5788
HEARTS FIVE HEARTS KING,0.65,0.0592,0.2908
HEARTS FIVE HEARTS QUEEN,0.7146,0.0242,0.2612
CLUBS SIX CLUBS TEN,0.6528,0.0068,0.3404
HEARTS FIVE HEARTS ACE,0.3862,0.0056,0.6082
CLUBS SIX CLUBS JACK,0.6474,0.0092,0.3434
SPADES SEVEN HEARTS JACK,0.6714,0.007,0.3216
SPADES SEVEN HEARTS TEN,0.6678,0.0064,0.3258
DIAMONDS TWO CLUBS TWO,0.4722,0.0094,0.5184
DIAMONDS TWO CLUBS THREE,0.647,0.0084,0.3446
HEARTS SIX DIAMONDS TWO,0.6582,0.0042,0.3376
DIAMONDS TWO HEARTS QUEEN,0.7588,0.0258,0.2154
DIAMONDS TWO HEARTS SEVEN,0.6718,0.0052,0.323
DIAMONDS TWO HEARTS KING,0.6964,0.0616,0.242
DIAMONDS TWO HEARTS EIGHT,0.6682,0.006,0.3258
DIAMONDS TWO HEARTS ACE,0.4208,0.0068,0.5724
DIAMONDS TWO HEARTS NINE,0.6752,0.0064,0.3184
DIAMONDS TWO DIAMONDS QUEEN,0.698,0.028,0.274
DIAMONDS TWO HEARTS TWO,0.468,0.0098,0.5222
DIAMONDS TWO DIAMONDS KING,0.6554,0.0604,0.2842
HEARTS THREE DIAMONDS TWO,0.6422,0.0076,0.3502
DIAMONDS TWO DIAMONDS ACE,0.38,0.0068,0.6132
HEARTS FOUR DIAMONDS TWO,0.6532,0.0094,0.3374
DIAMONDS TWO HEARTS FIVE,0.6416,0.0072,0.3512
SPADES SEVEN HEARTS ACE,0.425,0.0044,0.5706
DIAMONDS TWO DIAMONDS TEN,0.64,0.0082,0.3518
SPADES SEVEN HEARTS KING,0.7074,0.0664,0.2262
DIAMONDS TWO DIAMONDS JACK,0.641,0.0068,0.3522
SPADES SEVEN HEARTS QUEEN,0.7476,0.0262,0.2262
DIAMONDS TWO SPADES NINE,0.6762,0.0062,0.3176
DIAMONDS TWO SPADES EIGHT,0.676,0.0054,0.3186
DIAMONDS TWO SPADES SEVEN,0.6632,0.0068,0.33
DIAMONDS TWO SPADES SIX,0.6552,0.0082,0.3366
DIAMONDS TWO SPADES FIVE,0.6552,0.0054,0.3394
DIAMONDS TWO SPADES FOUR,0.6348,0.0078,0.3574
DIAMONDS TWO SPADES THREE,0.646,0.0106,0.3434
DIAMONDS TWO SPADES TWO,0.4858,0.0056,0.5086
CLUBS NINE DIAMONDS TWO,0.6748,0.0074,0.3178
CLUBS EIGHT DIAMONDS TWO,0.6684,0.0062,0.3254
DIAMONDS TWO CLUBS SEVEN,0.6832,0.0078,0.309
CLUBS SIX DIAMONDS TWO,0.662,0.0052,0.3328
DIAMONDS TWO CLUBS FIVE,0.659,0.0072,0.3338
DIAMONDS TWO CLUBS FOUR,0.6468,0.0086,0.3446
CLUBS FOUR SPADES FIVE,0.6286,0.0088,0.3626
CLUBS FOUR SPADES FOUR,0.4844,0.0076,0.508
CLUBS FOUR SPADES THREE,0.6512,0.0084,0.3404
CLUBS FOUR SPADES TWO,0.6604,0.0084,0.3312
SPADES NINE CLUBS FOUR,0.6636,0.0072,0.3292
CLUBS FOUR SPADES EIGHT,0.664,0.0076,0.3284
CLUBS FOUR SPADES SEVEN,0.6548,0.0076,0.3376
CLUBS FOUR SPADES SIX,0.639,0.0086,0.3524
SPADES ACE DIAMONDS SIX,0.4072,0.005,0.5878
SPADES KING DIAMONDS SIX,0.6886,0.0638,0.2476
SPADES TEN DIAMONDS SIX,0.682,0.0062,0.3118
SPADES JACK DIAMONDS SIX,0.6828,0.0074,0.3098
SPADES KING SPADES TWO,0.6682,0.0628,0.269
SPADES ACE SPADES TWO,0.4098,0.0076,0.5826
DIAMONDS JACK CLUBS JACK,0.4252,0.0032,0.5716
DIAMONDS JACK CLUBS TEN,0.6342,0.0074,0.3584
DIAMONDS JACK CLUBS QUEEN,0.732,0.0254,0.2426
DIAMONDS THREE DIAMONDS JACK,0.6278,0.0054,0.3668
DIAMONDS THREE DIAMONDS TEN,0.6262,0.007,0.3668
DIAMONDS JACK CLUBS ACE,0.3952,0.0048,0.6
DIAMONDS THREE DIAMONDS KING,0.6592,0.0614,0.2794
HEARTS THREE DIAMONDS THREE,0.465,0.007,0.528
DIAMONDS THREE DIAMONDS QUEEN,0.6976,0.0316,0.2708
DIAMONDS THREE HEARTS TWO,0.6528,0.007,0.3402
HEARTS FIVE DIAMONDS THREE,0.6278,0.0064,0.3658
DIAMONDS THREE DIAMONDS ACE,0.3898,0.0048,0.6054
HEARTS FOUR DIAMONDS THREE,0.63,0.0048,0.3652
DIAMONDS THREE HEARTS SEVEN,0.6592,0.0086,0.3322
SPADES TEN SPADES NINE,0.612,0.0056,0.3824
HEARTS SIX DIAMONDS THREE,0.6382,0.006,0.3558
SPADES JACK SPADES NINE,0.6028,0.0056,0.3916
DIAMONDS THREE HEARTS NINE,0.6576,0.005,0.3374
HEARTS JACK DIAMONDS FOUR,0.6824,0.0058,0.3118
HEARTS KING HEARTS ACE,0.2338,0.0118,0.7544
SPADES TEN SPADES TWO,0.6518,0.0074,0.3408
DIAMONDS THREE HEARTS EIGHT,0.674,0.0068,0.3192
HEARTS TEN DIAMONDS FOUR,0.6708,0.0066,0.3226
SPADES JACK SPADES TWO,0.6566,0.01,0.3334
HEARTS QUEEN DIAMONDS FOUR,0.7412,0.0226,0.2362
HEARTS KING DIAMONDS FOUR,0.708,0.0662,0.2258
SPADES ACE SPADES NINE,0.3884,0.0064,0.6052
HEARTS ACE DIAMONDS FOUR,0.4192,0.0038,0.577
SPADES KING SPADES NINE,0.6552,0.059,0.2858
DIAMONDS THREE SPADES NINE,0.672,0.008,0.32
DIAMONDS THREE SPADES EIGHT,0.6782,0.0068,0.315
DIAMONDS THREE SPADES SEVEN,0.6572,0.005,0.3378
DIAMONDS THREE SPADES SIX,0.6484,0.0082,0.3434
CLUBS SIX DIAMONDS THREE,0.6576,0.0062,0.3362
CLUBS ACE DIAMONDS FOUR,0.4154,0.005,0.5796
CLUBS SIX CLUBS FIVE,0.603,0.0064,0.3906
CLUBS SEVEN CLUBS FIVE,0.6002,0.0092,0.3906
CLUBS SEVEN DIAMONDS THREE,0.6592,0.0076,0.3332
DIAMONDS THREE CLUBS FOUR,0.634,0.0092,0.3568
CLUBS QUEEN DIAMONDS FOUR,0.7474,0.0264,0.2262
DIAMONDS THREE CLUBS FIVE,0.6456,0.007,0.3474
DIAMONDS THREE CLUBS TWO,0.6546,0.0068,0.3386
DIAMONDS FOUR CLUBS TEN,0.6768,0.0066,0.3166
DIAMONDS THREE CLUBS THREE,0.475,0.0084,0.5166
DIAMONDS FOUR CLUBS JACK,0.679,0.008,0.313
DIAMONDS THREE SPADES FOUR,0.6308,0.0064,0.3628
DIAMONDS THREE SPADES FIVE,0.632,0.0082,0.3598
DIAMONDS THREE SPADES TWO,0.6494,0.0078,0.3428
DIAMONDS THREE SPADES THREE,0.4802,0.0066,0.5132
CLUBS EIGHT DIAMONDS THREE,0.6888,0.0064,0.3048
CLUBS NINE DIAMONDS THREE,0.6734,0.0056,0.321
SPADES SEVEN CLUBS ACE,0.4226,0.0052,0.5722
SPADES SEVEN CLUBS QUEEN,0.7538,0.03,0.2162
CLUBS FIVE SPADES SEVEN,0.6404,0.0086,0.351
SPADES SEVEN CLUBS TEN,0.6546,0.0078,0.3376
CLUBS FIVE SPADES SIX,0.6196,0.0068,0.3736
SPADES SEVEN CLUBS JACK,0.6794,0.0066,0.314
SPADES NINE CLUBS FIVE,0.6646,0.0088,0.3266
SPADES EIGHT CLUBS FIVE,0.6552,0.0068,0.338
CLUBS FIVE SPADES THREE,0.6414,0.0096,0.349
CLUBS FIVE SPADES TWO,0.6576,0.0096,0.3328
CLUBS FIVE SPADES FIVE,0.4694,0.007,0.5236
CLUBS FIVE SPADES FOUR,0.6234,0.0088,0.3678
CLUBS NINE CLUBS FIVE,0.629,0.0106,0.3604
CLUBS EIGHT CLUBS FIVE,0.61,0.0082,0.3818
CLUBS ACE CLUBS QUEEN,0.2414,0.0124,0.7462
DIAMONDS TEN DIAMONDS FOUR,0.6352,0.0084,0.3564
DIAMONDS NINE CLUBS TEN,0.6422,0.007,0.3508
DIAMONDS JACK DIAMONDS FOUR,0.6328,0.0064,0.3608
DIAMONDS NINE CLUBS JACK,0.6438,0.0068,0.3494
SPADES NINE CLUBS JACK,0.6546,0.0086,0.3368
SPADES NINE CLUBS TEN,0.654,0.0084,0.3376
DIAMONDS ACE DIAMONDS FOUR,0.3958,0.005,0.5992
HEARTS FOUR DIAMONDS FOUR,0.4754,0.0088,0.5158
DIAMONDS JACK HEARTS TEN,0.6402,0.0052,0.3546
DIAMONDS TWO SPADES TEN,0.6914,0.008,0.3006
DIAMONDS NINE CLUBS ACE,0.418,0.0046,0.5774
HEARTS FIVE DIAMONDS FOUR,0.6172,0.0084,0.3744
HEARTS JACK DIAMONDS JACK,0.414,0.0046,0.5814
SPADES NINE CLUBS QUEEN,0.7394,0.0266,0.234
SPADES JACK DIAMONDS TWO,0.6898,0.0078,0.3024
DIAMONDS QUEEN DIAMONDS FOUR,0.692,0.0226,0.2854
HEARTS TWO DIAMONDS FOUR,0.6458,0.009,0.3452
DIAMONDS NINE CLUBS QUEEN,0.7338,0.0242,0.242
DIAMONDS KING DIAMONDS FOUR,0.6568,0.0622,0.281
HEARTS THREE DIAMONDS FOUR,0.6426,0.0074,0.35
SPADES NINE CLUBS ACE,0.3996,0.0058,0.5946
HEARTS ACE DIAMONDS JACK,0.4002,0.003,0.5968
SPADES ACE DIAMONDS TWO,0.4046,0.0072,0.5882
DIAMONDS JACK HEARTS QUEEN,0.7306,0.0254,0.244
HEARTS KING DIAMONDS JACK,0.6892,0.0634,0.2474
SPADES KING DIAMONDS TWO,0.6894,0.0676,0.243
SPADES JACK SPADES SEVEN,0.6474,0.008,0.3446
SPADES TEN SPADES SEVEN,0.6292,0.0054,0.3654
CLUBS SEVEN CLUBS THREE,0.6338,0.008,0.3582
CLUBS SIX CLUBS THREE,0.6316,0.0076,0.3608
CLUBS FIVE CLUBS THREE,0.6116,0.0094,0.379
CLUBS FOUR CLUBS THREE,0.6102,0.0066,0.3832
CLUBS NINE CLUBS THREE,0.664,0.006,0.33
CLUBS EIGHT CLUBS THREE,0.6372,0.0076,0.3552
CLUBS THREE SPADES FIVE,0.6402,0.005,0.3548
CLUBS THREE SPADES FOUR,0.6498,0.0082,0.342
CLUBS THREE SPADES THREE,0.4854,0.009,0.5056
CLUBS THREE SPADES TWO,0.6538,0.01,0.3362
SPADES SIX CLUBS THREE,0.6478,0.0084,0.3438
SPADES SEVEN CLUBS THREE,0.6692,0.0068,0.324
SPADES EIGHT CLUBS THREE,0.6802,0.0072,0.3126
SPADES NINE CLUBS THREE,0.6748,0.0056,0.3196
SPADES TWO DIAMONDS FOUR,0.6508,0.0064,0.3428
SPADES THREE DIAMONDS FOUR,0.63,0.0086,0.3614
SPADES FOUR DIAMONDS FOUR,0.4746,0.0068,0.5186
SPADES FIVE DIAMONDS FOUR,0.6136,0.0056,0.3808
SPADES SIX DIAMONDS FOUR,0.648,0.0072,0.3448
