opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN CLUBS SIX
SPADES TEN HEARTS FIVE,0.6318,0.0114,0.3568
SPADES JACK HEARTS FIVE,0.627,0.0106,0.3624
SPADES FIVE CLUBS JACK,0.6136,0.0104,0.376
CLUBS TEN SPADES FIVE,0.6222,0.0126,0.3652
CLUBS EIGHT CLUBS JACK,0.5278,0.0092,0.463
CLUBS TEN CLUBS EIGHT,0.531,0.0102,0.4588
CLUBS EIGHT CLUBS KING,0.3434,0.0084,0.6482
SPADES FIVE CLUBS ACE,0.3798,0.0066,0.6136
CLUBS EIGHT CLUBS QUEEN,0.2194,0.2116,0.569
SPADES FIVE CLUBS KING,0.3788,0.01,0.6112
SPADES FIVE CLUBS QUEEN,0.3986,0.3958,0.2056
CLUBS EIGHT CLUBS ACE,0.3492,0.0046,0.6462
DIAMONDS TWO DIAMONDS THREE,0.6046,0.011,0.3844
DIAMONDS TWO DIAMONDS FIVE,0.5916,0.0136,0.3948
SPADES KING HEARTS FIVE,0.3826,0.008,0.6094
DIAMONDS TWO DIAMONDS FOUR,0.598,0.0132,0.3888
DIAMONDS TWO DIAMONDS SEVEN,0.6128,0.0114,0.3758
DIAMONDS TWO DIAMONDS SIX,0.6558,0.0548,0.2894
SPADES ACE HEARTS FIVE,0.376,0.0044,0.6196
DIAMONDS TWO DIAMONDS NINE,0.5866,0.014,0.3994
DIAMONDS TWO DIAMONDS EIGHT,0.5954,0.009,0.3956
DIAMONDS THREE DIAMONDS FOUR,0.5796,0.0122,0.4082
CLUBS TWO SPADES FOUR,0.6466,0.0152,0.3382
DIAMONDS THREE DIAMONDS FIVE,0.593,0.012,0.395
CLUBS TWO SPADES FIVE,0.6356,0.0154,0.349
CLUBS TWO SPADES TWO,0.44,0.0316,0.5284
CLUBS TWO SPADES THREE,0.644,0.0128,0.3432
DIAMONDS THREE DIAMONDS EIGHT,0.5986,0.0094,0.392
SPADES EIGHT CLUBS TWO,0.6434,0.013,0.3436
DIAMONDS THREE DIAMONDS NINE,0.5826,0.0118,0.4056
SPADES NINE CLUBS TWO,0.6364,0.0116,0.352
DIAMONDS THREE DIAMONDS SIX,0.6594,0.0452,0.2954
CLUBS TWO SPADES SIX,0.7232,0.0516,0.2252
DIAMONDS THREE DIAMONDS SEVEN,0.5918,0.014,0.3942
SPADES SEVEN CLUBS TWO,0.659,0.0156,0.3254
CLUBS SEVEN CLUBS TWO,0.6072,0.0144,0.3784
