opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN CLUBS TWO
SPADES TEN HEARTS FIVE,0.594,0.0124,0.3936
SPADES JACK HEARTS FIVE,0.5954,0.012,0.3926
SPADES FIVE CLUBS JACK,0.599,0.012,0.389
CLUBS TEN SPADES FIVE,0.5904,0.0122,0.3974
CLUBS EIGHT CLUBS JACK,0.5302,0.0116,0.4582
CLUBS TEN CLUBS EIGHT,0.5296,0.0122,0.4582
CLUBS EIGHT CLUBS KING,0.332,0.0086,0.6594
SPADES FIVE CLUBS ACE,0.3468,0.0064,0.6468
CLUBS EIGHT CLUBS QUEEN,0.2184,0.2104,0.5712
SPADES FIVE CLUBS KING,0.356,0.009,0.635
SPADES FIVE CLUBS QUEEN,0.2054,0.478,0.3166
CLUBS EIGHT CLUBS ACE,0.3412,0.0044,0.6544
DIAMONDS TWO DIAMONDS THREE,0.6606,0.0416,0.2978
DIAMONDS TWO DIAMONDS FIVE,0.65,0.0378,0.3122
SPADES KING HEARTS FIVE,0.3484,0.0092,0.6424
DIAMONDS TWO DIAMONDS FOUR,0.6592,0.0398,0.301
DIAMONDS TWO DIAMONDS SEVEN,0.6824,0.0334,0.2842
DIAMONDS TWO DIAMONDS SIX,0.663,0.036,0.301
SPADES ACE HEARTS FIVE,0.3422,0.0062,0.6516
DIAMONDS TWO DIAMONDS NINE,0.6846,0.0344,0.281
DIAMONDS TWO DIAMONDS EIGHT,0.6628,0.0368,0.3004
DIAMONDS THREE DIAMONDS FOUR,0.5336,0.0148,0.4516
DIAMONDS THREE DIAMONDS FIVE,0.5358,0.0148,0.4494
DIAMONDS THREE DIAMONDS EIGHT,0.5654,0.0152,0.4194
DIAMONDS THREE DIAMONDS NINE,0.5562,0.012,0.4318
DIAMONDS THREE DIAMONDS SIX,0.54,0.0146,0.4454
DIAMONDS THREE DIAMONDS SEVEN,0.5428,0.0116,0.4456
CLUBS TEN CLUBS JACK,0.5016,0.0084,0.49
DIAMONDS FOUR DIAMONDS SIX,0.5386,0.0154,0.446
CLUBS TEN CLUBS QUEEN,0.2084,0.1172,0.6744
DIAMONDS FOUR DIAMONDS SEVEN,0.5336,0.0102,0.4562
CLUBS TEN CLUBS KING,0.3362,0.0072,0.6566
CLUBS TEN CLUBS ACE,0.321,0.0044,0.6746
DIAMONDS FIVE DIAMONDS FOUR,0.5106,0.011,0.4784
DIAMONDS NINE DIAMONDS FOUR,0.5614,0.0102,0.4284
DIAMONDS EIGHT DIAMONDS FOUR,0.5518,0.0142,0.434
DIAMONDS NINE DIAMONDS FIVE,0.5326,0.0118,0.4556
DIAMONDS TWO CLUBS JACK,0.7176,0.0426,0.2398
DIAMONDS EIGHT DIAMONDS FIVE,0.5326,0.0146,0.4528
CLUBS TEN DIAMONDS TWO,0.7198,0.0394,0.2408
DIAMONDS FIVE DIAMONDS SEVEN,0.5128,0.0136,0.4736
DIAMONDS FIVE DIAMONDS SIX,0.5216,0.0116,0.4668
DIAMONDS TWO CLUBS ACE,0.2202,0.0194,0.7604
DIAMONDS TWO CLUBS KING,0.2324,0.03,0.7376
DIAMONDS TWO CLUBS QUEEN,0.0142,0.9652,0.0206
DIAMONDS EIGHT DIAMONDS SIX,0.516,0.0092,0.4748
DIAMONDS NINE DIAMONDS SIX,0.5406,0.0112,0.4482
HEARTS ACE SPADES THREE,0.3422,0.0056,0.6522
