opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN DIAMONDS NINE
HEARTS FIVE SPADES TEN,0.6464,0.0108,0.3428
HEARTS FIVE SPADES JACK,0.662,0.009,0.329
SPADES FIVE CLUBS JACK,0.6478,0.0106,0.3416
CLUBS TEN SPADES FIVE,0.6448,0.01,0.3452
CLUBS EIGHT CLUBS JACK,0.5914,0.0112,0.3974
CLUBS TEN CLUBS EIGHT,0.5756,0.0098,0.4146
CLUBS EIGHT CLUBS KING,0.3786,0.0052,0.6162
SPADES FIVE CLUBS ACE,0.4184,0.0062,0.5754
CLUBS EIGHT CLUBS QUEEN,0.5636,0.157,0.2794
SPADES FIVE CLUBS KING,0.4126,0.0092,0.5782
SPADES FIVE CLUBS QUEEN,0.5988,0.1644,0.2368
CLUBS EIGHT CLUBS ACE,0.3894,0.0052,0.6054
DIAMONDS TWO DIAMONDS THREE,0.6242,0.014,0.3618
DIAMONDS TWO DIAMONDS FIVE,0.6216,0.0108,0.3676
HEARTS FIVE SPADES KING,0.412,0.0064,0.5816
DIAMONDS TWO DIAMONDS FOUR,0.6194,0.0132,0.3674
DIAMONDS TWO DIAMONDS SEVEN,0.6492,0.0142,0.3366
DIAMONDS TWO DIAMONDS SIX,0.6262,0.0116,0.3622
SPADES ACE HEARTS FIVE,0.4128,0.0052,0.582
DIAMONDS TWO DIAMONDS EIGHT,0.6262,0.0098,0.364
DIAMONDS THREE DIAMONDS FOUR,0.605,0.0116,0.3834
SPADES FOUR CLUBS TWO,0.6362,0.0114,0.3524
DIAMONDS THREE DIAMONDS FIVE,0.6006,0.0154,0.384
SPADES FIVE CLUBS TWO,0.6552,0.011,0.3338
CLUBS TWO SPADES TWO,0.4594,0.018,0.5226
CLUBS TWO SPADES THREE,0.6402,0.0114,0.3484
DIAMONDS THREE DIAMONDS EIGHT,0.6406,0.0096,0.3498
SPADES EIGHT CLUBS TWO,0.6752,0.0108,0.314
SPADES NINE CLUBS TWO,0.729,0.049,0.222
DIAMONDS THREE DIAMONDS SIX,0.621,0.01,0.369
SPADES SIX CLUBS TWO,0.663,0.01,0.327
DIAMONDS THREE DIAMONDS SEVEN,0.6178,0.0148,0.3674
SPADES SEVEN CLUBS TWO,0.6786,0.0118,0.3096
CLUBS SIX CLUBS TWO,0.6262,0.01,0.3638
CLUBS SEVEN CLUBS TWO,0.6158,0.0094,0.3748
CLUBS FOUR CLUBS TWO,0.6112,0.0114,0.3774
CLUBS FIVE CLUBS TWO,0.6082,0.0114,0.3804
CLUBS TEN CLUBS JACK,0.5434,0.0122,0.4444
DIAMONDS FOUR DIAMONDS SIX,0.6044,0.0118,0.3838
CLUBS TEN CLUBS QUEEN,0.2152,0.1158,0.669
DIAMONDS FOUR DIAMONDS SEVEN,0.6136,0.0116,0.3748
CLUBS TEN CLUBS KING,0.3364,0.006,0.6576
CLUBS TEN CLUBS ACE,0.3434,0.0038,0.6528
CLUBS EIGHT CLUBS TWO,0.6194,0.0104,0.3702
DIAMONDS FIVE DIAMONDS FOUR,0.5866,0.0108,0.4026
CLUBS NINE CLUBS TWO,0.6936,0.046,0.2604
DIAMONDS EIGHT DIAMONDS FOUR,0.6322,0.0148,0.353
CLUBS THREE CLUBS TWO,0.6006,0.0114,0.388
DIAMONDS TWO CLUBS JACK,0.6478,0.0098,0.3424
DIAMONDS EIGHT DIAMONDS FIVE,0.621,0.0126,0.3664
CLUBS TEN DIAMONDS TWO,0.6612,0.0092,0.3296
DIAMONDS FIVE DIAMONDS SEVEN,0.612,0.0092,0.3788
DIAMONDS FIVE DIAMONDS SIX,0.586,0.0102,0.4038
DIAMONDS TWO CLUBS ACE,0.4194,0.0038,0.5768
DIAMONDS TWO CLUBS KING,0.435,0.007,0.558
DIAMONDS TWO CLUBS QUEEN,0.603,0.1696,0.2274
DIAMONDS EIGHT DIAMONDS SIX,0.5934,0.013,0.3936
HEARTS ACE SPADES THREE,0.4168,0.0038,0.5794
SPADES THREE HEARTS KING,0.4262,0.0068,0.567
DIAMONDS SEVEN DIAMONDS SIX,0.5912,0.01,0.3988
SPADES THREE HEARTS QUEEN,0.6208,0.1648,0.2144
SPADES THREE HEARTS JACK,0.653,0.0094,0.3376
SPADES THREE HEARTS TEN,0.6552,0.0132,0.3316
DIAMONDS EIGHT DIAMONDS SEVEN,0.5992,0.0108,0.39
DIAMONDS KING HEARTS TEN,0.357,0.0072,0.6358
HEARTS THREE HEARTS TEN,0.6056,0.01,0.3844
SPADES JACK CLUBS SIX,0.6492,0.0106,0.3402
DIAMONDS KING HEARTS JACK,0.3592,0.007,0.6338
HEARTS THREE HEARTS JACK,0.605,0.0086,0.3864
SPADES TEN CLUBS SIX,0.6486,0.0076,0.3438
SPADES JACK SPADES FIVE,0.6158,0.0116,0.3726
SPADES TEN SPADES FIVE,0.6266,0.0096,0.3638
DIAMONDS KING HEARTS ACE,0.3492,0.0044,0.6464
HEARTS THREE HEARTS ACE,0.3894,0.0036,0.607
SPADES ACE CLUBS SIX,0.4124,0.005,0.5826
DIAMONDS KING HEARTS QUEEN,0.2332,0.0274,0.7394
HEARTS THREE HEARTS QUEEN,0.5726,0.155,0.2724
SPADES KING CLUBS SIX,0.4142,0.0068,0.579
DIAMONDS KING HEARTS KING,0.1512,0.0034,0.8454
HEARTS THREE HEARTS KING,0.3966,0.0078,0.5956
SPADES NINE HEARTS TEN,0.702,0.0348,0.2632
SPADES NINE HEARTS JACK,0.7076,0.0436,0.2488
SPADES KING SPADES FIVE,0.402,0.0096,0.5884
SPADES ACE SPADES FIVE,0.3924,0.005,0.6026
SPADES NINE HEARTS QUEEN,0.0146,0.975,0.0104
SPADES NINE HEARTS KING,0.2548,0.0296,0.7156
SPADES NINE HEARTS ACE,0.263,0.0224,0.7146
CLUBS TEN SPADES JACK,0.5654,0.0118,0.4228
CLUBS TEN SPADES TEN,0.2944,0.0138,0.6918
SPADES ACE CLUBS TEN,0.3706,0.005,0.6244
SPADES KING CLUBS TEN,0.339,0.0048,0.6562
SPADES FIVE HEARTS QUEEN,0.6098,0.1666,0.2236
SPADES FIVE HEARTS KING,0.425,0.0082,0.5668
SPADES FIVE HEARTS ACE,0.407,0.0036,0.5894
SPADES JACK HEARTS THREE,0.6624,0.0084,0.3292
SPADES JACK DIAMONDS KING,0.3574,0.0054,0.6372
SPADES TEN CLUBS EIGHT,0.635,0.0104,0.3546
SPADES JACK CLUBS EIGHT,0.6388,0.0118,0.3494
SPADES TEN HEARTS THREE,0.6566,0.0096,0.3338
SPADES TEN DIAMONDS KING,0.3538,0.009,0.6372
CLUBS SIX HEARTS ACE,0.429,0.0032,0.5678
SPADES ACE CLUBS EIGHT,0.404,0.0032,0.5928
HEARTS FIVE CLUBS JACK,0.637,0.0098,0.3532
HEARTS FIVE CLUBS TEN,0.6454,0.0108,0.3438
CLUBS SIX HEARTS QUEEN,0.61,0.1604,0.2296
CLUBS TEN SPADES THREE,0.644,0.0102,0.3458
CLUBS SIX HEARTS KING,0.4074,0.0054,0.5872
SPADES KING CLUBS EIGHT,0.4128,0.0052,0.582
SPADES THREE CLUBS JACK,0.6422,0.0134,0.3444
DIAMONDS TWO HEARTS JACK,0.6504,0.0104,0.3392
SPADES THREE CLUBS QUEEN,0.6232,0.1574,0.2194
DIAMONDS TWO HEARTS TEN,0.6696,0.0134,0.317
SPADES THREE CLUBS KING,0.425,0.0072,0.5678
HEARTS FIVE CLUBS ACE,0.4126,0.0032,0.5842
SPADES FIVE HEARTS TEN,0.643,0.0136,0.3434
SPADES THREE CLUBS ACE,0.415,0.0054,0.5796
HEARTS FIVE CLUBS KING,0.41,0.0066,0.5834
SPADES FIVE HEARTS JACK,0.644,0.0118,0.3442
HEARTS FIVE CLUBS QUEEN,0.597,0.169,0.234
HEARTS THREE CLUBS KING,0.4188,0.0058,0.5754
DIAMONDS KING CLUBS KING,0.1422,0.0036,0.8542
HEARTS THREE CLUBS QUEEN,0.6088,0.161,0.2302
DIAMONDS KING CLUBS QUEEN,0.2418,0.0248,0.7334
HEARTS FIVE HEARTS JACK,0.6082,0.0104,0.3814
HEARTS FIVE HEARTS TEN,0.6122,0.0118,0.376
HEARTS THREE CLUBS ACE,0.4164,0.0042,0.5794
DIAMONDS KING CLUBS ACE,0.3376,0.005,0.6574
SPADES ACE CLUBS QUEEN,0.24,0.0152,0.7448
SPADES KING CLUBS QUEEN,0.2486,0.0294,0.722
HEARTS THREE CLUBS JACK,0.6458,0.0092,0.345
DIAMONDS KING CLUBS JACK,0.356,0.0074,0.6366
CLUBS TEN HEARTS THREE,0.645,0.0122,0.3428
CLUBS TEN DIAMONDS KING,0.3586,0.0068,0.6346
SPADES JACK CLUBS QUEEN,0.2398,0.0868,0.6734
CLUBS SIX CLUBS QUEEN,0.5632,0.1608,0.276
SPADES TEN CLUBS QUEEN,0.2298,0.1166,0.6536
CLUBS SIX CLUBS KING,0.3964,0.0074,0.5962
CLUBS SIX CLUBS ACE,0.3866,0.0052,0.6082
HEARTS FIVE HEARTS KING,0.3942,0.0076,0.5982
HEARTS FIVE HEARTS QUEEN,0.5554,0.1502,0.2944
CLUBS TEN CLUBS SIX,0.6018,0.0096,0.3886
HEARTS FIVE HEARTS ACE,0.385,0.005,0.61
CLUBS SIX CLUBS JACK,0.6118,0.0114,0.3768
SPADES SEVEN HEARTS JACK,0.6566,0.0062,0.3372
SPADES SEVEN HEARTS TEN,0.6318,0.0096,0.3586
DIAMONDS TWO CLUBS TWO,0.4636,0.0208,0.5156
DIAMONDS TWO CLUBS THREE,0.6466,0.01,0.3434
DIAMONDS TWO HEARTS SIX,0.6504,0.013,0.3366
DIAMONDS TWO HEARTS QUEEN,0.6068,0.1566,0.2366
HEARTS SEVEN DIAMONDS TWO,0.677,0.013,0.31
DIAMONDS TWO HEARTS KING,0.4324,0.0078,0.5598
DIAMONDS TWO HEARTS EIGHT,0.6776,0.0114,0.311
DIAMONDS TWO HEARTS ACE,0.4142,0.005,0.5808
DIAMONDS TWO HEARTS NINE,0.7272,0.0436,0.2292
DIAMONDS TWO DIAMONDS QUEEN,0.5822,0.1506,0.2672
DIAMONDS TWO HEARTS TWO,0.4626,0.022,0.5154
DIAMONDS TWO DIAMONDS KING,0.4026,0.011,0.5864
DIAMONDS TWO HEARTS THREE,0.6478,0.012,0.3402
DIAMONDS TWO DIAMONDS ACE,0.3948,0.0056,0.5996
HEARTS FOUR DIAMONDS TWO,0.6656,0.009,0.3254
HEARTS FIVE DIAMONDS TWO,0.6466,0.0098,0.3436
SPADES SEVEN HEARTS ACE,0.4238,0.0052,0.571
DIAMONDS TWO DIAMONDS TEN,0.6172,0.0124,0.3704
SPADES SEVEN HEARTS KING,0.43,0.0048,0.5652
DIAMONDS TWO DIAMONDS JACK,0.6214,0.0096,0.369
SPADES SEVEN HEARTS QUEEN,0.6182,0.1532,0.2286
DIAMONDS TWO SPADES NINE,0.7352,0.049,0.2158
DIAMONDS TWO SPADES EIGHT,0.691,0.0114,0.2976
DIAMONDS TWO SPADES SEVEN,0.677,0.0126,0.3104
DIAMONDS TWO SPADES SIX,0.6546,0.0122,0.3332
DIAMONDS TWO SPADES FIVE,0.6422,0.0102,0.3476
DIAMONDS TWO SPADES FOUR,0.66,0.012,0.328
DIAMONDS TWO SPADES THREE,0.6566,0.0136,0.3298
DIAMONDS TWO SPADES TWO,0.4764,0.0202,0.5034
CLUBS NINE DIAMONDS TWO,0.7252,0.0472,0.2276
DIAMONDS TWO CLUBS EIGHT,0.6664,0.014,0.3196
CLUBS SEVEN DIAMONDS TWO,0.6748,0.011,0.3142
DIAMONDS TWO CLUBS SIX,0.6626,0.0088,0.3286
DIAMONDS TWO CLUBS FIVE,0.6382,0.013,0.3488
DIAMONDS TWO CLUBS FOUR,0.6586,0.0154,0.326
CLUBS FOUR SPADES FIVE,0.6288,0.01,0.3612
CLUBS FOUR SPADES FOUR,0.4536,0.0238,0.5226
CLUBS FOUR SPADES THREE,0.6432,0.0126,0.3442
CLUBS FOUR SPADES TWO,0.6678,0.0116,0.3206
SPADES NINE CLUBS FOUR,0.723,0.046,0.231
