opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN HEARTS EIGHT
SPADES TEN HEARTS FIVE,0.6544,0.0106,0.335
SPADES JACK HEARTS FIVE,0.6262,0.013,0.3608
SPADES FIVE CLUBS JACK,0.6476,0.0096,0.3428
CLUBS TEN SPADES FIVE,0.6394,0.0122,0.3484
CLUBS EIGHT CLUBS JACK,0.671,0.0372,0.2918
CLUBS TEN CLUBS EIGHT,0.647,0.0378,0.3152
CLUBS EIGHT CLUBS KING,0.241,0.029,0.73
SPADES FIVE CLUBS ACE,0.4004,0.0058,0.5938
CLUBS EIGHT CLUBS QUEEN,0.02,0.9038,0.0762
SPADES FIVE CLUBS KING,0.4098,0.005,0.5852
SPADES FIVE CLUBS QUEEN,0.5512,0.2314,0.2174
CLUBS EIGHT CLUBS ACE,0.2458,0.024,0.7302
DIAMONDS TWO DIAMONDS THREE,0.6076,0.0142,0.3782
DIAMONDS TWO DIAMONDS FIVE,0.6108,0.0114,0.3778
SPADES KING HEARTS FIVE,0.4104,0.0058,0.5838
DIAMONDS TWO DIAMONDS FOUR,0.594,0.0156,0.3904
DIAMONDS TWO DIAMONDS SEVEN,0.6172,0.0102,0.3726
DIAMONDS TWO DIAMONDS SIX,0.6134,0.0122,0.3744
SPADES ACE HEARTS FIVE,0.395,0.0038,0.6012
DIAMONDS TWO DIAMONDS NINE,0.5962,0.01,0.3938
DIAMONDS TWO DIAMONDS EIGHT,0.6834,0.042,0.2746
DIAMONDS THREE DIAMONDS FOUR,0.6008,0.0102,0.389
SPADES FOUR CLUBS TWO,0.6494,0.0144,0.3362
DIAMONDS THREE DIAMONDS FIVE,0.5882,0.0134,0.3984
SPADES FIVE CLUBS TWO,0.6328,0.0142,0.353
CLUBS TWO SPADES TWO,0.463,0.026,0.511
CLUBS TWO SPADES THREE,0.6526,0.0122,0.3352
DIAMONDS THREE DIAMONDS EIGHT,0.6834,0.0442,0.2724
SPADES EIGHT CLUBS TWO,0.7306,0.0404,0.229
DIAMONDS THREE DIAMONDS NINE,0.5844,0.0108,0.4048
SPADES NINE CLUBS TWO,0.6384,0.0156,0.346
DIAMONDS THREE DIAMONDS SIX,0.5882,0.0136,0.3982
SPADES SIX CLUBS TWO,0.6526,0.0128,0.3346
DIAMONDS THREE DIAMONDS SEVEN,0.6092,0.0144,0.3764
SPADES SEVEN CLUBS TWO,0.6742,0.0146,0.3112
CLUBS SIX CLUBS TWO,0.6138,0.0104,0.3758
CLUBS SEVEN CLUBS TWO,0.6268,0.0094,0.3638
CLUBS FOUR CLUBS TWO,0.6046,0.0112,0.3842
CLUBS FIVE CLUBS TWO,0.5918,0.0102,0.398
CLUBS TEN CLUBS JACK,0.5242,0.0098,0.466
DIAMONDS FOUR DIAMONDS SIX,0.5934,0.009,0.3976
CLUBS TEN CLUBS QUEEN,0.2126,0.117,0.6704
DIAMONDS FOUR DIAMONDS SEVEN,0.6056,0.0112,0.3832
CLUBS TEN CLUBS KING,0.327,0.007,0.666
CLUBS TEN CLUBS ACE,0.3416,0.0032,0.6552
CLUBS EIGHT CLUBS TWO,0.694,0.0472,0.2588
DIAMONDS FIVE DIAMONDS FOUR,0.5662,0.0098,0.424
CLUBS NINE CLUBS TWO,0.5996,0.0138,0.3866
DIAMONDS NINE DIAMONDS FOUR,0.596,0.0106,0.3934
DIAMONDS EIGHT DIAMONDS FOUR,0.6592,0.0478,0.293
CLUBS THREE CLUBS TWO,0.6064,0.0098,0.3838
DIAMONDS NINE DIAMONDS FIVE,0.5882,0.0108,0.401
DIAMONDS TWO CLUBS JACK,0.6338,0.0106,0.3556
DIAMONDS EIGHT DIAMONDS FIVE,0.6482,0.0404,0.3114
CLUBS TEN DIAMONDS TWO,0.6386,0.0104,0.351
DIAMONDS FIVE DIAMONDS SEVEN,0.5836,0.0112,0.4052
DIAMONDS FIVE DIAMONDS SIX,0.575,0.0114,0.4136
DIAMONDS TWO CLUBS ACE,0.4008,0.0038,0.5954
DIAMONDS TWO CLUBS KING,0.4162,0.0084,0.5754
DIAMONDS TWO CLUBS QUEEN,0.533,0.2336,0.2334
DIAMONDS EIGHT DIAMONDS SIX,0.649,0.0444,0.3066
DIAMONDS NINE DIAMONDS SIX,0.5886,0.0084,0.403
HEARTS ACE SPADES THREE,0.4004,0.0046,0.595
SPADES THREE HEARTS KING,0.4032,0.0094,0.5874
DIAMONDS SEVEN DIAMONDS SIX,0.5806,0.01,0.4094
SPADES THREE HEARTS QUEEN,0.5518,0.2292,0.219
SPADES THREE HEARTS JACK,0.6336,0.0144,0.352
SPADES THREE HEARTS TEN,0.6394,0.0104,0.3502
DIAMONDS EIGHT DIAMONDS SEVEN,0.6542,0.0414,0.3044
DIAMONDS NINE DIAMONDS SEVEN,0.5672,0.011,0.4218
DIAMONDS NINE DIAMONDS EIGHT,0.635,0.0374,0.3276
DIAMONDS KING HEARTS TEN,0.3426,0.0062,0.6512
HEARTS THREE HEARTS TEN,0.6016,0.0102,0.3882
SPADES JACK CLUBS SIX,0.6434,0.0076,0.349
DIAMONDS KING HEARTS JACK,0.3534,0.006,0.6406
HEARTS THREE HEARTS JACK,0.6114,0.0106,0.378
SPADES TEN CLUBS SIX,0.6314,0.0116,0.357
SPADES JACK SPADES FIVE,0.6124,0.0098,0.3778
SPADES TEN SPADES FIVE,0.609,0.0126,0.3784
DIAMONDS KING HEARTS ACE,0.3164,0.0056,0.678
HEARTS THREE HEARTS ACE,0.376,0.0062,0.6178
SPADES ACE CLUBS SIX,0.4126,0.004,0.5834
DIAMONDS KING HEARTS QUEEN,0.217,0.0274,0.7556
HEARTS THREE HEARTS QUEEN,0.5234,0.2134,0.2632
SPADES KING CLUBS SIX,0.3938,0.0082,0.598
DIAMONDS KING HEARTS KING,0.1468,0.002,0.8512
HEARTS THREE HEARTS KING,0.3932,0.009,0.5978
SPADES NINE HEARTS TEN,0.5592,0.0124,0.4284
SPADES NINE HEARTS JACK,0.5766,0.011,0.4124
SPADES KING SPADES FIVE,0.385,0.0092,0.6058
SPADES ACE SPADES FIVE,0.384,0.0058,0.6102
SPADES NINE HEARTS QUEEN,0.2144,0.1692,0.6164
SPADES NINE HEARTS KING,0.347,0.0084,0.6446
SPADES NINE HEARTS ACE,0.3652,0.0066,0.6282
CLUBS TEN SPADES JACK,0.558,0.0092,0.4328
CLUBS TEN SPADES TEN,0.2904,0.0136,0.696
SPADES ACE CLUBS TEN,0.3618,0.0036,0.6346
SPADES KING CLUBS TEN,0.3458,0.0064,0.6478
SPADES FIVE HEARTS QUEEN,0.544,0.2298,0.2262
SPADES FIVE HEARTS KING,0.3934,0.0076,0.599
SPADES FIVE HEARTS ACE,0.3936,0.0048,0.6016
HEARTS THREE SPADES JACK,0.651,0.0104,0.3386
SPADES JACK DIAMONDS KING,0.3354,0.005,0.6596
SPADES TEN CLUBS EIGHT,0.7008,0.043,0.2562
SPADES JACK CLUBS EIGHT,0.6982,0.0446,0.2572
HEARTS THREE SPADES TEN,0.6602,0.0126,0.3272
SPADES TEN DIAMONDS KING,0.3508,0.008,0.6412
CLUBS SIX HEARTS ACE,0.4012,0.0036,0.5952
SPADES ACE CLUBS EIGHT,0.2366,0.0242,0.7392
HEARTS FIVE CLUBS JACK,0.642,0.0116,0.3464
CLUBS TEN HEARTS FIVE,0.6486,0.0096,0.3418
CLUBS SIX HEARTS QUEEN,0.5348,0.233,0.2322
CLUBS TEN SPADES THREE,0.6488,0.0088,0.3424
CLUBS SIX HEARTS KING,0.404,0.0068,0.5892
SPADES KING CLUBS EIGHT,0.248,0.0316,0.7204
SPADES THREE CLUBS JACK,0.6288,0.0114,0.3598
DIAMONDS TWO HEARTS JACK,0.6318,0.0096,0.3586
SPADES THREE CLUBS QUEEN,0.5434,0.224,0.2326
DIAMONDS TWO HEARTS TEN,0.6208,0.0126,0.3666
SPADES THREE CLUBS KING,0.4216,0.0062,0.5722
HEARTS FIVE CLUBS ACE,0.401,0.0034,0.5956
SPADES FIVE HEARTS TEN,0.638,0.0128,0.3492
SPADES THREE CLUBS ACE,0.4078,0.0056,0.5866
HEARTS FIVE CLUBS KING,0.4122,0.0076,0.5802
SPADES FIVE HEARTS JACK,0.6286,0.0112,0.3602
HEARTS FIVE CLUBS QUEEN,0.5318,0.232,0.2362
HEARTS THREE CLUBS KING,0.429,0.0062,0.5648
DIAMONDS KING CLUBS KING,0.143,0.0026,0.8544
HEARTS THREE CLUBS QUEEN,0.5554,0.229,0.2156
DIAMONDS KING CLUBS QUEEN,0.2372,0.0298,0.733
HEARTS FIVE HEARTS JACK,0.6124,0.0128,0.3748
HEARTS FIVE HEARTS TEN,0.6,0.0112,0.3888
HEARTS THREE CLUBS ACE,0.4212,0.0036,0.5752
DIAMONDS KING CLUBS ACE,0.3268,0.0044,0.6688
SPADES ACE CLUBS QUEEN,0.2396,0.0128,0.7476
SPADES KING CLUBS QUEEN,0.226,0.027,0.747
HEARTS THREE CLUBS JACK,0.6462,0.0084,0.3454
DIAMONDS KING CLUBS JACK,0.3582,0.0056,0.6362
CLUBS TEN HEARTS THREE,0.641,0.0096,0.3494
CLUBS TEN DIAMONDS KING,0.346,0.0066,0.6474
SPADES JACK CLUBS QUEEN,0.2358,0.0856,0.6786
CLUBS SIX CLUBS QUEEN,0.5132,0.206,0.2808
SPADES TEN CLUBS QUEEN,0.22,0.1162,0.6638
CLUBS SIX CLUBS KING,0.3808,0.0056,0.6136
CLUBS SIX CLUBS ACE,0.3766,0.0036,0.6198
HEARTS FIVE HEARTS KING,0.3874,0.0076,0.605
HEARTS FIVE HEARTS QUEEN,0.5106,0.219,0.2704
CLUBS TEN CLUBS SIX,0.5878,0.011,0.4012
HEARTS FIVE HEARTS ACE,0.3796,0.0034,0.617
CLUBS SIX CLUBS JACK,0.5888,0.0076,0.4036
SPADES SEVEN HEARTS JACK,0.6344,0.0114,0.3542
SPADES SEVEN HEARTS TEN,0.6192,0.0094,0.3714
DIAMONDS TWO CLUBS TWO,0.4516,0.0256,0.5228
DIAMONDS TWO CLUBS THREE,0.6398,0.0106,0.3496
HEARTS SIX DIAMONDS TWO,0.6652,0.0112,0.3236
DIAMONDS TWO HEARTS QUEEN,0.556,0.2144,0.2296
DIAMONDS TWO HEARTS SEVEN,0.6776,0.0098,0.3126
DIAMONDS TWO HEARTS KING,0.4114,0.0104,0.5782
DIAMONDS TWO HEARTS ACE,0.406,0.0038,0.5902
DIAMONDS TWO HEARTS NINE,0.6336,0.0128,0.3536
DIAMONDS TWO DIAMONDS QUEEN,0.5114,0.2228,0.2658
DIAMONDS TWO HEARTS TWO,0.4414,0.0266,0.532
DIAMONDS TWO DIAMONDS KING,0.3908,0.0074,0.6018
HEARTS THREE DIAMONDS TWO,0.6464,0.013,0.3406
DIAMONDS TWO DIAMONDS ACE,0.3838,0.003,0.6132
HEARTS FOUR DIAMONDS TWO,0.6532,0.0112,0.3356
DIAMONDS TWO HEARTS FIVE,0.6398,0.016,0.3442
SPADES SEVEN HEARTS ACE,0.3946,0.0038,0.6016
DIAMONDS TWO DIAMONDS TEN,0.6066,0.009,0.3844
SPADES SEVEN HEARTS KING,0.4,0.0066,0.5934
DIAMONDS TWO DIAMONDS JACK,0.6162,0.0092,0.3746
SPADES SEVEN HEARTS QUEEN,0.5584,0.2214,0.2202
DIAMONDS TWO SPADES NINE,0.635,0.011,0.354
DIAMONDS TWO SPADES EIGHT,0.7298,0.0462,0.224
DIAMONDS TWO SPADES SEVEN,0.6672,0.0136,0.3192
DIAMONDS TWO SPADES SIX,0.659,0.0114,0.3296
DIAMONDS TWO SPADES FIVE,0.6496,0.0152,0.3352
DIAMONDS TWO SPADES FOUR,0.6372,0.0126,0.3502
DIAMONDS TWO SPADES THREE,0.6352,0.0114,0.3534
DIAMONDS TWO SPADES TWO,0.4484,0.0228,0.5288
CLUBS NINE DIAMONDS TWO,0.6414,0.0098,0.3488
DIAMONDS TWO CLUBS EIGHT,0.723,0.0454,0.2316
CLUBS SEVEN DIAMONDS TWO,0.6604,0.0122,0.3274
DIAMONDS TWO CLUBS SIX,0.6564,0.0116,0.332
DIAMONDS TWO CLUBS FIVE,0.6368,0.0112,0.352
DIAMONDS TWO CLUBS FOUR,0.6382,0.0128,0.349
CLUBS FOUR SPADES FIVE,0.6252,0.0154,0.3594
CLUBS FOUR SPADES FOUR,0.443,0.019,0.538
CLUBS FOUR SPADES THREE,0.6386,0.0116,0.3498
CLUBS FOUR SPADES TWO,0.6428,0.0122,0.345
SPADES NINE CLUBS FOUR,0.6346,0.0132,0.3522
SPADES EIGHT CLUBS FOUR,0.6994,0.054,0.2466
SPADES SEVEN CLUBS FOUR,0.647,0.0126,0.3404
SPADES SIX CLUBS FOUR,0.6402,0.0112,0.3486
SPADES ACE DIAMONDS SIX,0.414,0.005,0.581
SPADES KING DIAMONDS SIX,0.403,0.0074,0.5896
SPADES TEN DIAMONDS SIX,0.6364,0.0102,0.3534
SPADES JACK DIAMONDS SIX,0.6398,0.0108,0.3494
SPADES KING SPADES TWO,0.3868,0.0078,0.6054
SPADES ACE SPADES TWO,0.3914,0.0056,0.603
DIAMONDS JACK CLUBS JACK,0.282,0.0072,0.7108
CLUBS TEN DIAMONDS JACK,0.5556,0.0076,0.4368
DIAMONDS JACK CLUBS KING,0.3546,0.005,0.6404
DIAMONDS JACK CLUBS QUEEN,0.2262,0.09,0.6838
DIAMONDS THREE DIAMONDS JACK,0.5976,0.0104,0.392
DIAMONDS THREE DIAMONDS TEN,0.6092,0.0116,0.3792
DIAMONDS JACK CLUBS ACE,0.3568,0.0042,0.639
DIAMONDS THREE DIAMONDS KING,0.393,0.0072,0.5998
HEARTS THREE DIAMONDS THREE,0.441,0.0254,0.5336
DIAMONDS THREE DIAMONDS QUEEN,0.5068,0.2208,0.2724
DIAMONDS THREE HEARTS TWO,0.65,0.0126,0.3374
HEARTS FIVE DIAMONDS THREE,0.635,0.0112,0.3538
DIAMONDS THREE DIAMONDS ACE,0.3818,0.0054,0.6128
HEARTS FOUR DIAMONDS THREE,0.6342,0.0166,0.3492
DIAMONDS THREE HEARTS SEVEN,0.6538,0.012,0.3342
SPADES TEN SPADES NINE,0.5324,0.0084,0.4592
HEARTS SIX DIAMONDS THREE,0.6418,0.0128,0.3454
SPADES JACK SPADES NINE,0.5506,0.0098,0.4396
DIAMONDS THREE HEARTS NINE,0.6364,0.0134,0.3502
HEARTS JACK DIAMONDS FOUR,0.6384,0.0096,0.352
HEARTS ACE HEARTS KING,0.3174,0.0062,0.6764
SPADES TEN SPADES TWO,0.603,0.011,0.386
HEARTS TEN DIAMONDS FOUR,0.6326,0.0118,0.3556
SPADES JACK SPADES TWO,0.6204,0.0112,0.3684
HEARTS QUEEN DIAMONDS FOUR,0.5322,0.2312,0.2366
HEARTS KING DIAMONDS FOUR,0.4072,0.0074,0.5854
SPADES ACE SPADES NINE,0.3496,0.005,0.6454
HEARTS ACE DIAMONDS FOUR,0.4,0.0034,0.5966
SPADES KING SPADES NINE,0.34,0.0086,0.6514
DIAMONDS THREE SPADES NINE,0.6468,0.0098,0.3434
DIAMONDS THREE SPADES EIGHT,0.7348,0.051,0.2142
DIAMONDS THREE SPADES SEVEN,0.6418,0.0136,0.3446
DIAMONDS THREE SPADES SIX,0.6466,0.0136,0.3398
DIAMONDS THREE CLUBS SIX,0.643,0.0126,0.3444
CLUBS FIVE CLUBS SIX,0.5788,0.0112,0.41
CLUBS ACE DIAMONDS FOUR,0.4092,0.004,0.5868
CLUBS SEVEN DIAMONDS THREE,0.6432,0.0112,0.3456
CLUBS SEVEN CLUBS FIVE,0.599,0.0122,0.3888
DIAMONDS THREE CLUBS FOUR,0.628,0.0122,0.3598
DIAMONDS FOUR CLUBS QUEEN,0.5414,0.2184,0.2402
DIAMONDS THREE CLUBS FIVE,0.6224,0.0114,0.3662
CLUBS KING DIAMONDS FOUR,0.4,0.0092,0.5908
DIAMONDS THREE CLUBS TWO,0.6388,0.0118,0.3494
CLUBS TEN DIAMONDS FOUR,0.644,0.0124,0.3436
DIAMONDS THREE CLUBS THREE,0.4478,0.02,0.5322
DIAMONDS FOUR CLUBS JACK,0.6386,0.0096,0.3518
DIAMONDS THREE SPADES FOUR,0.6488,0.0098,0.3414
DIAMONDS THREE SPADES FIVE,0.6148,0.011,0.3742
DIAMONDS THREE SPADES TWO,0.643,0.0112,0.3458
DIAMONDS THREE SPADES THREE,0.4462,0.0224,0.5314
CLUBS EIGHT DIAMONDS THREE,0.7254,0.0424,0.2322
CLUBS NINE DIAMONDS THREE,0.6488,0.0076,0.3436
SPADES SEVEN CLUBS ACE,0.4114,0.0026,0.586
SPADES SEVEN CLUBS QUEEN,0.5504,0.226,0.2236
SPADES SEVEN CLUBS KING,0.4042,0.0064,0.5894
CLUBS FIVE SPADES SEVEN,0.6376,0.0142,0.3482
CLUBS TEN SPADES SEVEN,0.62,0.0112,0.3688
CLUBS FIVE SPADES SIX,0.6206,0.0126,0.3668
SPADES SEVEN CLUBS JACK,0.626,0.0116,0.3624
SPADES NINE CLUBS FIVE,0.6252,0.0132,0.3616
CLUBS FIVE SPADES EIGHT,0.6964,0.0524,0.2512
CLUBS FIVE SPADES THREE,0.6252,0.012,0.3628
CLUBS FIVE SPADES TWO,0.647,0.0132,0.3398
CLUBS FIVE SPADES FIVE,0.4502,0.0222,0.5276
CLUBS FIVE SPADES FOUR,0.608,0.0134,0.3786
CLUBS NINE CLUBS FIVE,0.59,0.0122,0.3978
CLUBS EIGHT CLUBS FIVE,0.6472,0.0514,0.3014
CLUBS ACE CLUBS QUEEN,0.2348,0.0152,0.75
CLUBS KING CLUBS QUEEN,0.2098,0.0248,0.7654
DIAMONDS TEN DIAMONDS FOUR,0.5964,0.0098,0.3938
CLUBS TEN DIAMONDS NINE,0.5766,0.0076,0.4158
DIAMONDS JACK DIAMONDS FOUR,0.594,0.0108,0.3952
DIAMONDS NINE CLUBS JACK,0.573,0.0106,0.4164
SPADES NINE CLUBS JACK,0.5912,0.0116,0.3972
CLUBS TEN SPADES NINE,0.5716,0.0112,0.4172
DIAMONDS ACE DIAMONDS FOUR,0.3804,0.0038,0.6158
HEARTS FOUR DIAMONDS FOUR,0.4472,0.0262,0.5266
DIAMONDS JACK HEARTS TEN,0.5586,0.009,0.4324
SPADES NINE CLUBS KING,0.3668,0.0084,0.6248
DIAMONDS TWO SPADES TEN,0.638,0.0086,0.3534
DIAMONDS NINE CLUBS ACE,0.3708,0.0042,0.625
HEARTS FIVE DIAMONDS FOUR,0.616,0.0106,0.3734
DIAMONDS JACK HEARTS JACK,0.2794,0.0118,0.7088
SPADES NINE CLUBS QUEEN,0.2276,0.1626,0.6098
SPADES JACK DIAMONDS TWO,0.629,0.0114,0.3596
DIAMONDS QUEEN DIAMONDS FOUR,0.519,0.2108,0.2702
HEARTS TWO DIAMONDS FOUR,0.6344,0.013,0.3526
DIAMONDS NINE CLUBS QUEEN,0.2288,0.164,0.6072
DIAMONDS KING DIAMONDS FOUR,0.3858,0.0074,0.6068
HEARTS THREE DIAMONDS FOUR,0.6404,0.0116,0.348
SPADES NINE CLUBS ACE,0.3676,0.005,0.6274
DIAMONDS NINE CLUBS KING,0.3656,0.0054,0.629
HEARTS ACE DIAMONDS JACK,0.351,0.005,0.644
SPADES ACE DIAMONDS TWO,0.411,0.0038,0.5852
HEARTS QUEEN DIAMONDS JACK,0.228,0.0858,0.6862
DIAMONDS JACK HEARTS KING,0.3432,0.008,0.6488
SPADES KING DIAMONDS TWO,0.4022,0.0084,0.5894
SPADES JACK SPADES SEVEN,0.5904,0.0134,0.3962
SPADES TEN SPADES SEVEN,0.5994,0.0114,0.3892
CLUBS SEVEN CLUBS THREE,0.6252,0.012,0.3628
CLUBS SIX CLUBS THREE,0.5848,0.0134,0.4018
CLUBS FIVE CLUBS THREE,0.5918,0.012,0.3962
CLUBS THREE CLUBS FOUR,0.5844,0.0136,0.402
CLUBS NINE CLUBS THREE,0.582,0.0116,0.4064
CLUBS EIGHT CLUBS THREE,0.6708,0.046,0.2832
CLUBS THREE SPADES FIVE,0.6396,0.013,0.3474
CLUBS THREE SPADES FOUR,0.628,0.0106,0.3614
CLUBS THREE SPADES THREE,0.459,0.027,0.514
CLUBS THREE SPADES TWO,0.654,0.01,0.336
CLUBS THREE SPADES SIX,0.6428,0.0138,0.3434
SPADES SEVEN CLUBS THREE,0.6616,0.0148,0.3236
SPADES EIGHT CLUBS THREE,0.7348,0.0494,0.2158
SPADES NINE CLUBS THREE,0.6396,0.01,0.3504
SPADES TWO DIAMONDS FOUR,0.6414,0.0128,0.3458
SPADES THREE DIAMONDS FOUR,0.6356,0.0112,0.3532
SPADES FOUR DIAMONDS FOUR,0.4438,0.021,0.5352
SPADES FIVE DIAMONDS FOUR,0.6218,0.0154,0.3628
