opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN HEARTS FOUR
HEARTS FIVE SPADES TEN,0.6068,0.014,0.3792
HEARTS FIVE SPADES JACK,0.6012,0.0138,0.385
SPADES FIVE CLUBS JACK,0.601,0.0094,0.3896
CLUBS TEN SPADES FIVE,0.5912,0.01,0.3988
CLUBS EIGHT CLUBS JACK,0.5256,0.0108,0.4636
CLUBS TEN CLUBS EIGHT,0.521,0.0106,0.4684
CLUBS EIGHT CLUBS KING,0.3384,0.0062,0.6554
SPADES FIVE CLUBS ACE,0.3468,0.0032,0.65
CLUBS EIGHT CLUBS QUEEN,0.2256,0.2112,0.5632
SPADES FIVE CLUBS KING,0.3622,0.0088,0.629
SPADES FIVE CLUBS QUEEN,0.2228,0.4558,0.3214
CLUBS EIGHT CLUBS ACE,0.3538,0.0054,0.6408
DIAMONDS TWO DIAMONDS THREE,0.6014,0.0148,0.3838
DIAMONDS TWO DIAMONDS FIVE,0.5662,0.0144,0.4194
HEARTS FIVE SPADES KING,0.3386,0.0112,0.6502
DIAMONDS TWO DIAMONDS FOUR,0.6524,0.048,0.2996
DIAMONDS TWO DIAMONDS SEVEN,0.6006,0.0136,0.3858
DIAMONDS TWO DIAMONDS SIX,0.594,0.0142,0.3918
SPADES ACE HEARTS FIVE,0.3244,0.0052,0.6704
DIAMONDS TWO DIAMONDS NINE,0.579,0.0116,0.4094
DIAMONDS TWO DIAMONDS EIGHT,0.5874,0.0118,0.4008
DIAMONDS THREE DIAMONDS FOUR,0.6218,0.0462,0.332
SPADES FOUR CLUBS TWO,0.6958,0.0484,0.2558
DIAMONDS THREE DIAMONDS FIVE,0.562,0.0124,0.4256
SPADES FIVE CLUBS TWO,0.6236,0.0146,0.3618
CLUBS TWO SPADES TWO,0.4216,0.0366,0.5418
CLUBS TWO SPADES THREE,0.6498,0.0162,0.334
DIAMONDS THREE DIAMONDS EIGHT,0.5742,0.0096,0.4162
SPADES EIGHT CLUBS TWO,0.6456,0.0106,0.3438
DIAMONDS THREE DIAMONDS NINE,0.5876,0.013,0.3994
SPADES NINE CLUBS TWO,0.6336,0.0112,0.3552
DIAMONDS THREE DIAMONDS SIX,0.5654,0.0128,0.4218
SPADES SIX CLUBS TWO,0.6208,0.015,0.3642
DIAMONDS THREE DIAMONDS SEVEN,0.5952,0.0124,0.3924
SPADES SEVEN CLUBS TWO,0.6314,0.012,0.3566
CLUBS SIX CLUBS TWO,0.5866,0.013,0.4004
CLUBS SEVEN CLUBS TWO,0.5856,0.0132,0.4012
CLUBS FOUR CLUBS TWO,0.6594,0.048,0.2926
CLUBS FIVE CLUBS TWO,0.568,0.0128,0.4192
CLUBS TEN CLUBS JACK,0.508,0.0102,0.4818
DIAMONDS FOUR DIAMONDS SIX,0.6486,0.04,0.3114
CLUBS TEN CLUBS QUEEN,0.2176,0.1054,0.677
DIAMONDS FOUR DIAMONDS SEVEN,0.6374,0.0408,0.3218
CLUBS TEN CLUBS KING,0.317,0.0072,0.6758
CLUBS TEN CLUBS ACE,0.3222,0.003,0.6748
CLUBS EIGHT CLUBS TWO,0.5926,0.0112,0.3962
DIAMONDS FIVE DIAMONDS FOUR,0.6286,0.0436,0.3278
CLUBS NINE CLUBS TWO,0.5868,0.0106,0.4026
DIAMONDS NINE DIAMONDS FOUR,0.6656,0.0436,0.2908
DIAMONDS EIGHT DIAMONDS FOUR,0.654,0.0392,0.3068
CLUBS THREE CLUBS TWO,0.6004,0.0144,0.3852
DIAMONDS NINE DIAMONDS FIVE,0.536,0.0138,0.4502
DIAMONDS TWO CLUBS JACK,0.641,0.0108,0.3482
DIAMONDS EIGHT DIAMONDS FIVE,0.5406,0.0118,0.4476
CLUBS TEN DIAMONDS TWO,0.6192,0.0148,0.366
DIAMONDS FIVE DIAMONDS SEVEN,0.5414,0.0118,0.4468
DIAMONDS FIVE DIAMONDS SIX,0.5304,0.0114,0.4582
DIAMONDS TWO CLUBS ACE,0.3914,0.005,0.6036
DIAMONDS TWO CLUBS KING,0.3882,0.0084,0.6034
DIAMONDS TWO CLUBS QUEEN,0.2772,0.5028,0.22
DIAMONDS EIGHT DIAMONDS SIX,0.5302,0.012,0.4578
DIAMONDS NINE DIAMONDS SIX,0.5274,0.011,0.4616
HEARTS ACE SPADES THREE,0.37,0.0062,0.6238
SPADES THREE HEARTS KING,0.3722,0.0094,0.6184
DIAMONDS SEVEN DIAMONDS SIX,0.5134,0.012,0.4746
SPADES THREE HEARTS QUEEN,0.2518,0.5392,0.209
SPADES THREE HEARTS JACK,0.6354,0.0146,0.35
SPADES THREE HEARTS TEN,0.6176,0.0122,0.3702
DIAMONDS EIGHT DIAMONDS SEVEN,0.5298,0.0106,0.4596
DIAMONDS NINE DIAMONDS SEVEN,0.5244,0.0108,0.4648
DIAMONDS NINE DIAMONDS EIGHT,0.5062,0.0088,0.485
DIAMONDS KING HEARTS TEN,0.3256,0.007,0.6674
HEARTS THREE HEARTS TEN,0.5996,0.011,0.3894
SPADES JACK CLUBS SIX,0.587,0.0144,0.3986
DIAMONDS KING HEARTS JACK,0.338,0.008,0.654
HEARTS THREE HEARTS JACK,0.5876,0.0124,0.4
SPADES TEN CLUBS SIX,0.593,0.0136,0.3934
SPADES JACK SPADES FIVE,0.5726,0.0148,0.4126
SPADES TEN SPADES FIVE,0.5784,0.0112,0.4104
DIAMONDS KING HEARTS ACE,0.3048,0.0072,0.688
HEARTS THREE HEARTS ACE,0.3572,0.0038,0.639
SPADES ACE CLUBS SIX,0.3692,0.0046,0.6262
DIAMONDS KING HEARTS QUEEN,0.217,0.028,0.755
HEARTS THREE HEARTS QUEEN,0.246,0.5006,0.2534
SPADES KING CLUBS SIX,0.3524,0.0064,0.6412
DIAMONDS KING HEARTS KING,0.1316,0.0038,0.8646
HEARTS THREE HEARTS KING,0.3706,0.01,0.6194
SPADES NINE HEARTS TEN,0.5414,0.0092,0.4494
SPADES NINE HEARTS JACK,0.5596,0.0128,0.4276
SPADES KING SPADES FIVE,0.3348,0.0086,0.6566
SPADES ACE SPADES FIVE,0.3268,0.004,0.6692
SPADES NINE HEARTS QUEEN,0.233,0.1688,0.5982
SPADES NINE HEARTS KING,0.3424,0.0084,0.6492
SPADES NINE HEARTS ACE,0.359,0.0044,0.6366
CLUBS TEN SPADES JACK,0.5462,0.0072,0.4466
CLUBS TEN SPADES TEN,0.2962,0.0134,0.6904
SPADES ACE CLUBS TEN,0.3476,0.004,0.6484
SPADES KING CLUBS TEN,0.3294,0.0058,0.6648
SPADES FIVE HEARTS QUEEN,0.213,0.4616,0.3254
SPADES FIVE HEARTS KING,0.344,0.0094,0.6466
SPADES FIVE HEARTS ACE,0.3364,0.0062,0.6574
HEARTS THREE SPADES JACK,0.6414,0.0106,0.348
SPADES JACK DIAMONDS KING,0.3566,0.0074,0.636
SPADES TEN CLUBS EIGHT,0.5722,0.0122,0.4156
SPADES JACK CLUBS EIGHT,0.5742,0.009,0.4168
HEARTS THREE SPADES TEN,0.6268,0.015,0.3582
SPADES TEN DIAMONDS KING,0.3334,0.0088,0.6578
CLUBS SIX HEARTS ACE,0.3644,0.0048,0.6308
SPADES ACE CLUBS EIGHT,0.3404,0.0058,0.6538
HEARTS FIVE CLUBS JACK,0.5944,0.0106,0.395
HEARTS FIVE CLUBS TEN,0.5982,0.0112,0.3906
CLUBS SIX HEARTS QUEEN,0.2162,0.3762,0.4076
CLUBS TEN SPADES THREE,0.629,0.014,0.357
CLUBS SIX HEARTS KING,0.3488,0.006,0.6452
SPADES KING CLUBS EIGHT,0.3678,0.0074,0.6248
SPADES THREE CLUBS JACK,0.6408,0.0126,0.3466
DIAMONDS TWO HEARTS JACK,0.6194,0.0136,0.367
SPADES THREE CLUBS QUEEN,0.279,0.5198,0.2012
DIAMONDS TWO HEARTS TEN,0.6288,0.0118,0.3594
SPADES THREE CLUBS KING,0.3886,0.009,0.6024
HEARTS FIVE CLUBS ACE,0.3382,0.0072,0.6546
SPADES FIVE HEARTS TEN,0.6014,0.0146,0.384
SPADES THREE CLUBS ACE,0.3788,0.0056,0.6156
HEARTS FIVE CLUBS KING,0.3548,0.0058,0.6394
SPADES FIVE HEARTS JACK,0.6108,0.0126,0.3766
HEARTS FIVE CLUBS QUEEN,0.2194,0.4542,0.3264
HEARTS THREE CLUBS KING,0.3834,0.0086,0.608
DIAMONDS KING CLUBS KING,0.1392,0.0034,0.8574
HEARTS THREE CLUBS QUEEN,0.2574,0.526,0.2166
DIAMONDS KING CLUBS QUEEN,0.2366,0.0266,0.7368
HEARTS FIVE HEARTS JACK,0.562,0.0104,0.4276
HEARTS FIVE HEARTS TEN,0.5652,0.0108,0.424
HEARTS THREE CLUBS ACE,0.3834,0.0046,0.612
DIAMONDS KING CLUBS ACE,0.327,0.003,0.67
SPADES ACE CLUBS QUEEN,0.2224,0.0174,0.7602
SPADES KING CLUBS QUEEN,0.2222,0.0276,0.7502
HEARTS THREE CLUBS JACK,0.629,0.0114,0.3596
DIAMONDS KING CLUBS JACK,0.3398,0.007,0.6532
CLUBS TEN HEARTS THREE,0.6366,0.0134,0.35
CLUBS TEN DIAMONDS KING,0.343,0.0056,0.6514
SPADES JACK CLUBS QUEEN,0.243,0.0942,0.6628
CLUBS SIX CLUBS QUEEN,0.2062,0.3642,0.4296
SPADES TEN CLUBS QUEEN,0.242,0.118,0.64
CLUBS SIX CLUBS KING,0.334,0.0064,0.6596
CLUBS SIX CLUBS ACE,0.3484,0.0038,0.6478
HEARTS FIVE HEARTS KING,0.3446,0.008,0.6474
HEARTS FIVE HEARTS QUEEN,0.1978,0.4468,0.3554
CLUBS TEN CLUBS SIX,0.5392,0.0112,0.4496
HEARTS FIVE HEARTS ACE,0.326,0.0052,0.6688
CLUBS SIX CLUBS JACK,0.5656,0.0094,0.425
SPADES SEVEN HEARTS JACK,0.5868,0.0124,0.4008
SPADES SEVEN HEARTS TEN,0.5634,0.0124,0.4242
DIAMONDS TWO CLUBS TWO,0.432,0.0348,0.5332
DIAMONDS TWO CLUBS THREE,0.643,0.0126,0.3444
DIAMONDS TWO HEARTS SIX,0.6252,0.0148,0.36
DIAMONDS TWO HEARTS QUEEN,0.2626,0.5172,0.2202
HEARTS SEVEN DIAMONDS TWO,0.637,0.014,0.349
DIAMONDS TWO HEARTS KING,0.379,0.0074,0.6136
DIAMONDS TWO HEARTS EIGHT,0.6312,0.0126,0.3562
DIAMONDS TWO HEARTS ACE,0.372,0.0058,0.6222
DIAMONDS TWO HEARTS NINE,0.6298,0.013,0.3572
DIAMONDS TWO DIAMONDS QUEEN,0.2514,0.4896,0.259
DIAMONDS TWO HEARTS TWO,0.4164,0.039,0.5446
DIAMONDS TWO DIAMONDS KING,0.3634,0.0082,0.6284
HEARTS THREE DIAMONDS TWO,0.6434,0.0182,0.3384
DIAMONDS TWO DIAMONDS ACE,0.3496,0.0044,0.646
HEARTS FIVE DIAMONDS TWO,0.605,0.0146,0.3804
SPADES SEVEN HEARTS ACE,0.356,0.0042,0.6398
DIAMONDS TWO DIAMONDS TEN,0.5902,0.0102,0.3996
SPADES SEVEN HEARTS KING,0.3618,0.0082,0.63
DIAMONDS TWO DIAMONDS JACK,0.5934,0.011,0.3956
SPADES SEVEN HEARTS QUEEN,0.2258,0.305,0.4692
DIAMONDS TWO SPADES NINE,0.6508,0.0124,0.3368
DIAMONDS TWO SPADES EIGHT,0.636,0.0154,0.3486
DIAMONDS TWO SPADES SEVEN,0.6474,0.0128,0.3398
DIAMONDS TWO SPADES SIX,0.6302,0.0138,0.356
DIAMONDS TWO SPADES FIVE,0.6306,0.0138,0.3556
DIAMONDS TWO SPADES FOUR,0.699,0.0514,0.2496
DIAMONDS TWO SPADES THREE,0.6564,0.0144,0.3292
DIAMONDS TWO SPADES TWO,0.414,0.0332,0.5528
CLUBS NINE DIAMONDS TWO,0.6196,0.0128,0.3676
DIAMONDS TWO CLUBS EIGHT,0.6278,0.0134,0.3588
CLUBS SEVEN DIAMONDS TWO,0.6334,0.0128,0.3538
DIAMONDS TWO CLUBS SIX,0.6282,0.0112,0.3606
DIAMONDS TWO CLUBS FIVE,0.6174,0.0152,0.3674
DIAMONDS TWO CLUBS FOUR,0.704,0.0472,0.2488
CLUBS FOUR SPADES FIVE,0.663,0.0428,0.2942
CLUBS FOUR SPADES FOUR,0.3034,0.03,0.6666
CLUBS FOUR SPADES THREE,0.6798,0.0504,0.2698
CLUBS FOUR SPADES TWO,0.6968,0.0474,0.2558
SPADES NINE CLUBS FOUR,0.7198,0.0444,0.2358
SPADES EIGHT CLUBS FOUR,0.7106,0.046,0.2434
SPADES SEVEN CLUBS FOUR,0.694,0.0442,0.2618
SPADES SIX CLUBS FOUR,0.6668,0.0444,0.2888
SPADES ACE DIAMONDS SIX,0.3504,0.0054,0.6442
SPADES KING DIAMONDS SIX,0.3474,0.0072,0.6454
SPADES TEN DIAMONDS SIX,0.5882,0.0118,0.4
SPADES JACK DIAMONDS SIX,0.603,0.0112,0.3858
SPADES KING SPADES TWO,0.3674,0.0084,0.6242
SPADES ACE SPADES TWO,0.3578,0.0082,0.634
DIAMONDS JACK CLUBS JACK,0.276,0.0112,0.7128
CLUBS TEN DIAMONDS JACK,0.5448,0.01,0.4452
DIAMONDS JACK CLUBS KING,0.3422,0.007,0.6508
DIAMONDS JACK CLUBS QUEEN,0.2376,0.0838,0.6786
DIAMONDS THREE DIAMONDS JACK,0.592,0.013,0.395
DIAMONDS THREE DIAMONDS TEN,0.5956,0.0102,0.3942
DIAMONDS JACK CLUBS ACE,0.346,0.004,0.65
DIAMONDS THREE DIAMONDS KING,0.3726,0.0058,0.6216
HEARTS THREE DIAMONDS THREE,0.4276,0.032,0.5404
DIAMONDS THREE DIAMONDS QUEEN,0.2498,0.481,0.2692
DIAMONDS THREE HEARTS TWO,0.6504,0.016,0.3336
