opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN HEARTS JACK
SPADES TEN HEARTS FIVE,0.7,0.012,0.288
SPADES JACK HEARTS FIVE,0.7308,0.0442,0.225
SPADES FIVE CLUBS JACK,0.731,0.0424,0.2266
CLUBS TEN SPADES FIVE,0.6876,0.009,0.3034
CLUBS EIGHT CLUBS JACK,0.6658,0.038,0.2962
CLUBS TEN CLUBS EIGHT,0.6094,0.0068,0.3838
CLUBS EIGHT CLUBS KING,0.4046,0.0078,0.5876
SPADES FIVE CLUBS ACE,0.4474,0.0048,0.5478
CLUBS EIGHT CLUBS QUEEN,0.6282,0.0918,0.28
SPADES FIVE CLUBS KING,0.4288,0.0072,0.564
SPADES FIVE CLUBS QUEEN,0.666,0.0946,0.2394
CLUBS EIGHT CLUBS ACE,0.4062,0.004,0.5898
DIAMONDS TWO DIAMONDS THREE,0.6146,0.012,0.3734
DIAMONDS TWO DIAMONDS FIVE,0.6052,0.008,0.3868
SPADES KING HEARTS FIVE,0.4306,0.0068,0.5626
DIAMONDS TWO DIAMONDS FOUR,0.6006,0.013,0.3864
DIAMONDS TWO DIAMONDS SEVEN,0.6382,0.0114,0.3504
DIAMONDS TWO DIAMONDS SIX,0.632,0.009,0.359
SPADES ACE HEARTS FIVE,0.4338,0.0058,0.5604
DIAMONDS TWO DIAMONDS NINE,0.635,0.01,0.355
DIAMONDS TWO DIAMONDS EIGHT,0.6158,0.0092,0.375
DIAMONDS THREE DIAMONDS FOUR,0.583,0.0118,0.4052
SPADES FOUR CLUBS TWO,0.6536,0.0104,0.336
DIAMONDS THREE DIAMONDS FIVE,0.6024,0.0108,0.3868
SPADES FIVE CLUBS TWO,0.6436,0.0118,0.3446
CLUBS TWO SPADES TWO,0.4952,0.014,0.4908
CLUBS TWO SPADES THREE,0.6576,0.0118,0.3306
DIAMONDS THREE DIAMONDS EIGHT,0.6322,0.0076,0.3602
SPADES EIGHT CLUBS TWO,0.6808,0.0094,0.3098
DIAMONDS THREE DIAMONDS NINE,0.6298,0.0104,0.3598
SPADES NINE CLUBS TWO,0.682,0.0096,0.3084
DIAMONDS THREE DIAMONDS SIX,0.602,0.0114,0.3866
SPADES SIX CLUBS TWO,0.6652,0.0124,0.3224
DIAMONDS THREE DIAMONDS SEVEN,0.6238,0.0092,0.367
SPADES SEVEN CLUBS TWO,0.6748,0.0126,0.3126
CLUBS SIX CLUBS TWO,0.6182,0.01,0.3718
CLUBS SEVEN CLUBS TWO,0.6338,0.0106,0.3556
CLUBS FOUR CLUBS TWO,0.6224,0.0076,0.37
CLUBS FIVE CLUBS TWO,0.6002,0.0082,0.3916
CLUBS TEN CLUBS JACK,0.6756,0.0322,0.2922
DIAMONDS FOUR DIAMONDS SIX,0.5964,0.0106,0.393
CLUBS TEN CLUBS QUEEN,0.6378,0.0814,0.2808
DIAMONDS FOUR DIAMONDS SEVEN,0.6052,0.0088,0.386
CLUBS TEN CLUBS KING,0.3726,0.0062,0.6212
CLUBS TEN CLUBS ACE,0.3898,0.0034,0.6068
CLUBS EIGHT CLUBS TWO,0.6294,0.0106,0.36
DIAMONDS FIVE DIAMONDS FOUR,0.579,0.0108,0.4102
CLUBS NINE CLUBS TWO,0.646,0.01,0.344
DIAMONDS NINE DIAMONDS FOUR,0.61,0.0082,0.3818
DIAMONDS EIGHT DIAMONDS FOUR,0.6228,0.0088,0.3684
CLUBS THREE CLUBS TWO,0.6054,0.0114,0.3832
DIAMONDS NINE DIAMONDS FIVE,0.625,0.0112,0.3638
DIAMONDS TWO CLUBS JACK,0.742,0.0416,0.2164
DIAMONDS EIGHT DIAMONDS FIVE,0.6,0.0094,0.3906
CLUBS TEN DIAMONDS TWO,0.6874,0.0092,0.3034
DIAMONDS FIVE DIAMONDS SEVEN,0.596,0.0102,0.3938
DIAMONDS FIVE DIAMONDS SIX,0.5876,0.0084,0.404
DIAMONDS TWO CLUBS ACE,0.4422,0.0044,0.5534
DIAMONDS TWO CLUBS KING,0.4492,0.0084,0.5424
DIAMONDS TWO CLUBS QUEEN,0.6816,0.0908,0.2276
DIAMONDS EIGHT DIAMONDS SIX,0.601,0.011,0.388
DIAMONDS NINE DIAMONDS SIX,0.6074,0.013,0.3796
HEARTS ACE SPADES THREE,0.43,0.0058,0.5642
SPADES THREE HEARTS KING,0.4344,0.01,0.5556
DIAMONDS SEVEN DIAMONDS SIX,0.5954,0.008,0.3966
SPADES THREE HEARTS QUEEN,0.6884,0.092,0.2196
SPADES THREE HEARTS TEN,0.7116,0.0128,0.2756
DIAMONDS EIGHT DIAMONDS SEVEN,0.5818,0.0088,0.4094
DIAMONDS NINE DIAMONDS SEVEN,0.6096,0.0096,0.3808
DIAMONDS NINE DIAMONDS EIGHT,0.5976,0.0104,0.392
DIAMONDS KING HEARTS TEN,0.4046,0.0054,0.59
HEARTS THREE HEARTS TEN,0.653,0.0118,0.3352
SPADES JACK CLUBS SIX,0.7414,0.0452,0.2134
SPADES TEN CLUBS SIX,0.6576,0.0112,0.3312
SPADES JACK SPADES FIVE,0.701,0.0412,0.2578
SPADES TEN SPADES FIVE,0.6568,0.0104,0.3328
DIAMONDS KING HEARTS ACE,0.343,0.0048,0.6522
HEARTS THREE HEARTS ACE,0.418,0.0036,0.5784
SPADES ACE CLUBS SIX,0.4196,0.0032,0.5772
DIAMONDS KING HEARTS QUEEN,0.2342,0.0266,0.7392
HEARTS THREE HEARTS QUEEN,0.6518,0.087,0.2612
SPADES KING CLUBS SIX,0.4354,0.0068,0.5578
DIAMONDS KING HEARTS KING,0.1506,0.0036,0.8458
HEARTS THREE HEARTS KING,0.4272,0.0076,0.5652
SPADES NINE HEARTS TEN,0.6572,0.01,0.3328
SPADES KING SPADES FIVE,0.418,0.005,0.577
SPADES ACE SPADES FIVE,0.4216,0.0058,0.5726
SPADES NINE HEARTS QUEEN,0.688,0.0816,0.2304
SPADES NINE HEARTS KING,0.416,0.0068,0.5772
SPADES NINE HEARTS ACE,0.414,0.0054,0.5806
CLUBS TEN SPADES JACK,0.725,0.0344,0.2406
CLUBS TEN SPADES TEN,0.4482,0.009,0.5428
SPADES ACE CLUBS TEN,0.4004,0.0048,0.5948
SPADES KING CLUBS TEN,0.3858,0.0066,0.6076
SPADES FIVE HEARTS QUEEN,0.6764,0.0976,0.226
SPADES FIVE HEARTS KING,0.419,0.0088,0.5722
SPADES FIVE HEARTS ACE,0.4352,0.0056,0.5592
HEARTS THREE SPADES JACK,0.7406,0.0442,0.2152
SPADES JACK DIAMONDS KING,0.2442,0.0238,0.732
SPADES TEN CLUBS EIGHT,0.6674,0.009,0.3236
SPADES JACK CLUBS EIGHT,0.7354,0.042,0.2226
HEARTS THREE SPADES TEN,0.6882,0.0088,0.303
SPADES TEN DIAMONDS KING,0.3948,0.0072,0.598
CLUBS SIX HEARTS ACE,0.434,0.0036,0.5624
SPADES ACE CLUBS EIGHT,0.4284,0.0036,0.568
HEARTS FIVE CLUBS JACK,0.7378,0.0414,0.2208
CLUBS TEN HEARTS FIVE,0.6904,0.0074,0.3022
CLUBS SIX HEARTS QUEEN,0.6762,0.0888,0.235
CLUBS TEN SPADES THREE,0.6928,0.0074,0.2998
CLUBS SIX HEARTS KING,0.4312,0.0074,0.5614
SPADES KING CLUBS EIGHT,0.4412,0.006,0.5528
SPADES THREE CLUBS JACK,0.7326,0.0446,0.2228
SPADES THREE CLUBS QUEEN,0.675,0.0926,0.2324
DIAMONDS TWO HEARTS TEN,0.696,0.0098,0.2942
SPADES THREE CLUBS KING,0.4426,0.0074,0.55
HEARTS FIVE CLUBS ACE,0.4252,0.0042,0.5706
SPADES FIVE HEARTS TEN,0.6986,0.0112,0.2902
SPADES THREE CLUBS ACE,0.4382,0.0074,0.5544
HEARTS FIVE CLUBS KING,0.4422,0.0072,0.5506
HEARTS FIVE CLUBS QUEEN,0.683,0.0924,0.2246
HEARTS THREE CLUBS KING,0.44,0.0078,0.5522
DIAMONDS KING CLUBS KING,0.1596,0.003,0.8374
HEARTS THREE CLUBS QUEEN,0.6776,0.093,0.2294
DIAMONDS KING CLUBS QUEEN,0.2506,0.023,0.7264
HEARTS FIVE HEARTS TEN,0.6634,0.0128,0.3238
HEARTS THREE CLUBS ACE,0.42,0.0046,0.5754
DIAMONDS KING CLUBS ACE,0.3614,0.0042,0.6344
SPADES ACE CLUBS QUEEN,0.2614,0.0154,0.7232
SPADES KING CLUBS QUEEN,0.25,0.0228,0.7272
HEARTS THREE CLUBS JACK,0.7428,0.0414,0.2158
DIAMONDS KING CLUBS JACK,0.251,0.028,0.721
CLUBS TEN HEARTS THREE,0.6898,0.01,0.3002
CLUBS TEN DIAMONDS KING,0.4028,0.0072,0.59
SPADES JACK CLUBS QUEEN,0.0204,0.9686,0.011
CLUBS SIX CLUBS QUEEN,0.638,0.0834,0.2786
SPADES TEN CLUBS QUEEN,0.6712,0.0902,0.2386
CLUBS SIX CLUBS KING,0.4158,0.005,0.5792
CLUBS SIX CLUBS ACE,0.4058,0.0032,0.591
HEARTS FIVE HEARTS KING,0.419,0.0098,0.5712
HEARTS FIVE HEARTS QUEEN,0.6314,0.0882,0.2804
CLUBS TEN CLUBS SIX,0.6356,0.0086,0.3558
HEARTS FIVE HEARTS ACE,0.4084,0.0056,0.586
CLUBS SIX CLUBS JACK,0.688,0.0396,0.2724
SPADES SEVEN HEARTS TEN,0.6758,0.0094,0.3148
DIAMONDS TWO CLUBS TWO,0.4756,0.0204,0.504
DIAMONDS TWO CLUBS THREE,0.6394,0.0104,0.3502
HEARTS SIX DIAMONDS TWO,0.6606,0.011,0.3284
DIAMONDS TWO HEARTS QUEEN,0.6818,0.093,0.2252
DIAMONDS TWO HEARTS SEVEN,0.6712,0.01,0.3188
DIAMONDS TWO HEARTS KING,0.436,0.0064,0.5576
DIAMONDS TWO HEARTS EIGHT,0.6744,0.0128,0.3128
DIAMONDS TWO HEARTS ACE,0.4338,0.0048,0.5614
DIAMONDS TWO HEARTS NINE,0.6808,0.0096,0.3096
