opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN HEARTS SEVEN
SPADES TEN HEARTS FIVE,0.6476,0.014,0.3384
SPADES JACK HEARTS FIVE,0.6436,0.0096,0.3468
SPADES FIVE CLUBS JACK,0.621,0.0102,0.3688
CLUBS TEN SPADES FIVE,0.6304,0.0148,0.3548
CLUBS EIGHT CLUBS JACK,0.5414,0.0092,0.4494
CLUBS TEN CLUBS EIGHT,0.5412,0.0084,0.4504
CLUBS EIGHT CLUBS KING,0.3526,0.0076,0.6398
SPADES FIVE CLUBS ACE,0.394,0.003,0.603
CLUBS EIGHT CLUBS QUEEN,0.211,0.2116,0.5774
SPADES FIVE CLUBS KING,0.3988,0.0064,0.5948
SPADES FIVE CLUBS QUEEN,0.4642,0.3024,0.2334
CLUBS EIGHT CLUBS ACE,0.3328,0.0038,0.6634
DIAMONDS TWO DIAMONDS THREE,0.6052,0.0104,0.3844
DIAMONDS TWO DIAMONDS FIVE,0.5876,0.0142,0.3982
SPADES KING HEARTS FIVE,0.387,0.007,0.606
DIAMONDS TWO DIAMONDS FOUR,0.5988,0.0138,0.3874
DIAMONDS TWO DIAMONDS SEVEN,0.6768,0.0464,0.2768
DIAMONDS TWO DIAMONDS SIX,0.6232,0.012,0.3648
SPADES ACE HEARTS FIVE,0.3876,0.0072,0.6052
DIAMONDS TWO DIAMONDS NINE,0.5944,0.0112,0.3944
DIAMONDS TWO DIAMONDS EIGHT,0.593,0.0084,0.3986
DIAMONDS THREE DIAMONDS FOUR,0.5898,0.0124,0.3978
SPADES FOUR CLUBS TWO,0.639,0.0132,0.3478
DIAMONDS THREE DIAMONDS FIVE,0.581,0.0116,0.4074
SPADES FIVE CLUBS TWO,0.6496,0.0138,0.3366
CLUBS TWO SPADES TWO,0.4318,0.0244,0.5438
CLUBS TWO SPADES THREE,0.6482,0.0122,0.3396
DIAMONDS THREE DIAMONDS EIGHT,0.5942,0.01,0.3958
SPADES EIGHT CLUBS TWO,0.651,0.012,0.337
DIAMONDS THREE DIAMONDS NINE,0.5812,0.0122,0.4066
SPADES NINE CLUBS TWO,0.6344,0.0124,0.3532
DIAMONDS THREE DIAMONDS SIX,0.6084,0.0118,0.3798
SPADES SIX CLUBS TWO,0.651,0.013,0.336
DIAMONDS THREE DIAMONDS SEVEN,0.6686,0.0496,0.2818
SPADES SEVEN CLUBS TWO,0.7248,0.0512,0.224
CLUBS SIX CLUBS TWO,0.6186,0.0102,0.3712
CLUBS SEVEN CLUBS TWO,0.6754,0.0528,0.2718
CLUBS FOUR CLUBS TWO,0.5946,0.0134,0.392
CLUBS FIVE CLUBS TWO,0.5968,0.0108,0.3924
CLUBS TEN CLUBS JACK,0.4996,0.0102,0.4902
DIAMONDS FOUR DIAMONDS SIX,0.5824,0.0136,0.404
CLUBS TEN CLUBS QUEEN,0.2082,0.1204,0.6714
DIAMONDS FOUR DIAMONDS SEVEN,0.6444,0.0512,0.3044
CLUBS TEN CLUBS KING,0.319,0.0056,0.6754
CLUBS TEN CLUBS ACE,0.3194,0.0028,0.6778
CLUBS EIGHT CLUBS TWO,0.5916,0.012,0.3964
DIAMONDS FIVE DIAMONDS FOUR,0.5772,0.0124,0.4104
CLUBS NINE CLUBS TWO,0.5934,0.0122,0.3944
DIAMONDS NINE DIAMONDS FOUR,0.5884,0.0104,0.4012
DIAMONDS EIGHT DIAMONDS FOUR,0.5624,0.0104,0.4272
CLUBS THREE CLUBS TWO,0.5998,0.0124,0.3878
DIAMONDS NINE DIAMONDS FIVE,0.5778,0.0098,0.4124
DIAMONDS TWO CLUBS JACK,0.6186,0.0104,0.371
DIAMONDS EIGHT DIAMONDS FIVE,0.5706,0.0116,0.4178
CLUBS TEN DIAMONDS TWO,0.6232,0.0122,0.3646
DIAMONDS FIVE DIAMONDS SEVEN,0.639,0.0402,0.3208
DIAMONDS FIVE DIAMONDS SIX,0.578,0.0144,0.4076
DIAMONDS TWO CLUBS ACE,0.387,0.0034,0.6096
DIAMONDS TWO CLUBS KING,0.4094,0.006,0.5846
DIAMONDS TWO CLUBS QUEEN,0.4746,0.293,0.2324
DIAMONDS EIGHT DIAMONDS SIX,0.5566,0.0104,0.433
DIAMONDS NINE DIAMONDS SIX,0.5726,0.0104,0.417
HEARTS ACE SPADES THREE,0.386,0.0034,0.6106
SPADES THREE HEARTS KING,0.3906,0.0064,0.603
DIAMONDS SEVEN DIAMONDS SIX,0.6274,0.0432,0.3294
SPADES THREE HEARTS QUEEN,0.4706,0.306,0.2234
SPADES THREE HEARTS JACK,0.6362,0.0136,0.3502
SPADES THREE HEARTS TEN,0.6218,0.0138,0.3644
DIAMONDS EIGHT DIAMONDS SEVEN,0.6282,0.0434,0.3284
DIAMONDS NINE DIAMONDS SEVEN,0.6282,0.0434,0.3284
DIAMONDS NINE DIAMONDS EIGHT,0.5304,0.013,0.4566
DIAMONDS KING HEARTS TEN,0.3318,0.0062,0.662
HEARTS THREE HEARTS TEN,0.5922,0.0138,0.394
SPADES JACK CLUBS SIX,0.6392,0.0112,0.3496
DIAMONDS KING HEARTS JACK,0.3434,0.004,0.6526
HEARTS THREE HEARTS JACK,0.6012,0.0094,0.3894
SPADES TEN CLUBS SIX,0.6278,0.01,0.3622
SPADES JACK SPADES FIVE,0.597,0.0118,0.3912
SPADES TEN SPADES FIVE,0.5894,0.0108,0.3998
DIAMONDS KING HEARTS ACE,0.3164,0.0026,0.681
HEARTS THREE HEARTS ACE,0.382,0.0048,0.6132
SPADES ACE CLUBS SIX,0.385,0.0052,0.6098
DIAMONDS KING HEARTS QUEEN,0.2236,0.0274,0.749
HEARTS THREE HEARTS QUEEN,0.4544,0.2792,0.2664
SPADES KING CLUBS SIX,0.3806,0.0064,0.613
DIAMONDS KING HEARTS KING,0.1238,0.0034,0.8728
HEARTS THREE HEARTS KING,0.381,0.0124,0.6066
SPADES NINE HEARTS TEN,0.552,0.0106,0.4374
SPADES NINE HEARTS JACK,0.5636,0.0138,0.4226
SPADES KING SPADES FIVE,0.379,0.0096,0.6114
SPADES ACE SPADES FIVE,0.3648,0.0048,0.6304
SPADES NINE HEARTS QUEEN,0.217,0.1628,0.6202
SPADES NINE HEARTS KING,0.3492,0.0068,0.644
SPADES NINE HEARTS ACE,0.358,0.0034,0.6386
CLUBS TEN SPADES JACK,0.5462,0.0104,0.4434
CLUBS TEN SPADES TEN,0.2868,0.015,0.6982
SPADES ACE CLUBS TEN,0.3336,0.004,0.6624
SPADES KING CLUBS TEN,0.3338,0.0062,0.66
SPADES FIVE HEARTS QUEEN,0.4714,0.305,0.2236
SPADES FIVE HEARTS KING,0.4032,0.0074,0.5894
SPADES FIVE HEARTS ACE,0.3844,0.0048,0.6108
HEARTS THREE SPADES JACK,0.6382,0.0128,0.349
SPADES JACK DIAMONDS KING,0.3326,0.0062,0.6612
SPADES TEN CLUBS EIGHT,0.571,0.0096,0.4194
SPADES JACK CLUBS EIGHT,0.5808,0.0094,0.4098
HEARTS THREE SPADES TEN,0.6446,0.012,0.3434
SPADES TEN DIAMONDS KING,0.3398,0.0062,0.654
CLUBS SIX HEARTS ACE,0.3858,0.0032,0.611
SPADES ACE CLUBS EIGHT,0.3584,0.0038,0.6378
HEARTS FIVE CLUBS JACK,0.6256,0.011,0.3634
CLUBS TEN HEARTS FIVE,0.641,0.0124,0.3466
CLUBS SIX HEARTS QUEEN,0.4576,0.3098,0.2326
CLUBS TEN SPADES THREE,0.633,0.0102,0.3568
CLUBS SIX HEARTS KING,0.3786,0.0058,0.6156
SPADES KING CLUBS EIGHT,0.3682,0.0058,0.626
SPADES THREE CLUBS JACK,0.6278,0.0094,0.3628
DIAMONDS TWO HEARTS JACK,0.6212,0.0146,0.3642
SPADES THREE CLUBS QUEEN,0.4666,0.3062,0.2272
DIAMONDS TWO HEARTS TEN,0.6342,0.0134,0.3524
SPADES THREE CLUBS KING,0.3934,0.0086,0.598
