opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN SPADES FIVE
SPADES TEN HEARTS FIVE,0.717,0.053,0.23
SPADES JACK HEARTS FIVE,0.7238,0.0464,0.2298
CLUBS EIGHT CLUBS JACK,0.5618,0.0096,0.4286
CLUBS EIGHT CLUBS TEN,0.5442,0.013,0.4428
CLUBS EIGHT CLUBS KING,0.3908,0.0058,0.6034
CLUBS EIGHT CLUBS QUEEN,0.265,0.2054,0.5296
CLUBS EIGHT CLUBS ACE,0.3852,0.0036,0.6112
DIAMONDS TWO DIAMONDS THREE,0.6268,0.0142,0.359
DIAMONDS TWO DIAMONDS FIVE,0.6624,0.0476,0.29
SPADES KING HEARTS FIVE,0.2644,0.0444,0.6912
DIAMONDS TWO DIAMONDS FOUR,0.6252,0.0138,0.361
DIAMONDS TWO DIAMONDS SEVEN,0.6154,0.0114,0.3732
DIAMONDS TWO DIAMONDS SIX,0.615,0.0132,0.3718
SPADES ACE HEARTS FIVE,0.2604,0.0288,0.7108
DIAMONDS TWO DIAMONDS NINE,0.6092,0.0126,0.3782
DIAMONDS TWO DIAMONDS EIGHT,0.6172,0.0114,0.3714
DIAMONDS THREE DIAMONDS FOUR,0.6082,0.0138,0.378
CLUBS TWO SPADES FOUR,0.6672,0.015,0.3178
DIAMONDS THREE DIAMONDS FIVE,0.6704,0.0446,0.285
CLUBS TWO SPADES TWO,0.4554,0.0306,0.514
CLUBS TWO SPADES THREE,0.6658,0.0146,0.3196
DIAMONDS THREE DIAMONDS EIGHT,0.608,0.013,0.379
SPADES EIGHT CLUBS TWO,0.6434,0.0112,0.3454
DIAMONDS THREE DIAMONDS NINE,0.605,0.0122,0.3828
SPADES NINE CLUBS TWO,0.6522,0.0122,0.3356
DIAMONDS THREE DIAMONDS SIX,0.6056,0.0128,0.3816
CLUBS TWO SPADES SIX,0.6586,0.0136,0.3278
DIAMONDS THREE DIAMONDS SEVEN,0.6162,0.0142,0.3696
SPADES SEVEN CLUBS TWO,0.6582,0.0116,0.3302
CLUBS SIX CLUBS TWO,0.6,0.0104,0.3896
CLUBS SEVEN CLUBS TWO,0.624,0.0116,0.3644
CLUBS FOUR CLUBS TWO,0.6146,0.0162,0.3692
CLUBS FIVE CLUBS TWO,0.6796,0.049,0.2714
CLUBS JACK CLUBS TEN,0.5364,0.0102,0.4534
DIAMONDS FOUR DIAMONDS SIX,0.5854,0.0144,0.4002
CLUBS QUEEN CLUBS TEN,0.2674,0.1048,0.6278
DIAMONDS FOUR DIAMONDS SEVEN,0.591,0.0162,0.3928
CLUBS KING CLUBS TEN,0.3598,0.0078,0.6324
CLUBS ACE CLUBS TEN,0.3656,0.006,0.6284
CLUBS EIGHT CLUBS TWO,0.6192,0.0122,0.3686
DIAMONDS FIVE DIAMONDS FOUR,0.627,0.0504,0.3226
CLUBS NINE CLUBS TWO,0.605,0.0104,0.3846
DIAMONDS NINE DIAMONDS FOUR,0.6198,0.0116,0.3686
DIAMONDS EIGHT DIAMONDS FOUR,0.6124,0.0108,0.3768
CLUBS TWO CLUBS THREE,0.6218,0.0124,0.3658
DIAMONDS NINE DIAMONDS FIVE,0.6696,0.046,0.2844
DIAMONDS TWO CLUBS JACK,0.6612,0.0136,0.3252
DIAMONDS EIGHT DIAMONDS FIVE,0.6656,0.0424,0.292
DIAMONDS TWO CLUBS TEN,0.65,0.012,0.338
DIAMONDS FIVE DIAMONDS SEVEN,0.6512,0.0456,0.3032
DIAMONDS FIVE DIAMONDS SIX,0.6446,0.0456,0.3098
DIAMONDS TWO CLUBS ACE,0.4244,0.0044,0.5712
DIAMONDS TWO CLUBS KING,0.439,0.0096,0.5514
DIAMONDS TWO CLUBS QUEEN,0.36,0.43,0.21
DIAMONDS EIGHT DIAMONDS SIX,0.5472,0.0118,0.441
DIAMONDS NINE DIAMONDS SIX,0.5674,0.012,0.4206
SPADES THREE HEARTS ACE,0.4264,0.0052,0.5684
HEARTS KING SPADES THREE,0.4168,0.009,0.5742
DIAMONDS SEVEN DIAMONDS SIX,0.5636,0.013,0.4234
SPADES THREE HEARTS QUEEN,0.3572,0.442,0.2008
SPADES THREE HEARTS JACK,0.6534,0.0128,0.3338
SPADES THREE HEARTS TEN,0.653,0.014,0.333
DIAMONDS EIGHT DIAMONDS SEVEN,0.5538,0.0128,0.4334
DIAMONDS NINE DIAMONDS SEVEN,0.5684,0.0084,0.4232
DIAMONDS NINE DIAMONDS EIGHT,0.5446,0.0116,0.4438
DIAMONDS KING HEARTS TEN,0.3786,0.0072,0.6142
HEARTS THREE HEARTS TEN,0.6064,0.0138,0.3798
SPADES JACK CLUBS SIX,0.6044,0.0136,0.382
DIAMONDS KING HEARTS JACK,0.3974,0.0054,0.5972
HEARTS THREE HEARTS JACK,0.6002,0.0116,0.3882
CLUBS SIX SPADES TEN,0.611,0.0138,0.3752
DIAMONDS KING HEARTS ACE,0.3688,0.005,0.6262
HEARTS THREE HEARTS ACE,0.3958,0.0052,0.599
SPADES ACE CLUBS SIX,0.3942,0.0044,0.6014
DIAMONDS KING HEARTS QUEEN,0.2794,0.0242,0.6964
HEARTS THREE HEARTS QUEEN,0.3552,0.4002,0.2446
SPADES KING CLUBS SIX,0.3886,0.0062,0.6052
DIAMONDS KING HEARTS KING,0.176,0.0034,0.8206
HEARTS THREE HEARTS KING,0.4154,0.0104,0.5742
SPADES NINE HEARTS TEN,0.5536,0.012,0.4344
SPADES NINE HEARTS JACK,0.582,0.01,0.408
SPADES NINE HEARTS QUEEN,0.2666,0.1622,0.5712
SPADES NINE HEARTS KING,0.3856,0.008,0.6064
SPADES NINE HEARTS ACE,0.3902,0.0042,0.6056
SPADES JACK CLUBS TEN,0.5736,0.0072,0.4192
SPADES TEN CLUBS TEN,0.3132,0.0152,0.6716
SPADES ACE CLUBS TEN,0.3722,0.0056,0.6222
SPADES KING CLUBS TEN,0.3798,0.0056,0.6146
HEARTS THREE SPADES JACK,0.6476,0.0122,0.3402
SPADES JACK DIAMONDS KING,0.3702,0.0074,0.6224
CLUBS EIGHT SPADES TEN,0.5746,0.0084,0.417
CLUBS EIGHT SPADES JACK,0.5918,0.0114,0.3968
HEARTS THREE SPADES TEN,0.6314,0.0132,0.3554
SPADES TEN DIAMONDS KING,0.3756,0.0078,0.6166
SPADES ACE CLUBS EIGHT,0.3902,0.0042,0.6056
HEARTS FIVE CLUBS JACK,0.7238,0.054,0.2222
CLUBS SIX HEARTS ACE,0.406,0.0022,0.5918
HEARTS FIVE CLUBS TEN,0.722,0.0502,0.2278
SPADES THREE CLUBS TEN,0.652,0.0116,0.3364
CLUBS SIX HEARTS QUEEN,0.2728,0.3662,0.361
CLUBS EIGHT SPADES KING,0.3882,0.0088,0.603
SPADES THREE CLUBS JACK,0.6536,0.0112,0.3352
CLUBS SIX HEARTS KING,0.4032,0.0064,0.5904
DIAMONDS TWO HEARTS JACK,0.6454,0.01,0.3446
SPADES THREE CLUBS QUEEN,0.3518,0.4358,0.2124
DIAMONDS TWO HEARTS TEN,0.6388,0.013,0.3482
SPADES THREE CLUBS KING,0.4358,0.0086,0.5556
HEARTS FIVE CLUBS ACE,0.2694,0.031,0.6996
SPADES THREE CLUBS ACE,0.425,0.0044,0.5706
HEARTS FIVE CLUBS KING,0.2742,0.0356,0.6902
HEARTS FIVE CLUBS QUEEN,0.08,0.8966,0.0234
HEARTS THREE CLUBS KING,0.433,0.0096,0.5574
DIAMONDS KING CLUBS KING,0.1878,0.0036,0.8086
HEARTS THREE CLUBS QUEEN,0.3642,0.4234,0.2124
DIAMONDS KING CLUBS QUEEN,0.2946,0.026,0.6794
HEARTS FIVE HEARTS JACK,0.6912,0.04,0.2688
HEARTS FIVE HEARTS TEN,0.6908,0.0414,0.2678
HEARTS THREE CLUBS ACE,0.4242,0.006,0.5698
DIAMONDS KING CLUBS ACE,0.3666,0.0048,0.6286
SPADES ACE CLUBS QUEEN,0.26,0.0158,0.7242
SPADES KING CLUBS QUEEN,0.263,0.0274,0.7096
HEARTS THREE CLUBS JACK,0.6534,0.0112,0.3354
DIAMONDS KING CLUBS JACK,0.3982,0.007,0.5948
HEARTS THREE CLUBS TEN,0.6554,0.0122,0.3324
DIAMONDS KING CLUBS TEN,0.3858,0.0068,0.6074
SPADES JACK CLUBS QUEEN,0.2656,0.0938,0.6406
CLUBS SIX CLUBS QUEEN,0.2536,0.3384,0.408
SPADES TEN CLUBS QUEEN,0.267,0.1192,0.6138
CLUBS SIX CLUBS KING,0.3708,0.0064,0.6228
CLUBS SIX CLUBS ACE,0.3724,0.0042,0.6234
HEARTS FIVE HEARTS KING,0.2658,0.038,0.6962
HEARTS FIVE HEARTS QUEEN,0.0784,0.8536,0.068
CLUBS SIX CLUBS TEN,0.559,0.0122,0.4288
HEARTS FIVE HEARTS ACE,0.261,0.0282,0.7108
CLUBS SIX CLUBS JACK,0.5788,0.009,0.4122
SPADES SEVEN HEARTS JACK,0.6012,0.0114,0.3874
SPADES SEVEN HEARTS TEN,0.596,0.011,0.393
DIAMONDS TWO CLUBS TWO,0.4674,0.0312,0.5014
DIAMONDS TWO CLUBS THREE,0.662,0.0118,0.3262
HEARTS SIX DIAMONDS TWO,0.6522,0.0132,0.3346
DIAMONDS TWO HEARTS QUEEN,0.3678,0.4242,0.208
DIAMONDS TWO HEARTS SEVEN,0.666,0.011,0.323
DIAMONDS TWO HEARTS KING,0.4414,0.0086,0.55
DIAMONDS TWO HEARTS EIGHT,0.6608,0.0126,0.3266
DIAMONDS TWO HEARTS ACE,0.4294,0.005,0.5656
