opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN SPADES JACK
SPADES TEN HEARTS FIVE,0.7006,0.0112,0.2882
SPADES FIVE CLUBS JACK,0.738,0.0468,0.2152
SPADES FIVE CLUBS TEN,0.691,0.0112,0.2978
CLUBS EIGHT CLUBS JACK,0.7008,0.035,0.2642
CLUBS EIGHT CLUBS TEN,0.6402,0.0098,0.35
CLUBS EIGHT CLUBS KING,0.4276,0.0068,0.5656
SPADES FIVE CLUBS ACE,0.4574,0.0048,0.5378
CLUBS EIGHT CLUBS QUEEN,0.646,0.0828,0.2712
SPADES FIVE CLUBS KING,0.4578,0.0072,0.535
SPADES FIVE CLUBS QUEEN,0.684,0.092,0.224
CLUBS EIGHT CLUBS ACE,0.4402,0.0026,0.5572
DIAMONDS TWO DIAMONDS THREE,0.6338,0.012,0.3542
DIAMONDS TWO DIAMONDS FIVE,0.629,0.011,0.36
SPADES KING HEARTS FIVE,0.4458,0.006,0.5482
DIAMONDS TWO DIAMONDS FOUR,0.6456,0.012,0.3424
DIAMONDS TWO DIAMONDS SEVEN,0.6414,0.0088,0.3498
DIAMONDS TWO DIAMONDS SIX,0.6396,0.0078,0.3526
SPADES ACE HEARTS FIVE,0.4528,0.0064,0.5408
DIAMONDS TWO DIAMONDS NINE,0.6578,0.009,0.3332
DIAMONDS TWO DIAMONDS EIGHT,0.6598,0.01,0.3302
DIAMONDS THREE DIAMONDS FOUR,0.6124,0.0096,0.378
CLUBS TWO SPADES FOUR,0.663,0.0096,0.3274
DIAMONDS THREE DIAMONDS FIVE,0.61,0.0128,0.3772
CLUBS TWO SPADES FIVE,0.6584,0.0112,0.3304
CLUBS TWO SPADES TWO,0.488,0.0164,0.4956
CLUBS TWO SPADES THREE,0.6806,0.0082,0.3112
DIAMONDS THREE DIAMONDS EIGHT,0.6562,0.0096,0.3342
SPADES EIGHT CLUBS TWO,0.6958,0.011,0.2932
DIAMONDS THREE DIAMONDS NINE,0.6596,0.0102,0.3302
SPADES NINE CLUBS TWO,0.7038,0.0134,0.2828
DIAMONDS THREE DIAMONDS SIX,0.6392,0.01,0.3508
SPADES SIX CLUBS TWO,0.6868,0.0136,0.2996
DIAMONDS THREE DIAMONDS SEVEN,0.6424,0.0088,0.3488
SPADES SEVEN CLUBS TWO,0.6908,0.0104,0.2988
CLUBS SIX CLUBS TWO,0.6526,0.0078,0.3396
CLUBS SEVEN CLUBS TWO,0.6426,0.0118,0.3456
CLUBS FOUR CLUBS TWO,0.6232,0.01,0.3668
CLUBS FIVE CLUBS TWO,0.6278,0.0076,0.3646
CLUBS JACK CLUBS TEN,0.6918,0.0334,0.2748
DIAMONDS FOUR DIAMONDS SIX,0.616,0.0112,0.3728
CLUBS QUEEN CLUBS TEN,0.6556,0.0802,0.2642
DIAMONDS FOUR DIAMONDS SEVEN,0.6368,0.0094,0.3538
CLUBS KING CLUBS TEN,0.417,0.0068,0.5762
CLUBS ACE CLUBS TEN,0.4156,0.0042,0.5802
CLUBS EIGHT CLUBS TWO,0.6664,0.01,0.3236
DIAMONDS FIVE DIAMONDS FOUR,0.596,0.009,0.395
CLUBS NINE CLUBS TWO,0.654,0.0104,0.3356
DIAMONDS NINE DIAMONDS FOUR,0.6598,0.0098,0.3304
DIAMONDS EIGHT DIAMONDS FOUR,0.6344,0.01,0.3556
CLUBS TWO CLUBS THREE,0.625,0.0122,0.3628
DIAMONDS NINE DIAMONDS FIVE,0.6404,0.008,0.3516
DIAMONDS TWO CLUBS JACK,0.7462,0.0426,0.2112
DIAMONDS EIGHT DIAMONDS FIVE,0.6276,0.012,0.3604
DIAMONDS TWO CLUBS TEN,0.6992,0.0112,0.2896
DIAMONDS FIVE DIAMONDS SEVEN,0.6178,0.0096,0.3726
DIAMONDS FIVE DIAMONDS SIX,0.6086,0.0108,0.3806
DIAMONDS TWO CLUBS ACE,0.4628,0.0054,0.5318
DIAMONDS TWO CLUBS KING,0.4738,0.0082,0.518
DIAMONDS TWO CLUBS QUEEN,0.7002,0.0914,0.2084
DIAMONDS EIGHT DIAMONDS SIX,0.6262,0.0092,0.3646
DIAMONDS NINE DIAMONDS SIX,0.6284,0.011,0.3606
SPADES THREE HEARTS ACE,0.4598,0.0074,0.5328
HEARTS KING SPADES THREE,0.463,0.0072,0.5298
DIAMONDS SEVEN DIAMONDS SIX,0.61,0.0104,0.3796
SPADES THREE HEARTS QUEEN,0.6876,0.0906,0.2218
SPADES THREE HEARTS JACK,0.7386,0.0448,0.2166
SPADES THREE HEARTS TEN,0.6958,0.0104,0.2938
DIAMONDS EIGHT DIAMONDS SEVEN,0.62,0.007,0.373
DIAMONDS NINE DIAMONDS SEVEN,0.6198,0.0092,0.371
DIAMONDS NINE DIAMONDS EIGHT,0.6244,0.0064,0.3692
DIAMONDS KING HEARTS TEN,0.437,0.0068,0.5562
HEARTS THREE HEARTS TEN,0.6556,0.01,0.3344
DIAMONDS KING HEARTS JACK,0.2988,0.0284,0.6728
HEARTS THREE HEARTS JACK,0.7048,0.0402,0.255
SPADES TEN CLUBS SIX,0.6846,0.0096,0.3058
SPADES TEN SPADES FIVE,0.705,0.0104,0.2846
DIAMONDS KING HEARTS ACE,0.4018,0.0048,0.5934
HEARTS THREE HEARTS ACE,0.4472,0.0038,0.549
SPADES ACE CLUBS SIX,0.461,0.0042,0.5348
DIAMONDS KING HEARTS QUEEN,0.2948,0.025,0.6802
HEARTS THREE HEARTS QUEEN,0.651,0.0836,0.2654
SPADES KING CLUBS SIX,0.4574,0.0058,0.5368
DIAMONDS KING HEARTS KING,0.1894,0.0048,0.8058
HEARTS THREE HEARTS KING,0.454,0.008,0.538
SPADES NINE HEARTS TEN,0.6712,0.0066,0.3222
SPADES NINE HEARTS JACK,0.7324,0.035,0.2326
SPADES KING SPADES FIVE,0.4298,0.008,0.5622
SPADES ACE SPADES FIVE,0.405,0.005,0.59
SPADES NINE HEARTS QUEEN,0.6828,0.09,0.2272
SPADES NINE HEARTS KING,0.4472,0.008,0.5448
SPADES NINE HEARTS ACE,0.4476,0.0052,0.5472
SPADES TEN CLUBS TEN,0.46,0.0092,0.5308
SPADES ACE CLUBS TEN,0.4344,0.0036,0.562
SPADES KING CLUBS TEN,0.4262,0.0074,0.5664
SPADES FIVE HEARTS QUEEN,0.6802,0.0846,0.2352
SPADES FIVE HEARTS KING,0.4814,0.0098,0.5088
SPADES FIVE HEARTS ACE,0.4694,0.0058,0.5248
CLUBS EIGHT SPADES TEN,0.6764,0.009,0.3146
HEARTS THREE SPADES TEN,0.7058,0.0094,0.2848
SPADES TEN DIAMONDS KING,0.4328,0.0066,0.5606
SPADES ACE CLUBS EIGHT,0.4442,0.004,0.5518
HEARTS FIVE CLUBS JACK,0.7462,0.0412,0.2126
CLUBS SIX HEARTS ACE,0.4734,0.0046,0.522
HEARTS FIVE CLUBS TEN,0.7162,0.009,0.2748
SPADES THREE CLUBS TEN,0.7118,0.0082,0.28
CLUBS SIX HEARTS QUEEN,0.703,0.083,0.214
CLUBS EIGHT SPADES KING,0.4522,0.007,0.5408
SPADES THREE CLUBS JACK,0.7376,0.0468,0.2156
CLUBS SIX HEARTS KING,0.4724,0.006,0.5216
