opposingHand,winningChance,drawChance,lostChance
SPADES QUEEN SPADES TWO
SPADES TEN HEARTS FIVE,0.5968,0.0114,0.3918
SPADES JACK HEARTS FIVE,0.6096,0.0126,0.3778
SPADES FIVE CLUBS JACK,0.613,0.0082,0.3788
SPADES FIVE CLUBS TEN,0.622,0.0102,0.3678
CLUBS EIGHT CLUBS JACK,0.545,0.0112,0.4438
CLUBS EIGHT CLUBS TEN,0.5332,0.0112,0.4556
CLUBS EIGHT CLUBS KING,0.3834,0.007,0.6096
SPADES FIVE CLUBS ACE,0.3736,0.0076,0.6188
CLUBS EIGHT CLUBS QUEEN,0.258,0.2022,0.5398
SPADES FIVE CLUBS KING,0.381,0.0088,0.6102
SPADES FIVE CLUBS QUEEN,0.2674,0.43,0.3026
CLUBS EIGHT CLUBS ACE,0.3658,0.0026,0.6316
DIAMONDS TWO DIAMONDS THREE,0.6798,0.0412,0.279
DIAMONDS TWO DIAMONDS FIVE,0.6698,0.0358,0.2944
SPADES KING HEARTS FIVE,0.3788,0.008,0.6132
DIAMONDS TWO DIAMONDS FOUR,0.663,0.0362,0.3008
DIAMONDS TWO DIAMONDS SEVEN,0.6932,0.0344,0.2724
DIAMONDS TWO DIAMONDS SIX,0.6902,0.035,0.2748
SPADES ACE HEARTS FIVE,0.3684,0.0062,0.6254
DIAMONDS TWO DIAMONDS NINE,0.6914,0.0366,0.272
DIAMONDS TWO DIAMONDS EIGHT,0.6906,0.038,0.2714
DIAMONDS THREE DIAMONDS FOUR,0.5566,0.0166,0.4268
CLUBS TWO SPADES FOUR,0.7128,0.0398,0.2474
DIAMONDS THREE DIAMONDS FIVE,0.5644,0.012,0.4236
CLUBS TWO SPADES FIVE,0.7068,0.0378,0.2554
CLUBS TWO SPADES THREE,0.7162,0.0386,0.2452
DIAMONDS THREE DIAMONDS EIGHT,0.5852,0.0138,0.401
SPADES EIGHT CLUBS TWO,0.7236,0.0432,0.2332
DIAMONDS THREE DIAMONDS NINE,0.5846,0.0134,0.402
SPADES NINE CLUBS TWO,0.73,0.0396,0.2304
DIAMONDS THREE DIAMONDS SIX,0.5612,0.0138,0.425
CLUBS TWO SPADES SIX,0.7266,0.0396,0.2338
DIAMONDS THREE DIAMONDS SEVEN,0.5796,0.0138,0.4066
SPADES SEVEN CLUBS TWO,0.7294,0.0394,0.2312
CLUBS SIX CLUBS TWO,0.6906,0.0324,0.277
CLUBS SEVEN CLUBS TWO,0.692,0.0338,0.2742
CLUBS FOUR CLUBS TWO,0.6704,0.0376,0.292
CLUBS FIVE CLUBS TWO,0.6722,0.0372,0.2906
CLUBS JACK CLUBS TEN,0.5288,0.0066,0.4646
DIAMONDS FOUR DIAMONDS SIX,0.5588,0.0088,0.4324
CLUBS QUEEN CLUBS TEN,0.2476,0.1124,0.64
DIAMONDS FOUR DIAMONDS SEVEN,0.5664,0.0122,0.4214
CLUBS KING CLUBS TEN,0.3494,0.008,0.6426
CLUBS ACE CLUBS TEN,0.3688,0.0052,0.626
CLUBS EIGHT CLUBS TWO,0.6862,0.0378,0.276
DIAMONDS FIVE DIAMONDS FOUR,0.54,0.0154,0.4446
CLUBS NINE CLUBS TWO,0.6908,0.0332,0.276
DIAMONDS NINE DIAMONDS FOUR,0.5844,0.014,0.4016
DIAMONDS EIGHT DIAMONDS FOUR,0.5798,0.0114,0.4088
CLUBS TWO CLUBS THREE,0.6764,0.0338,0.2898
DIAMONDS NINE DIAMONDS FIVE,0.5652,0.0132,0.4216
DIAMONDS TWO CLUBS JACK,0.7498,0.0398,0.2104
DIAMONDS EIGHT DIAMONDS FIVE,0.563,0.0098,0.4272
DIAMONDS TWO CLUBS TEN,0.7316,0.0402,0.2282
DIAMONDS FIVE DIAMONDS SEVEN,0.5538,0.0126,0.4336
DIAMONDS FIVE DIAMONDS SIX,0.5382,0.0134,0.4484
DIAMONDS TWO CLUBS ACE,0.277,0.0168,0.7062
DIAMONDS TWO CLUBS KING,0.2752,0.0276,0.6972
DIAMONDS TWO CLUBS QUEEN,0.074,0.907,0.019
DIAMONDS EIGHT DIAMONDS SIX,0.5532,0.013,0.4338
DIAMONDS NINE DIAMONDS SIX,0.543,0.0126,0.4444
HEARTS ACE SPADES THREE,0.3868,0.0056,0.6076
HEARTS KING SPADES THREE,0.3832,0.0116,0.6052
DIAMONDS SEVEN DIAMONDS SIX,0.5404,0.0108,0.4488
SPADES THREE HEARTS QUEEN,0.256,0.4934,0.2506
SPADES THREE HEARTS JACK,0.6178,0.0114,0.3708
SPADES THREE HEARTS TEN,0.612,0.012,0.376
DIAMONDS EIGHT DIAMONDS SEVEN,0.5428,0.0106,0.4466
DIAMONDS NINE DIAMONDS SEVEN,0.551,0.0132,0.4358
DIAMONDS NINE DIAMONDS EIGHT,0.5274,0.0136,0.459
DIAMONDS KING HEARTS TEN,0.3884,0.0094,0.6022
HEARTS THREE HEARTS TEN,0.5852,0.0122,0.4026
SPADES JACK CLUBS SIX,0.6094,0.0122,0.3784
DIAMONDS KING HEARTS JACK,0.3786,0.0052,0.6162
HEARTS THREE HEARTS JACK,0.5916,0.0116,0.3968
CLUBS SIX SPADES TEN,0.614,0.0112,0.3748
SPADES JACK SPADES FIVE,0.6058,0.014,0.3802
SPADES TEN SPADES FIVE,0.6056,0.0148,0.3796
DIAMONDS KING HEARTS ACE,0.3536,0.0048,0.6416
HEARTS THREE HEARTS ACE,0.3648,0.0054,0.6298
SPADES ACE CLUBS SIX,0.3864,0.006,0.6076
DIAMONDS KING HEARTS QUEEN,0.276,0.0242,0.6998
HEARTS THREE HEARTS QUEEN,0.262,0.4588,0.2792
SPADES KING CLUBS SIX,0.3882,0.0086,0.6032
DIAMONDS KING HEARTS KING,0.171,0.0056,0.8234
HEARTS THREE HEARTS KING,0.385,0.0072,0.6078
SPADES NINE HEARTS TEN,0.5728,0.0114,0.4158
SPADES NINE HEARTS JACK,0.57,0.0098,0.4202
SPADES KING SPADES FIVE,0.3388,0.0084,0.6528
SPADES ACE SPADES FIVE,0.334,0.0058,0.6602
SPADES NINE HEARTS QUEEN,0.2594,0.157,0.5836
SPADES NINE HEARTS KING,0.3762,0.0084,0.6154
SPADES NINE HEARTS ACE,0.3954,0.0052,0.5994
SPADES JACK CLUBS TEN,0.5486,0.013,0.4384
SPADES TEN CLUBS TEN,0.3048,0.0158,0.6794
SPADES ACE CLUBS TEN,0.371,0.0062,0.6228
SPADES KING CLUBS TEN,0.3398,0.0092,0.651
SPADES FIVE HEARTS QUEEN,0.2482,0.436,0.3158
SPADES FIVE HEARTS KING,0.3862,0.0074,0.6064
SPADES FIVE HEARTS ACE,0.3764,0.005,0.6186
HEARTS THREE SPADES JACK,0.6184,0.0114,0.3702
SPADES JACK DIAMONDS KING,0.3588,0.007,0.6342
CLUBS EIGHT SPADES TEN,0.5652,0.013,0.4218
CLUBS EIGHT SPADES JACK,0.5766,0.0122,0.4112
HEARTS THREE SPADES TEN,0.6128,0.0126,0.3746
SPADES TEN DIAMONDS KING,0.3686,0.0086,0.6228
SPADES ACE CLUBS EIGHT,0.3824,0.0056,0.612
HEARTS FIVE CLUBS JACK,0.608,0.0124,0.3796
CLUBS SIX HEARTS ACE,0.3972,0.0046,0.5982
HEARTS FIVE CLUBS TEN,0.6052,0.0108,0.384
SPADES THREE CLUBS TEN,0.613,0.0128,0.3742
CLUBS SIX HEARTS QUEEN,0.2778,0.36,0.3622
CLUBS EIGHT SPADES KING,0.3766,0.0072,0.6162
SPADES THREE CLUBS JACK,0.63,0.0136,0.3564
CLUBS SIX HEARTS KING,0.3984,0.0046,0.597
DIAMONDS TWO HEARTS JACK,0.7428,0.0352,0.222
SPADES THREE CLUBS QUEEN,0.2552,0.499,0.2458
DIAMONDS TWO HEARTS TEN,0.73,0.0378,0.2322
SPADES THREE CLUBS KING,0.3916,0.007,0.6014
HEARTS FIVE CLUBS ACE,0.395,0.0062,0.5988
SPADES FIVE HEARTS TEN,0.6162,0.0104,0.3734
SPADES THREE CLUBS ACE,0.3788,0.0066,0.6146
HEARTS FIVE CLUBS KING,0.392,0.007,0.601
SPADES FIVE HEARTS JACK,0.606,0.0102,0.3838
HEARTS FIVE CLUBS QUEEN,0.263,0.4364,0.3006
HEARTS THREE CLUBS KING,0.4036,0.0096,0.5868
DIAMONDS KING CLUBS KING,0.1684,0.0046,0.827
HEARTS THREE CLUBS QUEEN,0.2596,0.4834,0.257
DIAMONDS KING CLUBS QUEEN,0.278,0.0256,0.6964
HEARTS FIVE HEARTS JACK,0.5796,0.0114,0.409
HEARTS FIVE HEARTS TEN,0.5798,0.0108,0.4094
HEARTS THREE CLUBS ACE,0.3952,0.0054,0.5994
DIAMONDS KING CLUBS ACE,0.357,0.005,0.638
