opposingHand,winningChance,drawChance,lostChance
SPADES SEVEN CLUBS ACE
HEARTS FIVE SPADES TEN,0.6224,0.0044,0.3732
SPADES JACK HEARTS FIVE,0.64,0.0034,0.3566
SPADES FIVE CLUBS JACK,0.6448,0.0042,0.351
SPADES FIVE CLUBS TEN,0.6388,0.0046,0.3566
CLUBS EIGHT CLUBS JACK,0.5794,0.0048,0.4158
CLUBS EIGHT CLUBS TEN,0.557,0.006,0.437
CLUBS EIGHT CLUBS KING,0.5824,0.0034,0.4142
CLUBS EIGHT CLUBS QUEEN,0.5614,0.0032,0.4354
SPADES FIVE CLUBS KING,0.6404,0.0048,0.3548
SPADES FIVE CLUBS QUEEN,0.6458,0.0048,0.3494
DIAMONDS TWO DIAMONDS THREE,0.618,0.0054,0.3766
DIAMONDS TWO DIAMONDS FIVE,0.6236,0.0054,0.371
SPADES KING HEARTS FIVE,0.6374,0.0026,0.36
DIAMONDS TWO DIAMONDS FOUR,0.6126,0.0026,0.3848
SPADES QUEEN HEARTS FIVE,0.615,0.0042,0.3808
DIAMONDS TWO DIAMONDS SEVEN,0.7062,0.0272,0.2666
DIAMONDS TWO DIAMONDS SIX,0.6298,0.004,0.3662
SPADES ACE HEARTS FIVE,0.4506,0.2976,0.2518
DIAMONDS TWO DIAMONDS NINE,0.6052,0.0026,0.3922
DIAMONDS TWO DIAMONDS EIGHT,0.6038,0.004,0.3922
DIAMONDS THREE DIAMONDS FOUR,0.5906,0.0058,0.4036
CLUBS TWO SPADES FOUR,0.6644,0.0056,0.33
DIAMONDS THREE DIAMONDS FIVE,0.597,0.0032,0.3998
CLUBS TWO SPADES FIVE,0.6588,0.0062,0.335
CLUBS TWO SPADES TWO,0.4876,0.0062,0.5062
CLUBS TWO SPADES THREE,0.6742,0.0048,0.321
DIAMONDS THREE DIAMONDS EIGHT,0.612,0.003,0.385
SPADES EIGHT CLUBS TWO,0.6524,0.006,0.3416
DIAMONDS THREE DIAMONDS NINE,0.61,0.004,0.386
SPADES NINE CLUBS TWO,0.6642,0.0052,0.3306
DIAMONDS THREE DIAMONDS SIX,0.6178,0.0042,0.378
CLUBS TWO SPADES SIX,0.673,0.0058,0.3212
DIAMONDS THREE DIAMONDS SEVEN,0.6918,0.0252,0.283
CLUBS SIX CLUBS TWO,0.639,0.0068,0.3542
CLUBS SEVEN CLUBS TWO,0.7112,0.0296,0.2592
CLUBS FOUR CLUBS TWO,0.6212,0.0048,0.374
CLUBS FIVE CLUBS TWO,0.608,0.0072,0.3848
CLUBS JACK CLUBS TEN,0.537,0.0034,0.4596
DIAMONDS FOUR DIAMONDS SIX,0.6022,0.0044,0.3934
CLUBS QUEEN CLUBS TEN,0.5304,0.0058,0.4638
DIAMONDS FOUR DIAMONDS SEVEN,0.6736,0.0228,0.3036
CLUBS KING CLUBS TEN,0.5478,0.0048,0.4474
CLUBS EIGHT CLUBS TWO,0.628,0.0042,0.3678
DIAMONDS FIVE DIAMONDS FOUR,0.5802,0.0042,0.4156
CLUBS NINE CLUBS TWO,0.6306,0.003,0.3664
DIAMONDS NINE DIAMONDS FOUR,0.6038,0.0064,0.3898
DIAMONDS EIGHT DIAMONDS FOUR,0.5912,0.0042,0.4046
CLUBS TWO CLUBS THREE,0.6458,0.0058,0.3484
DIAMONDS NINE DIAMONDS FIVE,0.5976,0.0042,0.3982
DIAMONDS TWO CLUBS JACK,0.6522,0.0066,0.3412
DIAMONDS EIGHT DIAMONDS FIVE,0.5862,0.003,0.4108
DIAMONDS TWO CLUBS TEN,0.644,0.004,0.352
DIAMONDS FIVE DIAMONDS SEVEN,0.667,0.0234,0.3096
DIAMONDS FIVE DIAMONDS SIX,0.5866,0.0048,0.4086
DIAMONDS TWO CLUBS KING,0.6366,0.0056,0.3578
DIAMONDS TWO CLUBS QUEEN,0.6544,0.005,0.3406
DIAMONDS EIGHT DIAMONDS SIX,0.565,0.0022,0.4328
DIAMONDS NINE DIAMONDS SIX,0.5878,0.0034,0.4088
HEARTS ACE SPADES THREE,0.4594,0.2918,0.2488
HEARTS KING SPADES THREE,0.6404,0.005,0.3546
DIAMONDS SEVEN DIAMONDS SIX,0.6536,0.0246,0.3218
SPADES THREE HEARTS QUEEN,0.6382,0.0054,0.3564
SPADES THREE HEARTS JACK,0.6396,0.0044,0.356
SPADES THREE HEARTS TEN,0.6416,0.004,0.3544
DIAMONDS EIGHT DIAMONDS SEVEN,0.639,0.0222,0.3388
DIAMONDS NINE DIAMONDS SEVEN,0.6556,0.0218,0.3226
DIAMONDS NINE DIAMONDS EIGHT,0.5274,0.0034,0.4692
DIAMONDS KING HEARTS TEN,0.5742,0.005,0.4208
HEARTS THREE HEARTS TEN,0.5954,0.0062,0.3984
CLUBS SIX SPADES JACK,0.6382,0.0066,0.3552
DIAMONDS KING HEARTS JACK,0.5574,0.0046,0.438
HEARTS THREE HEARTS JACK,0.6008,0.0048,0.3944
CLUBS SIX SPADES TEN,0.6354,0.003,0.3616
SPADES JACK SPADES FIVE,0.5978,0.006,0.3962
SPADES TEN SPADES FIVE,0.6152,0.004,0.3808
