opposingHand,winningChance,drawChance,lostChance
SPADES SEVEN CLUBS TWO
HEARTS FIVE SPADES TEN,0.3484,0.0272,0.6244
SPADES JACK HEARTS FIVE,0.3498,0.023,0.6272
SPADES FIVE CLUBS JACK,0.3494,0.0208,0.6298
CLUBS TEN SPADES FIVE,0.3406,0.0258,0.6336
CLUBS EIGHT CLUBS JACK,0.2876,0.0182,0.6942
CLUBS TEN CLUBS EIGHT,0.2848,0.0228,0.6924
CLUBS EIGHT CLUBS KING,0.2984,0.0072,0.6944
SPADES FIVE CLUBS ACE,0.3396,0.006,0.6544
CLUBS EIGHT CLUBS QUEEN,0.3204,0.0128,0.6668
SPADES FIVE CLUBS KING,0.3556,0.0074,0.637
SPADES FIVE CLUBS QUEEN,0.3404,0.0146,0.645
CLUBS EIGHT CLUBS ACE,0.3072,0.0038,0.689
DIAMONDS TWO DIAMONDS THREE,0.5098,0.187,0.3032
DIAMONDS TWO DIAMONDS FIVE,0.4892,0.1852,0.3256
SPADES KING HEARTS FIVE,0.3494,0.0084,0.6422
DIAMONDS TWO DIAMONDS FOUR,0.512,0.1784,0.3096
SPADES QUEEN HEARTS FIVE,0.3366,0.0144,0.649
DIAMONDS TWO DIAMONDS SEVEN,0.0222,0.9068,0.071
DIAMONDS TWO DIAMONDS SIX,0.5242,0.1802,0.2956
SPADES ACE HEARTS FIVE,0.3308,0.0056,0.6636
DIAMONDS TWO DIAMONDS NINE,0.2278,0.094,0.6782
DIAMONDS TWO DIAMONDS EIGHT,0.2226,0.1418,0.6356
DIAMONDS THREE DIAMONDS FOUR,0.4448,0.1002,0.455
DIAMONDS THREE DIAMONDS FIVE,0.4502,0.0998,0.45
DIAMONDS THREE DIAMONDS EIGHT,0.3344,0.0644,0.6012
DIAMONDS THREE DIAMONDS NINE,0.3314,0.0408,0.6278
DIAMONDS THREE DIAMONDS SIX,0.4722,0.095,0.4328
DIAMONDS THREE DIAMONDS SEVEN,0.2012,0.4838,0.315
CLUBS TEN CLUBS JACK,0.2754,0.015,0.7096
DIAMONDS FOUR DIAMONDS SIX,0.4436,0.101,0.4554
CLUBS TEN CLUBS QUEEN,0.2984,0.0108,0.6908
DIAMONDS FOUR DIAMONDS SEVEN,0.2138,0.4488,0.3374
CLUBS TEN CLUBS KING,0.3052,0.0052,0.6896
CLUBS TEN CLUBS ACE,0.2992,0.0046,0.6962
DIAMONDS FIVE DIAMONDS FOUR,0.441,0.1006,0.4584
DIAMONDS NINE DIAMONDS FOUR,0.3248,0.041,0.6342
DIAMONDS EIGHT DIAMONDS FOUR,0.3096,0.0598,0.6306
DIAMONDS NINE DIAMONDS FIVE,0.3068,0.0424,0.6508
DIAMONDS TWO CLUBS JACK,0.2344,0.0516,0.714
DIAMONDS EIGHT DIAMONDS FIVE,0.3088,0.0646,0.6266
CLUBS TEN DIAMONDS TWO,0.2344,0.0766,0.689
DIAMONDS FIVE DIAMONDS SEVEN,0.203,0.412,0.385
DIAMONDS FIVE DIAMONDS SIX,0.4428,0.0976,0.4596
DIAMONDS TWO CLUBS ACE,0.2388,0.0144,0.7468
DIAMONDS TWO CLUBS KING,0.245,0.0246,0.7304
DIAMONDS TWO CLUBS QUEEN,0.2442,0.0356,0.7202
DIAMONDS EIGHT DIAMONDS SIX,0.2988,0.0642,0.637
DIAMONDS NINE DIAMONDS SIX,0.31,0.0458,0.6442
HEARTS ACE SPADES THREE,0.3548,0.0048,0.6404
HEARTS KING SPADES THREE,0.3562,0.0092,0.6346
DIAMONDS SEVEN DIAMONDS SIX,0.1896,0.3614,0.449
SPADES THREE HEARTS QUEEN,0.3574,0.014,0.6286
SPADES THREE HEARTS JACK,0.3638,0.0196,0.6166
SPADES THREE HEARTS TEN,0.353,0.0328,0.6142
DIAMONDS EIGHT DIAMONDS SEVEN,0.202,0.1414,0.6566
DIAMONDS NINE DIAMONDS SEVEN,0.2062,0.1046,0.6892
DIAMONDS NINE DIAMONDS EIGHT,0.266,0.0362,0.6978
DIAMONDS KING HEARTS TEN,0.3138,0.0064,0.6798
HEARTS THREE HEARTS TEN,0.3364,0.0284,0.6352
SPADES JACK CLUBS SIX,0.3422,0.0198,0.638
DIAMONDS KING HEARTS JACK,0.3202,0.0076,0.6722
HEARTS THREE HEARTS JACK,0.3416,0.0206,0.6378
SPADES TEN CLUBS SIX,0.3188,0.0318,0.6494
SPADES JACK SPADES FIVE,0.3146,0.018,0.6674
SPADES TEN SPADES FIVE,0.327,0.0264,0.6466
DIAMONDS KING HEARTS ACE,0.3258,0.0036,0.6706
HEARTS THREE HEARTS ACE,0.3116,0.0052,0.6832
SPADES ACE CLUBS SIX,0.3392,0.005,0.6558
DIAMONDS KING HEARTS QUEEN,0.324,0.0074,0.6686
HEARTS THREE HEARTS QUEEN,0.3344,0.0132,0.6524
SPADES KING CLUBS SIX,0.3396,0.008,0.6524
DIAMONDS KING HEARTS KING,0.1318,0.0182,0.85
HEARTS THREE HEARTS KING,0.3334,0.0106,0.656
SPADES QUEEN CLUBS SIX,0.3274,0.0124,0.6602
SPADES NINE HEARTS TEN,0.2976,0.028,0.6744
SPADES NINE HEARTS JACK,0.3022,0.017,0.6808
SPADES QUEEN SPADES FIVE,0.3274,0.0118,0.6608
SPADES KING SPADES FIVE,0.3362,0.0098,0.654
SPADES ACE SPADES FIVE,0.3168,0.0056,0.6776
SPADES NINE HEARTS QUEEN,0.314,0.0122,0.6738
SPADES NINE HEARTS KING,0.3142,0.0082,0.6776
SPADES NINE HEARTS ACE,0.3244,0.0048,0.6708
CLUBS TEN SPADES JACK,0.3052,0.018,0.6768
CLUBS TEN SPADES TEN,0.1118,0.0552,0.833
SPADES ACE CLUBS TEN,0.314,0.0048,0.6812
SPADES KING CLUBS TEN,0.3134,0.0098,0.6768
CLUBS TEN SPADES QUEEN,0.3076,0.0122,0.6802
SPADES FIVE HEARTS QUEEN,0.3386,0.012,0.6494
SPADES FIVE HEARTS KING,0.3486,0.0084,0.643
SPADES FIVE HEARTS ACE,0.342,0.0054,0.6526
CLUBS EIGHT SPADES TEN,0.2796,0.0252,0.6952
HEARTS THREE SPADES JACK,0.3544,0.019,0.6266
SPADES JACK DIAMONDS KING,0.3196,0.007,0.6734
SPADES TEN DIAMONDS KING,0.3158,0.007,0.6772
HEARTS THREE SPADES TEN,0.3454,0.029,0.6256
SPADES JACK CLUBS EIGHT,0.3022,0.0224,0.6754
CLUBS SIX HEARTS ACE,0.3362,0.0058,0.658
SPADES ACE CLUBS EIGHT,0.3106,0.0044,0.685
HEARTS FIVE CLUBS JACK,0.3562,0.017,0.6268
CLUBS TEN HEARTS FIVE,0.3396,0.0326,0.6278
CLUBS SIX HEARTS QUEEN,0.3506,0.0144,0.635
SPADES QUEEN CLUBS EIGHT,0.3094,0.0126,0.678
CLUBS TEN SPADES THREE,0.3552,0.0306,0.6142
CLUBS SIX HEARTS KING,0.3408,0.0092,0.65
SPADES KING CLUBS EIGHT,0.3198,0.0084,0.6718
SPADES THREE CLUBS JACK,0.357,0.0246,0.6184
DIAMONDS TWO HEARTS JACK,0.2452,0.0436,0.7112
SPADES THREE CLUBS QUEEN,0.3456,0.0164,0.638
DIAMONDS TWO HEARTS TEN,0.2486,0.067,0.6844
SPADES THREE CLUBS KING,0.3648,0.0122,0.623
HEARTS FIVE CLUBS ACE,0.3338,0.0046,0.6616
SPADES FIVE HEARTS TEN,0.3502,0.0304,0.6194
SPADES THREE CLUBS ACE,0.3352,0.009,0.6558
HEARTS FIVE CLUBS KING,0.3462,0.007,0.6468
SPADES FIVE HEARTS JACK,0.346,0.0204,0.6336
HEARTS FIVE CLUBS QUEEN,0.3302,0.0134,0.6564
HEARTS THREE CLUBS KING,0.3514,0.01,0.6386
DIAMONDS KING CLUBS KING,0.1262,0.0192,0.8546
HEARTS THREE CLUBS QUEEN,0.3484,0.0136,0.638
DIAMONDS KING CLUBS QUEEN,0.3194,0.0086,0.672
HEARTS FIVE HEARTS JACK,0.3354,0.0178,0.6468
HEARTS FIVE HEARTS TEN,0.3358,0.0244,0.6398
HEARTS THREE CLUBS ACE,0.3316,0.005,0.6634
DIAMONDS KING CLUBS ACE,0.3194,0.005,0.6756
SPADES ACE CLUBS QUEEN,0.3126,0.0048,0.6826
SPADES KING CLUBS QUEEN,0.323,0.0072,0.6698
HEARTS THREE CLUBS JACK,0.3506,0.0198,0.6296
DIAMONDS KING CLUBS JACK,0.3156,0.0064,0.678
SPADES QUEEN CLUBS QUEEN,0.1136,0.0282,0.8582
CLUBS TEN HEARTS THREE,0.3474,0.03,0.6226
CLUBS TEN DIAMONDS KING,0.3118,0.007,0.6812
SPADES JACK CLUBS QUEEN,0.3116,0.013,0.6754
CLUBS SIX CLUBS QUEEN,0.324,0.0118,0.6642
SPADES TEN CLUBS QUEEN,0.2916,0.01,0.6984
CLUBS SIX CLUBS KING,0.3376,0.0082,0.6542
CLUBS SIX CLUBS ACE,0.3336,0.0052,0.6612
HEARTS FIVE HEARTS KING,0.326,0.0062,0.6678
HEARTS FIVE HEARTS QUEEN,0.3258,0.015,0.6592
CLUBS TEN CLUBS SIX,0.3312,0.023,0.6458
HEARTS FIVE HEARTS ACE,0.3198,0.0036,0.6766
CLUBS SIX CLUBS JACK,0.3376,0.0168,0.6456
DIAMONDS TWO CLUBS THREE,0.5384,0.2048,0.2568
HEARTS SIX DIAMONDS TWO,0.571,0.1934,0.2356
DIAMONDS TWO HEARTS QUEEN,0.2468,0.0314,0.7218
DIAMONDS TWO HEARTS SEVEN,0.0212,0.953,0.0258
DIAMONDS TWO HEARTS KING,0.2472,0.026,0.7268
DIAMONDS TWO HEARTS EIGHT,0.2466,0.1368,0.6166
DIAMONDS TWO HEARTS ACE,0.2398,0.013,0.7472
DIAMONDS TWO HEARTS NINE,0.2442,0.1014,0.6544
DIAMONDS TWO DIAMONDS QUEEN,0.2316,0.0352,0.7332
DIAMONDS TWO HEARTS TWO,0.2598,0.0758,0.6644
DIAMONDS TWO DIAMONDS KING,0.2344,0.024,0.7416
HEARTS THREE DIAMONDS TWO,0.5388,0.1964,0.2648
DIAMONDS TWO DIAMONDS ACE,0.2334,0.0132,0.7534
HEARTS FOUR DIAMONDS TWO,0.5294,0.1982,0.2724
DIAMONDS TWO HEARTS FIVE,0.5448,0.1896,0.2656
DIAMONDS TWO DIAMONDS TEN,0.218,0.0684,0.7136
DIAMONDS TWO DIAMONDS JACK,0.2274,0.052,0.7206
DIAMONDS TWO SPADES NINE,0.2284,0.0978,0.6738
DIAMONDS TWO SPADES EIGHT,0.2326,0.1382,0.6292
