opposingHand,winningChance,drawChance,lostChance
SPADES SEVEN HEARTS NINE
HEARTS FIVE SPADES TEN,0.4286,0.0282,0.5432
SPADES JACK HEARTS FIVE,0.425,0.0218,0.5532
SPADES FIVE CLUBS JACK,0.4298,0.0176,0.5526
CLUBS TEN SPADES FIVE,0.4192,0.0258,0.555
CLUBS EIGHT CLUBS JACK,0.3484,0.015,0.6366
CLUBS TEN CLUBS EIGHT,0.338,0.0212,0.6408
CLUBS EIGHT CLUBS KING,0.374,0.0046,0.6214
SPADES FIVE CLUBS ACE,0.423,0.0036,0.5734
CLUBS EIGHT CLUBS QUEEN,0.3492,0.0118,0.639
SPADES FIVE CLUBS KING,0.4386,0.008,0.5534
SPADES FIVE CLUBS QUEEN,0.415,0.008,0.577
CLUBS EIGHT CLUBS ACE,0.365,0.0046,0.6304
DIAMONDS TWO DIAMONDS THREE,0.5894,0.0412,0.3694
DIAMONDS TWO DIAMONDS FIVE,0.5874,0.0366,0.376
SPADES KING HEARTS FIVE,0.4176,0.0072,0.5752
DIAMONDS TWO DIAMONDS FOUR,0.5774,0.035,0.3876
SPADES QUEEN HEARTS FIVE,0.4206,0.0124,0.567
DIAMONDS TWO DIAMONDS SEVEN,0.6296,0.1102,0.2602
DIAMONDS TWO DIAMONDS SIX,0.62,0.0398,0.3402
SPADES ACE HEARTS FIVE,0.4248,0.0052,0.57
DIAMONDS TWO DIAMONDS NINE,0.4584,0.2802,0.2614
DIAMONDS TWO DIAMONDS EIGHT,0.593,0.0384,0.3686
DIAMONDS THREE DIAMONDS FOUR,0.5638,0.0406,0.3956
SPADES FOUR CLUBS TWO,0.6326,0.0384,0.329
DIAMONDS THREE DIAMONDS FIVE,0.567,0.0392,0.3938
SPADES FIVE CLUBS TWO,0.6262,0.0444,0.3294
CLUBS TWO SPADES TWO,0.4326,0.0688,0.4986
CLUBS TWO SPADES THREE,0.6374,0.0398,0.3228
DIAMONDS THREE DIAMONDS EIGHT,0.5906,0.0436,0.3658
SPADES EIGHT CLUBS TWO,0.6314,0.0424,0.3262
DIAMONDS THREE DIAMONDS NINE,0.461,0.2696,0.2694
SPADES NINE CLUBS TWO,0.473,0.3004,0.2266
DIAMONDS THREE DIAMONDS SIX,0.594,0.037,0.369
SPADES SIX CLUBS TWO,0.6516,0.043,0.3054
DIAMONDS THREE DIAMONDS SEVEN,0.6152,0.1074,0.2774
CLUBS SIX CLUBS TWO,0.606,0.0444,0.3496
CLUBS SEVEN CLUBS TWO,0.6252,0.1042,0.2706
CLUBS FOUR CLUBS TWO,0.5784,0.0378,0.3838
CLUBS FIVE CLUBS TWO,0.5944,0.0402,0.3654
CLUBS TEN CLUBS JACK,0.3142,0.01,0.6758
DIAMONDS FOUR DIAMONDS SIX,0.5736,0.043,0.3834
CLUBS TEN CLUBS QUEEN,0.3206,0.0084,0.671
DIAMONDS FOUR DIAMONDS SEVEN,0.612,0.1086,0.2794
CLUBS TEN CLUBS KING,0.3422,0.0062,0.6516
CLUBS TEN CLUBS ACE,0.3374,0.0022,0.6604
CLUBS EIGHT CLUBS TWO,0.6052,0.0396,0.3552
DIAMONDS FIVE DIAMONDS FOUR,0.5612,0.0404,0.3984
CLUBS NINE CLUBS TWO,0.4576,0.2866,0.2558
DIAMONDS NINE DIAMONDS FOUR,0.4536,0.2706,0.2758
DIAMONDS EIGHT DIAMONDS FOUR,0.5806,0.0438,0.3756
CLUBS THREE CLUBS TWO,0.5844,0.0392,0.3764
DIAMONDS NINE DIAMONDS FIVE,0.447,0.2794,0.2736
DIAMONDS TWO CLUBS JACK,0.4324,0.0188,0.5488
DIAMONDS EIGHT DIAMONDS FIVE,0.58,0.0384,0.3816
CLUBS TEN DIAMONDS TWO,0.431,0.0268,0.5422
DIAMONDS FIVE DIAMONDS SEVEN,0.6034,0.103,0.2936
DIAMONDS FIVE DIAMONDS SIX,0.5634,0.0396,0.397
DIAMONDS TWO CLUBS ACE,0.4192,0.0046,0.5762
DIAMONDS TWO CLUBS KING,0.4242,0.0084,0.5674
DIAMONDS TWO CLUBS QUEEN,0.431,0.0124,0.5566
DIAMONDS EIGHT DIAMONDS SIX,0.5746,0.0372,0.3882
DIAMONDS NINE DIAMONDS SIX,0.4558,0.285,0.2592
HEARTS ACE SPADES THREE,0.4216,0.0042,0.5742
SPADES THREE HEARTS KING,0.4356,0.0072,0.5572
DIAMONDS SEVEN DIAMONDS SIX,0.5952,0.104,0.3008
SPADES THREE HEARTS QUEEN,0.4398,0.0114,0.5488
SPADES THREE HEARTS JACK,0.4258,0.0196,0.5546
SPADES THREE HEARTS TEN,0.4238,0.0302,0.546
DIAMONDS EIGHT DIAMONDS SEVEN,0.6126,0.0908,0.2966
DIAMONDS NINE DIAMONDS SEVEN,0.0208,0.9126,0.0666
DIAMONDS NINE DIAMONDS EIGHT,0.2112,0.2114,0.5774
DIAMONDS KING HEARTS TEN,0.3518,0.007,0.6412
HEARTS THREE HEARTS TEN,0.4084,0.0246,0.567
SPADES JACK CLUBS SIX,0.4152,0.0126,0.5722
DIAMONDS KING HEARTS JACK,0.3586,0.0082,0.6332
HEARTS THREE HEARTS JACK,0.422,0.0158,0.5622
SPADES TEN CLUBS SIX,0.4056,0.0324,0.562
SPADES JACK SPADES FIVE,0.3974,0.0172,0.5854
SPADES TEN SPADES FIVE,0.4032,0.0272,0.5696
DIAMONDS KING HEARTS ACE,0.3656,0.0028,0.6316
HEARTS THREE HEARTS ACE,0.392,0.006,0.602
SPADES ACE CLUBS SIX,0.4144,0.0028,0.5828
DIAMONDS KING HEARTS QUEEN,0.3546,0.0054,0.64
HEARTS THREE HEARTS QUEEN,0.4046,0.0132,0.5822
SPADES KING CLUBS SIX,0.413,0.0052,0.5818
DIAMONDS KING HEARTS KING,0.171,0.0094,0.8196
HEARTS THREE HEARTS KING,0.4114,0.0076,0.581
SPADES QUEEN CLUBS SIX,0.4202,0.0104,0.5694
SPADES NINE HEARTS TEN,0.235,0.0756,0.6894
SPADES NINE HEARTS JACK,0.2392,0.059,0.7018
SPADES QUEEN SPADES FIVE,0.41,0.0116,0.5784
SPADES KING SPADES FIVE,0.4076,0.0062,0.5862
SPADES ACE SPADES FIVE,0.391,0.0052,0.6038
SPADES NINE HEARTS QUEEN,0.2428,0.0404,0.7168
SPADES NINE HEARTS KING,0.267,0.0354,0.6976
SPADES NINE HEARTS ACE,0.265,0.0244,0.7106
CLUBS TEN SPADES JACK,0.3272,0.0148,0.658
CLUBS TEN SPADES TEN,0.1544,0.038,0.8076
SPADES ACE CLUBS TEN,0.3528,0.0048,0.6424
SPADES KING CLUBS TEN,0.342,0.006,0.652
CLUBS TEN SPADES QUEEN,0.3414,0.0084,0.6502
SPADES FIVE HEARTS QUEEN,0.4184,0.0114,0.5702
SPADES FIVE HEARTS KING,0.4312,0.0072,0.5616
SPADES FIVE HEARTS ACE,0.4156,0.0056,0.5788
CLUBS EIGHT SPADES TEN,0.3614,0.022,0.6166
HEARTS THREE SPADES JACK,0.4308,0.0192,0.55
SPADES JACK DIAMONDS KING,0.3488,0.0086,0.6426
SPADES TEN DIAMONDS KING,0.3498,0.0058,0.6444
HEARTS THREE SPADES TEN,0.4402,0.0274,0.5324
SPADES JACK CLUBS EIGHT,0.3728,0.0166,0.6106
CLUBS SIX HEARTS ACE,0.4164,0.0038,0.5798
SPADES ACE CLUBS EIGHT,0.3894,0.0028,0.6078
HEARTS FIVE CLUBS JACK,0.4144,0.02,0.5656
CLUBS TEN HEARTS FIVE,0.4378,0.0258,0.5364
CLUBS SIX HEARTS QUEEN,0.4016,0.0108,0.5876
SPADES QUEEN CLUBS EIGHT,0.3902,0.0112,0.5986
CLUBS TEN SPADES THREE,0.4308,0.0234,0.5458
CLUBS SIX HEARTS KING,0.4118,0.0054,0.5828
SPADES KING CLUBS EIGHT,0.3846,0.0072,0.6082
SPADES THREE CLUBS JACK,0.4314,0.0196,0.549
DIAMONDS TWO HEARTS JACK,0.4342,0.0202,0.5456
SPADES THREE CLUBS QUEEN,0.4368,0.012,0.5512
DIAMONDS TWO HEARTS TEN,0.44,0.0238,0.5362
SPADES THREE CLUBS KING,0.4428,0.0068,0.5504
HEARTS FIVE CLUBS ACE,0.4294,0.0046,0.566
SPADES FIVE HEARTS TEN,0.4236,0.029,0.5474
SPADES THREE CLUBS ACE,0.4118,0.0038,0.5844
HEARTS FIVE CLUBS KING,0.4158,0.0084,0.5758
SPADES FIVE HEARTS JACK,0.421,0.0236,0.5554
HEARTS FIVE CLUBS QUEEN,0.4274,0.0116,0.561
HEARTS THREE CLUBS KING,0.4432,0.0054,0.5514
DIAMONDS KING CLUBS KING,0.1872,0.01,0.8028
HEARTS THREE CLUBS QUEEN,0.4334,0.0096,0.557
DIAMONDS KING CLUBS QUEEN,0.3598,0.006,0.6342
HEARTS FIVE HEARTS JACK,0.4038,0.018,0.5782
HEARTS FIVE HEARTS TEN,0.3962,0.0234,0.5804
HEARTS THREE CLUBS ACE,0.4232,0.0046,0.5722
DIAMONDS KING CLUBS ACE,0.3608,0.0028,0.6364
SPADES ACE CLUBS QUEEN,0.3576,0.003,0.6394
SPADES KING CLUBS QUEEN,0.3452,0.007,0.6478
HEARTS THREE CLUBS JACK,0.4246,0.0178,0.5576
DIAMONDS KING CLUBS JACK,0.3508,0.0078,0.6414
SPADES QUEEN CLUBS QUEEN,0.188,0.0236,0.7884
CLUBS TEN HEARTS THREE,0.4308,0.0284,0.5408
CLUBS TEN DIAMONDS KING,0.3416,0.0056,0.6528
SPADES JACK CLUBS QUEEN,0.3468,0.0116,0.6416
CLUBS SIX CLUBS QUEEN,0.4046,0.0098,0.5856
SPADES TEN CLUBS QUEEN,0.3342,0.0106,0.6552
CLUBS SIX CLUBS KING,0.3964,0.007,0.5966
CLUBS SIX CLUBS ACE,0.3838,0.0036,0.6126
HEARTS FIVE HEARTS KING,0.4052,0.0074,0.5874
HEARTS FIVE HEARTS QUEEN,0.4072,0.0134,0.5794
CLUBS TEN CLUBS SIX,0.3842,0.0232,0.5926
HEARTS FIVE HEARTS ACE,0.3952,0.004,0.6008
CLUBS SIX CLUBS JACK,0.397,0.0172,0.5858
DIAMONDS TWO CLUBS TWO,0.4446,0.0688,0.4866
DIAMONDS TWO CLUBS THREE,0.616,0.0456,0.3384
HEARTS SIX DIAMONDS TWO,0.6534,0.0436,0.303
DIAMONDS TWO HEARTS QUEEN,0.4362,0.0124,0.5514
DIAMONDS TWO HEARTS SEVEN,0.6804,0.1122,0.2074
DIAMONDS TWO HEARTS KING,0.4318,0.0068,0.5614
DIAMONDS TWO HEARTS EIGHT,0.6354,0.0466,0.318
DIAMONDS TWO HEARTS ACE,0.4224,0.0062,0.5714
DIAMONDS TWO DIAMONDS QUEEN,0.4028,0.0108,0.5864
DIAMONDS TWO HEARTS TWO,0.4334,0.071,0.4956
DIAMONDS TWO DIAMONDS KING,0.4038,0.0086,0.5876
HEARTS THREE DIAMONDS TWO,0.6296,0.0488,0.3216
DIAMONDS TWO DIAMONDS ACE,0.4068,0.0028,0.5904
HEARTS FOUR DIAMONDS TWO,0.6328,0.0384,0.3288
DIAMONDS TWO HEARTS FIVE,0.6434,0.043,0.3136
DIAMONDS TWO DIAMONDS TEN,0.4052,0.024,0.5708
DIAMONDS TWO DIAMONDS JACK,0.4038,0.0166,0.5796
DIAMONDS TWO SPADES NINE,0.4916,0.2996,0.2088
DIAMONDS TWO SPADES EIGHT,0.6366,0.0404,0.323
DIAMONDS TWO SPADES SIX,0.6358,0.0424,0.3218
DIAMONDS TWO SPADES FIVE,0.63,0.0388,0.3312
DIAMONDS TWO SPADES FOUR,0.6226,0.0412,0.3362
DIAMONDS TWO SPADES THREE,0.633,0.0454,0.3216
DIAMONDS TWO SPADES TWO,0.4434,0.0736,0.483
CLUBS NINE DIAMONDS TWO,0.492,0.2914,0.2166
DIAMONDS TWO CLUBS EIGHT,0.636,0.0372,0.3268
CLUBS SEVEN DIAMONDS TWO,0.6816,0.1022,0.2162
DIAMONDS TWO CLUBS SIX,0.6432,0.0432,0.3136
DIAMONDS TWO CLUBS FIVE,0.6156,0.0402,0.3442
DIAMONDS TWO CLUBS FOUR,0.6222,0.0432,0.3346
CLUBS FOUR SPADES FIVE,0.61,0.0382,0.3518
CLUBS FOUR SPADES FOUR,0.4328,0.0666,0.5006
CLUBS FOUR SPADES THREE,0.6062,0.0428,0.351
CLUBS FOUR SPADES TWO,0.6388,0.0442,0.317
SPADES NINE CLUBS FOUR,0.487,0.2892,0.2238
SPADES EIGHT CLUBS FOUR,0.6274,0.047,0.3256
SPADES SIX CLUBS FOUR,0.623,0.0416,0.3354
SPADES ACE DIAMONDS SIX,0.4078,0.0032,0.589
SPADES QUEEN DIAMONDS SIX,0.4096,0.0124,0.578
SPADES KING DIAMONDS SIX,0.413,0.0072,0.5798
SPADES TEN DIAMONDS SIX,0.4034,0.0248,0.5718
SPADES JACK DIAMONDS SIX,0.4098,0.0176,0.5726
SPADES QUEEN SPADES TWO,0.4172,0.0102,0.5726
SPADES KING SPADES TWO,0.4326,0.0074,0.56
SPADES ACE SPADES TWO,0.4048,0.0056,0.5896
DIAMONDS JACK CLUBS JACK,0.171,0.0284,0.8006
CLUBS TEN DIAMONDS JACK,0.329,0.012,0.659
DIAMONDS JACK CLUBS KING,0.34,0.006,0.654
DIAMONDS JACK CLUBS QUEEN,0.3496,0.008,0.6424
DIAMONDS THREE DIAMONDS JACK,0.4046,0.013,0.5824
DIAMONDS THREE DIAMONDS TEN,0.4004,0.025,0.5746
DIAMONDS JACK CLUBS ACE,0.3608,0.0034,0.6358
DIAMONDS THREE DIAMONDS KING,0.3908,0.0076,0.6016
HEARTS THREE DIAMONDS THREE,0.4294,0.069,0.5016
DIAMONDS THREE DIAMONDS QUEEN,0.419,0.0106,0.5704
DIAMONDS THREE HEARTS TWO,0.6228,0.0436,0.3336
HEARTS FIVE DIAMONDS THREE,0.622,0.0402,0.3378
DIAMONDS THREE DIAMONDS ACE,0.4006,0.0036,0.5958
HEARTS FOUR DIAMONDS THREE,0.615,0.0398,0.3452
DIAMONDS THREE HEARTS SEVEN,0.67,0.1054,0.2246
SPADES TEN SPADES NINE,0.2368,0.0752,0.688
HEARTS SIX DIAMONDS THREE,0.6336,0.0426,0.3238
SPADES JACK SPADES NINE,0.2502,0.0562,0.6936
HEARTS JACK DIAMONDS FOUR,0.4244,0.0194,0.5562
HEARTS ACE HEARTS KING,0.3366,0.0032,0.6602
SPADES TEN SPADES TWO,0.41,0.0242,0.5658
DIAMONDS THREE HEARTS EIGHT,0.6436,0.0408,0.3156
HEARTS TEN DIAMONDS FOUR,0.4332,0.0232,0.5436
SPADES JACK SPADES TWO,0.4192,0.018,0.5628
HEARTS QUEEN DIAMONDS FOUR,0.4222,0.0128,0.565
HEARTS KING DIAMONDS FOUR,0.435,0.008,0.557
SPADES ACE SPADES NINE,0.2624,0.0238,0.7138
HEARTS ACE DIAMONDS FOUR,0.4242,0.004,0.5718
SPADES KING SPADES NINE,0.262,0.0346,0.7034
SPADES QUEEN SPADES NINE,0.2472,0.0452,0.7076
DIAMONDS THREE SPADES NINE,0.4914,0.2916,0.217
DIAMONDS THREE SPADES EIGHT,0.6356,0.041,0.3234
DIAMONDS THREE SPADES SIX,0.6324,0.0458,0.3218
DIAMONDS THREE CLUBS SIX,0.6374,0.0382,0.3244
CLUBS FIVE CLUBS SIX,0.5694,0.039,0.3916
CLUBS ACE DIAMONDS FOUR,0.4314,0.0052,0.5634
CLUBS SEVEN DIAMONDS THREE,0.6576,0.104,0.2384
CLUBS SEVEN CLUBS FIVE,0.6046,0.1032,0.2922
DIAMONDS THREE CLUBS FOUR,0.605,0.0418,0.3532
DIAMONDS FOUR CLUBS QUEEN,0.4314,0.0096,0.559
DIAMONDS THREE CLUBS FIVE,0.6038,0.0416,0.3546
CLUBS KING DIAMONDS FOUR,0.4296,0.0078,0.5626
DIAMONDS THREE CLUBS TWO,0.6206,0.0406,0.3388
CLUBS TEN DIAMONDS FOUR,0.4328,0.0222,0.545
DIAMONDS THREE CLUBS THREE,0.4168,0.0674,0.5158
DIAMONDS FOUR CLUBS JACK,0.436,0.0174,0.5466
DIAMONDS THREE SPADES FOUR,0.6264,0.0408,0.3328
DIAMONDS THREE SPADES FIVE,0.6024,0.0478,0.3498
DIAMONDS THREE SPADES TWO,0.6262,0.044,0.3298
DIAMONDS THREE SPADES THREE,0.4198,0.0704,0.5098
CLUBS EIGHT DIAMONDS THREE,0.6332,0.0432,0.3236
CLUBS NINE DIAMONDS THREE,0.472,0.3012,0.2268
CLUBS FIVE SPADES SIX,0.609,0.0432,0.3478
CLUBS FIVE SPADES NINE,0.4882,0.2906,0.2212
CLUBS FIVE SPADES EIGHT,0.6118,0.0424,0.3458
CLUBS FIVE SPADES THREE,0.613,0.0372,0.3498
CLUBS FIVE SPADES TWO,0.628,0.0458,0.3262
CLUBS FIVE SPADES FIVE,0.4204,0.0632,0.5164
CLUBS FIVE SPADES FOUR,0.6016,0.0468,0.3516
CLUBS NINE CLUBS FIVE,0.4568,0.2804,0.2628
CLUBS EIGHT CLUBS FIVE,0.5644,0.038,0.3976
CLUBS ACE CLUBS QUEEN,0.338,0.004,0.658
CLUBS KING CLUBS QUEEN,0.3376,0.0038,0.6586
DIAMONDS TEN DIAMONDS FOUR,0.401,0.0262,0.5728
