opposingHand,winningChance,drawChance,lostChance
SPADES SIX CLUBS ACE
HEARTS FIVE SPADES TEN,0.6416,0.0024,0.356
SPADES JACK HEARTS FIVE,0.6264,0.0042,0.3694
SPADES FIVE CLUBS JACK,0.6404,0.005,0.3546
SPADES FIVE CLUBS TEN,0.6374,0.006,0.3566
CLUBS EIGHT CLUBS JACK,0.5532,0.0042,0.4426
CLUBS EIGHT CLUBS TEN,0.551,0.0064,0.4426
CLUBS EIGHT CLUBS KING,0.5664,0.0042,0.4294
CLUBS EIGHT CLUBS QUEEN,0.5624,0.0038,0.4338
SPADES FIVE CLUBS KING,0.6432,0.0048,0.352
SPADES FIVE CLUBS QUEEN,0.6408,0.0056,0.3536
DIAMONDS TWO DIAMONDS THREE,0.6158,0.005,0.3792
DIAMONDS TWO DIAMONDS FIVE,0.6054,0.0048,0.3898
SPADES KING HEARTS FIVE,0.647,0.0054,0.3476
DIAMONDS TWO DIAMONDS FOUR,0.6102,0.0036,0.3862
SPADES QUEEN HEARTS FIVE,0.6478,0.0038,0.3484
DIAMONDS TWO DIAMONDS SEVEN,0.6154,0.004,0.3806
DIAMONDS TWO DIAMONDS SIX,0.7006,0.0252,0.2742
SPADES ACE HEARTS FIVE,0.3654,0.3844,0.2502
DIAMONDS TWO DIAMONDS NINE,0.6022,0.0044,0.3934
DIAMONDS TWO DIAMONDS EIGHT,0.6018,0.005,0.3932
DIAMONDS THREE DIAMONDS FOUR,0.605,0.005,0.39
CLUBS TWO SPADES FOUR,0.6652,0.007,0.3278
DIAMONDS THREE DIAMONDS FIVE,0.5996,0.0032,0.3972
CLUBS TWO SPADES FIVE,0.6586,0.007,0.3344
CLUBS TWO SPADES TWO,0.477,0.006,0.517
CLUBS TWO SPADES THREE,0.6652,0.0056,0.3292
DIAMONDS THREE DIAMONDS EIGHT,0.6038,0.0036,0.3926
SPADES EIGHT CLUBS TWO,0.6506,0.006,0.3434
DIAMONDS THREE DIAMONDS NINE,0.595,0.0038,0.4012
SPADES NINE CLUBS TWO,0.6538,0.0044,0.3418
DIAMONDS THREE DIAMONDS SIX,0.671,0.0276,0.3014
DIAMONDS THREE DIAMONDS SEVEN,0.5928,0.0038,0.4034
CLUBS TWO SPADES SEVEN,0.6626,0.0056,0.3318
CLUBS SIX CLUBS TWO,0.7132,0.0334,0.2534
CLUBS SEVEN CLUBS TWO,0.6276,0.0042,0.3682
CLUBS FOUR CLUBS TWO,0.6304,0.0076,0.362
CLUBS FIVE CLUBS TWO,0.6306,0.0052,0.3642
CLUBS JACK CLUBS TEN,0.5098,0.0064,0.4838
DIAMONDS FOUR DIAMONDS SIX,0.6634,0.0264,0.3102
CLUBS QUEEN CLUBS TEN,0.54,0.0026,0.4574
DIAMONDS FOUR DIAMONDS SEVEN,0.5742,0.0048,0.421
CLUBS KING CLUBS TEN,0.544,0.0046,0.4514
CLUBS EIGHT CLUBS TWO,0.6172,0.0052,0.3776
DIAMONDS FIVE DIAMONDS FOUR,0.587,0.0048,0.4082
CLUBS NINE CLUBS TWO,0.6254,0.0062,0.3684
DIAMONDS NINE DIAMONDS FOUR,0.5844,0.004,0.4116
DIAMONDS EIGHT DIAMONDS FOUR,0.5786,0.0044,0.417
CLUBS TWO CLUBS THREE,0.6192,0.0072,0.3736
