opposingHand,winningChance,drawChance,lostChance
SPADES SIX CLUBS QUEEN
HEARTS FIVE SPADES TEN,0.6146,0.0126,0.3728
SPADES JACK HEARTS FIVE,0.6336,0.0122,0.3542
SPADES FIVE CLUBS JACK,0.6322,0.0104,0.3574
SPADES FIVE CLUBS TEN,0.637,0.0122,0.3508
CLUBS EIGHT CLUBS JACK,0.5508,0.0108,0.4384
CLUBS EIGHT CLUBS TEN,0.5432,0.0108,0.446
CLUBS EIGHT CLUBS KING,0.3506,0.0076,0.6418
SPADES FIVE CLUBS ACE,0.3706,0.0042,0.6252
SPADES FIVE CLUBS KING,0.39,0.009,0.601
CLUBS EIGHT CLUBS ACE,0.3392,0.0042,0.6566
DIAMONDS TWO DIAMONDS THREE,0.602,0.0118,0.3862
DIAMONDS TWO DIAMONDS FIVE,0.5988,0.0122,0.389
SPADES KING HEARTS FIVE,0.3826,0.007,0.6104
DIAMONDS TWO DIAMONDS FOUR,0.5974,0.012,0.3906
SPADES QUEEN HEARTS FIVE,0.377,0.3916,0.2314
DIAMONDS TWO DIAMONDS SEVEN,0.6092,0.013,0.3778
DIAMONDS TWO DIAMONDS SIX,0.675,0.0502,0.2748
SPADES ACE HEARTS FIVE,0.386,0.0044,0.6096
DIAMONDS TWO DIAMONDS NINE,0.5888,0.0126,0.3986
DIAMONDS TWO DIAMONDS EIGHT,0.5848,0.0102,0.405
DIAMONDS THREE DIAMONDS FOUR,0.584,0.0108,0.4052
CLUBS TWO SPADES FOUR,0.6462,0.0148,0.339
DIAMONDS THREE DIAMONDS FIVE,0.5896,0.014,0.3964
CLUBS TWO SPADES FIVE,0.6484,0.0134,0.3382
CLUBS TWO SPADES TWO,0.4476,0.0292,0.5232
CLUBS TWO SPADES THREE,0.6492,0.012,0.3388
DIAMONDS THREE DIAMONDS EIGHT,0.5844,0.0124,0.4032
SPADES EIGHT CLUBS TWO,0.634,0.013,0.353
DIAMONDS THREE DIAMONDS NINE,0.583,0.0128,0.4042
SPADES NINE CLUBS TWO,0.6302,0.0114,0.3584
DIAMONDS THREE DIAMONDS SIX,0.654,0.0492,0.2968
DIAMONDS THREE DIAMONDS SEVEN,0.5746,0.011,0.4144
CLUBS TWO SPADES SEVEN,0.6392,0.0162,0.3446
CLUBS SIX CLUBS TWO,0.6898,0.0506,0.2596
CLUBS SEVEN CLUBS TWO,0.5944,0.0116,0.394
CLUBS FOUR CLUBS TWO,0.6182,0.0112,0.3706
CLUBS FIVE CLUBS TWO,0.609,0.0122,0.3788
CLUBS JACK CLUBS TEN,0.5144,0.0088,0.4768
DIAMONDS FOUR DIAMONDS SIX,0.6318,0.0454,0.3228
DIAMONDS FOUR DIAMONDS SEVEN,0.5794,0.0116,0.409
CLUBS KING CLUBS TEN,0.3256,0.0072,0.6672
CLUBS ACE CLUBS TEN,0.3272,0.0036,0.6692
CLUBS EIGHT CLUBS TWO,0.5998,0.0122,0.388
DIAMONDS FIVE DIAMONDS FOUR,0.5812,0.0108,0.408
CLUBS NINE CLUBS TWO,0.6056,0.0116,0.3828
DIAMONDS NINE DIAMONDS FOUR,0.5984,0.0118,0.3898
DIAMONDS EIGHT DIAMONDS FOUR,0.5738,0.015,0.4112
CLUBS TWO CLUBS THREE,0.6188,0.0156,0.3656
DIAMONDS NINE DIAMONDS FIVE,0.5682,0.0122,0.4196
DIAMONDS TWO CLUBS JACK,0.6282,0.011,0.3608
DIAMONDS EIGHT DIAMONDS FIVE,0.5672,0.0104,0.4224
DIAMONDS TWO CLUBS TEN,0.636,0.0122,0.3518
DIAMONDS FIVE DIAMONDS SEVEN,0.5654,0.0128,0.4218
DIAMONDS FIVE DIAMONDS SIX,0.6184,0.0538,0.3278
DIAMONDS TWO CLUBS ACE,0.3998,0.0044,0.5958
DIAMONDS TWO CLUBS KING,0.4096,0.011,0.5794
DIAMONDS EIGHT DIAMONDS SIX,0.6342,0.0412,0.3246
DIAMONDS NINE DIAMONDS SIX,0.6426,0.0448,0.3126
HEARTS ACE SPADES THREE,0.4,0.0044,0.5956
HEARTS KING SPADES THREE,0.4056,0.0088,0.5856
DIAMONDS SEVEN DIAMONDS SIX,0.6262,0.0372,0.3366
SPADES THREE HEARTS QUEEN,0.3962,0.3832,0.2206
SPADES THREE HEARTS JACK,0.6242,0.011,0.3648
SPADES THREE HEARTS TEN,0.6316,0.0116,0.3568
DIAMONDS EIGHT DIAMONDS SEVEN,0.5242,0.0116,0.4642
DIAMONDS NINE DIAMONDS SEVEN,0.5366,0.01,0.4534
DIAMONDS NINE DIAMONDS EIGHT,0.5228,0.0112,0.466
DIAMONDS KING HEARTS TEN,0.3502,0.0046,0.6452
HEARTS THREE HEARTS TEN,0.5944,0.0098,0.3958
CLUBS SIX SPADES JACK,0.715,0.0568,0.2282
DIAMONDS KING HEARTS JACK,0.345,0.0064,0.6486
HEARTS THREE HEARTS JACK,0.59,0.011,0.399
CLUBS SIX SPADES TEN,0.7048,0.0512,0.244
SPADES JACK SPADES FIVE,0.5916,0.0126,0.3958
SPADES TEN SPADES FIVE,0.6006,0.013,0.3864
DIAMONDS KING HEARTS ACE,0.3266,0.0026,0.6708
HEARTS THREE HEARTS ACE,0.3756,0.0038,0.6206
SPADES ACE CLUBS SIX,0.2376,0.0294,0.733
DIAMONDS KING HEARTS QUEEN,0.236,0.0252,0.7388
HEARTS THREE HEARTS QUEEN,0.366,0.3618,0.2722
SPADES KING CLUBS SIX,0.2262,0.0384,0.7354
DIAMONDS KING HEARTS KING,0.1422,0.0012,0.8566
HEARTS THREE HEARTS KING,0.385,0.0062,0.6088
SPADES QUEEN CLUBS SIX,0.007,0.9816,0.0114
SPADES NINE HEARTS TEN,0.5412,0.01,0.4488
SPADES NINE HEARTS JACK,0.5568,0.0096,0.4336
SPADES QUEEN SPADES FIVE,0.3884,0.3602,0.2514
SPADES KING SPADES FIVE,0.3784,0.0086,0.613
SPADES ACE SPADES FIVE,0.3546,0.004,0.6414
SPADES NINE HEARTS QUEEN,0.2242,0.1736,0.6022
SPADES NINE HEARTS KING,0.35,0.0084,0.6416
SPADES NINE HEARTS ACE,0.3594,0.004,0.6366
SPADES JACK CLUBS TEN,0.5396,0.0102,0.4502
SPADES TEN CLUBS TEN,0.2888,0.0138,0.6974
SPADES ACE CLUBS TEN,0.3434,0.0052,0.6514
SPADES KING CLUBS TEN,0.345,0.0084,0.6466
SPADES QUEEN CLUBS TEN,0.2258,0.1192,0.655
SPADES FIVE HEARTS QUEEN,0.4036,0.3874,0.209
SPADES FIVE HEARTS KING,0.3908,0.0098,0.5994
SPADES FIVE HEARTS ACE,0.381,0.0036,0.6154
CLUBS EIGHT SPADES TEN,0.56,0.0122,0.4278
HEARTS THREE SPADES JACK,0.6178,0.013,0.3692
SPADES JACK DIAMONDS KING,0.34,0.006,0.654
SPADES TEN DIAMONDS KING,0.3416,0.0056,0.6528
HEARTS THREE SPADES TEN,0.6304,0.0118,0.3578
CLUBS EIGHT SPADES JACK,0.5688,0.0084,0.4228
SPADES ACE CLUBS EIGHT,0.3538,0.005,0.6412
HEARTS FIVE CLUBS JACK,0.626,0.011,0.363
CLUBS SIX HEARTS ACE,0.2382,0.0272,0.7346
HEARTS FIVE CLUBS TEN,0.6318,0.0128,0.3554
CLUBS EIGHT SPADES QUEEN,0.232,0.2228,0.5452
SPADES THREE CLUBS TEN,0.6362,0.0128,0.351
CLUBS SIX HEARTS QUEEN,0.0144,0.9754,0.0102
CLUBS EIGHT SPADES KING,0.3478,0.0088,0.6434
SPADES THREE CLUBS JACK,0.646,0.013,0.341
CLUBS SIX HEARTS KING,0.2348,0.038,0.7272
DIAMONDS TWO HEARTS JACK,0.6206,0.011,0.3684
DIAMONDS TWO HEARTS TEN,0.6372,0.0112,0.3516
SPADES THREE CLUBS KING,0.3912,0.01,0.5988
HEARTS FIVE CLUBS ACE,0.3782,0.005,0.6168
SPADES FIVE HEARTS TEN,0.6432,0.0128,0.344
SPADES THREE CLUBS ACE,0.3908,0.0056,0.6036
HEARTS FIVE CLUBS KING,0.3876,0.0056,0.6068
SPADES FIVE HEARTS JACK,0.6144,0.0114,0.3742
HEARTS THREE CLUBS KING,0.3932,0.007,0.5998
DIAMONDS KING CLUBS KING,0.1336,0.0044,0.862
HEARTS FIVE HEARTS JACK,0.5858,0.0084,0.4058
HEARTS FIVE HEARTS TEN,0.5906,0.0096,0.3998
HEARTS THREE CLUBS ACE,0.3892,0.0056,0.6052
DIAMONDS KING CLUBS ACE,0.3162,0.004,0.6798
HEARTS THREE CLUBS JACK,0.6276,0.0096,0.3628
DIAMONDS KING CLUBS JACK,0.3416,0.0056,0.6528
HEARTS THREE CLUBS TEN,0.6206,0.015,0.3644
DIAMONDS KING CLUBS TEN,0.355,0.0054,0.6396
CLUBS SIX CLUBS KING,0.2292,0.0336,0.7372
CLUBS SIX CLUBS ACE,0.2316,0.0278,0.7406
HEARTS FIVE HEARTS KING,0.3542,0.0068,0.639
HEARTS FIVE HEARTS QUEEN,0.3688,0.3612,0.27
CLUBS SIX CLUBS TEN,0.6732,0.0464,0.2804
HEARTS FIVE HEARTS ACE,0.3544,0.0032,0.6424
CLUBS SIX CLUBS JACK,0.6826,0.0456,0.2718
SPADES SEVEN HEARTS JACK,0.5752,0.0098,0.415
SPADES SEVEN HEARTS TEN,0.5844,0.0104,0.4052
DIAMONDS TWO CLUBS TWO,0.4294,0.028,0.5426
DIAMONDS TWO CLUBS THREE,0.6504,0.0152,0.3344
HEARTS SIX DIAMONDS TWO,0.7128,0.0548,0.2324
DIAMONDS TWO HEARTS QUEEN,0.3978,0.3734,0.2288
DIAMONDS TWO HEARTS SEVEN,0.6424,0.012,0.3456
DIAMONDS TWO HEARTS KING,0.4054,0.006,0.5886
DIAMONDS TWO HEARTS EIGHT,0.6258,0.013,0.3612
DIAMONDS TWO HEARTS ACE,0.3892,0.0046,0.6062
DIAMONDS TWO HEARTS NINE,0.635,0.0082,0.3568
DIAMONDS TWO DIAMONDS QUEEN,0.3802,0.349,0.2708
DIAMONDS TWO HEARTS TWO,0.4384,0.0316,0.53
DIAMONDS TWO DIAMONDS KING,0.3782,0.0058,0.616
HEARTS THREE DIAMONDS TWO,0.6484,0.0124,0.3392
DIAMONDS TWO DIAMONDS ACE,0.3692,0.0048,0.626
HEARTS FOUR DIAMONDS TWO,0.6512,0.014,0.3348
DIAMONDS TWO HEARTS FIVE,0.6306,0.0128,0.3566
SPADES SEVEN HEARTS ACE,0.3514,0.004,0.6446
DIAMONDS TWO DIAMONDS TEN,0.6,0.0114,0.3886
SPADES SEVEN HEARTS KING,0.358,0.0082,0.6338
DIAMONDS TWO DIAMONDS JACK,0.5848,0.013,0.4022
SPADES SEVEN HEARTS QUEEN,0.204,0.308,0.488
DIAMONDS TWO SPADES NINE,0.6284,0.0102,0.3614
DIAMONDS TWO SPADES EIGHT,0.6238,0.0116,0.3646
DIAMONDS TWO SPADES SEVEN,0.6464,0.0148,0.3388
DIAMONDS TWO SPADES FIVE,0.6494,0.0128,0.3378
DIAMONDS TWO SPADES FOUR,0.6456,0.0146,0.3398
DIAMONDS TWO SPADES THREE,0.6482,0.013,0.3388
DIAMONDS TWO SPADES TWO,0.4294,0.0276,0.543
CLUBS NINE DIAMONDS TWO,0.6354,0.0126,0.352
CLUBS EIGHT DIAMONDS TWO,0.64,0.0116,0.3484
DIAMONDS TWO CLUBS SEVEN,0.6462,0.0084,0.3454
CLUBS SIX DIAMONDS TWO,0.7128,0.0548,0.2324
DIAMONDS TWO CLUBS FIVE,0.6346,0.0136,0.3518
DIAMONDS TWO CLUBS FOUR,0.6438,0.0152,0.341
CLUBS FOUR SPADES FIVE,0.6168,0.0116,0.3716
CLUBS FOUR SPADES FOUR,0.4414,0.031,0.5276
CLUBS FOUR SPADES THREE,0.641,0.016,0.343
CLUBS FOUR SPADES TWO,0.648,0.0156,0.3364
CLUBS FOUR SPADES NINE,0.626,0.0124,0.3616
CLUBS FOUR SPADES EIGHT,0.6338,0.011,0.3552
CLUBS FOUR SPADES SEVEN,0.6092,0.0132,0.3776
SPADES ACE DIAMONDS SIX,0.2452,0.0314,0.7234
SPADES QUEEN DIAMONDS SIX,0.0108,0.9716,0.0176
SPADES KING DIAMONDS SIX,0.2186,0.042,0.7394
SPADES TEN DIAMONDS SIX,0.6962,0.0534,0.2504
SPADES JACK DIAMONDS SIX,0.7264,0.0448,0.2288
SPADES QUEEN SPADES TWO,0.3776,0.369,0.2534
SPADES KING SPADES TWO,0.3868,0.007,0.6062
SPADES ACE SPADES TWO,0.375,0.0058,0.6192
DIAMONDS JACK CLUBS JACK,0.2754,0.0088,0.7158
DIAMONDS JACK CLUBS TEN,0.536,0.009,0.455
DIAMONDS JACK CLUBS KING,0.3352,0.007,0.6578
DIAMONDS THREE DIAMONDS JACK,0.589,0.0106,0.4004
DIAMONDS THREE DIAMONDS TEN,0.5912,0.01,0.3988
DIAMONDS JACK CLUBS ACE,0.3496,0.0058,0.6446
DIAMONDS THREE DIAMONDS KING,0.3744,0.0052,0.6204
HEARTS THREE DIAMONDS THREE,0.4304,0.0304,0.5392
DIAMONDS THREE DIAMONDS QUEEN,0.3652,0.3632,0.2716
DIAMONDS THREE HEARTS TWO,0.6412,0.0128,0.346
HEARTS FIVE DIAMONDS THREE,0.628,0.0118,0.3602
DIAMONDS THREE DIAMONDS ACE,0.3752,0.0032,0.6216
HEARTS FOUR DIAMONDS THREE,0.6174,0.014,0.3686
DIAMONDS THREE HEARTS SEVEN,0.6316,0.0116,0.3568
SPADES TEN SPADES NINE,0.5234,0.0118,0.4648
HEARTS SIX DIAMONDS THREE,0.6816,0.0554,0.263
SPADES JACK SPADES NINE,0.5252,0.0114,0.4634
DIAMONDS THREE HEARTS NINE,0.6278,0.0102,0.362
HEARTS JACK DIAMONDS FOUR,0.6326,0.0122,0.3552
HEARTS KING HEARTS ACE,0.2898,0.0024,0.7078
SPADES TEN SPADES TWO,0.5902,0.0118,0.398
DIAMONDS THREE HEARTS EIGHT,0.639,0.0114,0.3496
HEARTS TEN DIAMONDS FOUR,0.6316,0.0108,0.3576
SPADES JACK SPADES TWO,0.6042,0.0122,0.3836
HEARTS QUEEN DIAMONDS FOUR,0.3952,0.3798,0.225
HEARTS KING DIAMONDS FOUR,0.3986,0.0076,0.5938
SPADES ACE SPADES NINE,0.3372,0.004,0.6588
HEARTS ACE DIAMONDS FOUR,0.3974,0.0042,0.5984
SPADES KING SPADES NINE,0.3324,0.0064,0.6612
SPADES QUEEN SPADES NINE,0.2258,0.1522,0.622
DIAMONDS THREE SPADES NINE,0.6358,0.0122,0.352
DIAMONDS THREE SPADES EIGHT,0.637,0.0138,0.3492
DIAMONDS THREE SPADES SEVEN,0.6286,0.0124,0.359
CLUBS SIX DIAMONDS THREE,0.6908,0.0486,0.2606
CLUBS ACE DIAMONDS FOUR,0.3838,0.0042,0.612
CLUBS SIX CLUBS FIVE,0.6422,0.051,0.3068
CLUBS SEVEN CLUBS FIVE,0.5684,0.0124,0.4192
CLUBS SEVEN DIAMONDS THREE,0.6202,0.012,0.3678
DIAMONDS THREE CLUBS FOUR,0.6248,0.0134,0.3618
DIAMONDS THREE CLUBS FIVE,0.6288,0.0116,0.3596
CLUBS KING DIAMONDS FOUR,0.3916,0.0088,0.5996
DIAMONDS THREE CLUBS TWO,0.6356,0.01,0.3544
DIAMONDS FOUR CLUBS TEN,0.6374,0.0096,0.353
DIAMONDS THREE CLUBS THREE,0.4292,0.0306,0.5402
DIAMONDS FOUR CLUBS JACK,0.631,0.0122,0.3568
DIAMONDS THREE SPADES FOUR,0.628,0.0136,0.3584
DIAMONDS THREE SPADES FIVE,0.632,0.0136,0.3544
DIAMONDS THREE SPADES TWO,0.6356,0.012,0.3524
DIAMONDS THREE SPADES THREE,0.4266,0.032,0.5414
CLUBS EIGHT DIAMONDS THREE,0.6396,0.0126,0.3478
CLUBS NINE DIAMONDS THREE,0.6446,0.0108,0.3446
SPADES SEVEN CLUBS ACE,0.3584,0.0034,0.6382
SPADES SEVEN CLUBS KING,0.3536,0.0062,0.6402
CLUBS FIVE SPADES SEVEN,0.6058,0.009,0.3852
SPADES SEVEN CLUBS TEN,0.5828,0.0116,0.4056
SPADES SEVEN CLUBS JACK,0.577,0.011,0.412
SPADES NINE CLUBS FIVE,0.6146,0.0106,0.3748
CLUBS FIVE SPADES EIGHT,0.613,0.014,0.373
CLUBS FIVE SPADES THREE,0.6342,0.0128,0.353
CLUBS FIVE SPADES TWO,0.6402,0.0122,0.3476
CLUBS FIVE SPADES FIVE,0.4148,0.028,0.5572
CLUBS FIVE SPADES FOUR,0.6232,0.0124,0.3644
CLUBS NINE CLUBS FIVE,0.5962,0.012,0.3918
CLUBS EIGHT CLUBS FIVE,0.5866,0.013,0.4004
DIAMONDS TEN DIAMONDS FOUR,0.584,0.011,0.405
DIAMONDS NINE CLUBS TEN,0.5444,0.0112,0.4444
DIAMONDS JACK DIAMONDS FOUR,0.5884,0.0096,0.402
DIAMONDS NINE CLUBS JACK,0.5552,0.0094,0.4354
SPADES NINE CLUBS JACK,0.553,0.0122,0.4348
SPADES NINE CLUBS TEN,0.5372,0.0122,0.4506
DIAMONDS ACE DIAMONDS FOUR,0.3648,0.0036,0.6316
HEARTS FOUR DIAMONDS FOUR,0.4208,0.0288,0.5504
DIAMONDS JACK HEARTS TEN,0.5382,0.0084,0.4534
SPADES NINE CLUBS KING,0.342,0.0044,0.6536
DIAMONDS TWO SPADES TEN,0.6196,0.0128,0.3676
DIAMONDS NINE CLUBS ACE,0.35,0.0022,0.6478
HEARTS FIVE DIAMONDS FOUR,0.6092,0.0102,0.3806
HEARTS JACK DIAMONDS JACK,0.2792,0.0118,0.709
DIAMONDS TWO SPADES JACK,0.6246,0.0148,0.3606
DIAMONDS QUEEN DIAMONDS FOUR,0.3678,0.3636,0.2686
HEARTS TWO DIAMONDS FOUR,0.643,0.0122,0.3448
DIAMONDS KING DIAMONDS FOUR,0.3742,0.006,0.6198
HEARTS THREE DIAMONDS FOUR,0.6188,0.016,0.3652
SPADES NINE CLUBS ACE,0.3478,0.004,0.6482
DIAMONDS NINE CLUBS KING,0.3588,0.006,0.6352
HEARTS ACE DIAMONDS JACK,0.344,0.0038,0.6522
SPADES ACE DIAMONDS TWO,0.3862,0.0062,0.6076
DIAMONDS JACK HEARTS QUEEN,0.2338,0.099,0.6672
SPADES QUEEN DIAMONDS TWO,0.391,0.3834,0.2256
HEARTS KING DIAMONDS JACK,0.3366,0.0048,0.6586
SPADES KING DIAMONDS TWO,0.4012,0.007,0.5918
SPADES JACK SPADES SEVEN,0.5526,0.0102,0.4372
SPADES TEN SPADES SEVEN,0.5488,0.0102,0.441
CLUBS SEVEN CLUBS THREE,0.5934,0.0112,0.3954
CLUBS SIX CLUBS THREE,0.6612,0.0556,0.2832
CLUBS FIVE CLUBS THREE,0.5966,0.015,0.3884
CLUBS FOUR CLUBS THREE,0.5914,0.0158,0.3928
CLUBS NINE CLUBS THREE,0.602,0.0114,0.3866
CLUBS EIGHT CLUBS THREE,0.6078,0.0142,0.378
CLUBS THREE SPADES FIVE,0.6198,0.0134,0.3668
CLUBS THREE SPADES FOUR,0.6254,0.0154,0.3592
CLUBS THREE SPADES THREE,0.4348,0.0282,0.537
CLUBS THREE SPADES TWO,0.6524,0.0128,0.3348
SPADES SEVEN CLUBS THREE,0.6168,0.013,0.3702
SPADES EIGHT CLUBS THREE,0.6276,0.0138,0.3586
SPADES NINE CLUBS THREE,0.6232,0.011,0.3658
SPADES TWO DIAMONDS FOUR,0.633,0.0134,0.3536
SPADES THREE DIAMONDS FOUR,0.6396,0.0122,0.3482
SPADES FOUR DIAMONDS FOUR,0.421,0.0282,0.5508
SPADES FIVE DIAMONDS FOUR,0.6122,0.0154,0.3724
SPADES SEVEN DIAMONDS FOUR,0.6104,0.0128,0.3768
SPADES EIGHT DIAMONDS FOUR,0.614,0.0154,0.3706
SPADES NINE DIAMONDS FOUR,0.6426,0.0112,0.3462
CLUBS FIVE DIAMONDS FOUR,0.6076,0.0144,0.378
CLUBS FOUR DIAMONDS FOUR,0.428,0.027,0.545
CLUBS SEVEN DIAMONDS FOUR,0.6202,0.0118,0.368
CLUBS SIX DIAMONDS FOUR,0.6816,0.0488,0.2696
CLUBS NINE DIAMONDS FOUR,0.6354,0.0114,0.3532
CLUBS EIGHT DIAMONDS FOUR,0.6222,0.0118,0.366
DIAMONDS FOUR HEARTS SEVEN,0.6164,0.0114,0.3722
HEARTS SIX DIAMONDS FOUR,0.6784,0.0444,0.2772
HEARTS NINE DIAMONDS FOUR,0.627,0.0114,0.3616
DIAMONDS FOUR HEARTS EIGHT,0.6242,0.014,0.3618
CLUBS THREE DIAMONDS FOUR,0.6262,0.0118,0.362
CLUBS TWO DIAMONDS FOUR,0.6414,0.0122,0.3464
DIAMONDS TEN DIAMONDS FIVE,0.5846,0.0108,0.4046
DIAMONDS JACK DIAMONDS FIVE,0.5804,0.0114,0.4082
DIAMONDS NINE HEARTS QUEEN,0.233,0.1638,0.6032
HEARTS KING DIAMONDS NINE,0.35,0.007,0.643
DIAMONDS NINE HEARTS ACE,0.356,0.0022,0.6418
DIAMONDS NINE HEARTS TEN,0.5474,0.009,0.4436
DIAMONDS NINE HEARTS JACK,0.5698,0.0078,0.4224
CLUBS KING DIAMONDS SIX,0.2344,0.0362,0.7294
CLUBS ACE DIAMONDS SIX,0.2342,0.0316,0.7342
SPADES KING DIAMONDS FOUR,0.3906,0.006,0.6034
SPADES ACE SPADES SEVEN,0.3288,0.0036,0.6676
SPADES QUEEN DIAMONDS FOUR,0.3902,0.3858,0.224
SPADES QUEEN SPADES SEVEN,0.2134,0.2968,0.4898
CLUBS JACK DIAMONDS SIX,0.7252,0.042,0.2328
SPADES KING SPADES SEVEN,0.346,0.006,0.648
SPADES ACE DIAMONDS FOUR,0.3846,0.004,0.6114
CLUBS TEN DIAMONDS SIX,0.7126,0.0434,0.244
CLUBS NINE CLUBS FOUR,0.607,0.0114,0.3816
CLUBS EIGHT CLUBS FOUR,0.6056,0.0126,0.3818
SPADES JACK DIAMONDS FOUR,0.6276,0.0144,0.358
SPADES TEN DIAMONDS FOUR,0.6256,0.0104,0.364
CLUBS FOUR CLUBS FIVE,0.5878,0.01,0.4022
CLUBS SEVEN CLUBS FOUR,0.5832,0.0144,0.4024
CLUBS SIX CLUBS FOUR,0.6588,0.05,0.2912
CLUBS SEVEN SPADES EIGHT,0.5656,0.015,0.4194
CLUBS SEVEN SPADES NINE,0.5794,0.0114,0.4092
CLUBS SEVEN SPADES SEVEN,0.3318,0.0272,0.641
CLUBS SEVEN SPADES FIVE,0.6112,0.0126,0.3762
CLUBS SEVEN SPADES FOUR,0.6178,0.013,0.3692
CLUBS SEVEN SPADES THREE,0.6438,0.0102,0.346
CLUBS SEVEN SPADES TWO,0.6452,0.013,0.3418
CLUBS NINE CLUBS SEVEN,0.5514,0.012,0.4366
CLUBS EIGHT CLUBS SEVEN,0.5386,0.014,0.4474
HEARTS SIX DIAMONDS FIVE,0.658,0.0478,0.2942
DIAMONDS FIVE HEARTS SEVEN,0.5966,0.015,0.3884
DIAMONDS FIVE HEARTS EIGHT,0.6036,0.0134,0.383
HEARTS NINE DIAMONDS FIVE,0.6154,0.0102,0.3744
DIAMONDS QUEEN DIAMONDS FIVE,0.372,0.3612,0.2668
HEARTS TWO DIAMONDS FIVE,0.6332,0.0116,0.3552
HEARTS KING HEARTS EIGHT,0.3332,0.005,0.6618
DIAMONDS KING DIAMONDS FIVE,0.3688,0.007,0.6242
HEARTS THREE DIAMONDS FIVE,0.622,0.013,0.365
