opposingHand,winningChance,drawChance,lostChance
SPADES SIX DIAMONDS JACK
HEARTS FIVE SPADES TEN,0.6204,0.0184,0.3612
HEARTS FIVE SPADES JACK,0.3906,0.3832,0.2262
SPADES FIVE CLUBS JACK,0.3912,0.3944,0.2144
CLUBS TEN SPADES FIVE,0.6264,0.0148,0.3588
CLUBS EIGHT CLUBS JACK,0.2134,0.2144,0.5722
CLUBS TEN CLUBS EIGHT,0.5318,0.015,0.4532
CLUBS EIGHT CLUBS KING,0.3396,0.0074,0.653
SPADES FIVE CLUBS ACE,0.392,0.0032,0.6048
CLUBS EIGHT CLUBS QUEEN,0.329,0.0108,0.6602
SPADES FIVE CLUBS KING,0.394,0.009,0.597
SPADES FIVE CLUBS QUEEN,0.3868,0.011,0.6022
CLUBS EIGHT CLUBS ACE,0.3262,0.0038,0.67
DIAMONDS TWO DIAMONDS THREE,0.5954,0.0198,0.3848
DIAMONDS TWO DIAMONDS FIVE,0.608,0.0182,0.3738
HEARTS FIVE SPADES KING,0.383,0.006,0.611
DIAMONDS TWO DIAMONDS FOUR,0.6102,0.0194,0.3704
HEARTS FIVE SPADES QUEEN,0.384,0.0116,0.6044
DIAMONDS TWO DIAMONDS SEVEN,0.6112,0.017,0.3718
DIAMONDS TWO DIAMONDS SIX,0.6674,0.0664,0.2662
SPADES ACE HEARTS FIVE,0.3768,0.0048,0.6184
DIAMONDS TWO DIAMONDS NINE,0.5888,0.0158,0.3954
DIAMONDS TWO DIAMONDS EIGHT,0.606,0.018,0.376
DIAMONDS THREE DIAMONDS FOUR,0.598,0.0172,0.3848
SPADES FOUR CLUBS TWO,0.6422,0.0218,0.336
DIAMONDS THREE DIAMONDS FIVE,0.5966,0.0172,0.3862
SPADES FIVE CLUBS TWO,0.633,0.0202,0.3468
CLUBS TWO SPADES TWO,0.4278,0.0516,0.5206
CLUBS TWO SPADES THREE,0.6458,0.0192,0.335
DIAMONDS THREE DIAMONDS EIGHT,0.5998,0.0158,0.3844
SPADES EIGHT CLUBS TWO,0.6178,0.018,0.3642
DIAMONDS THREE DIAMONDS NINE,0.6022,0.0198,0.378
SPADES NINE CLUBS TWO,0.614,0.0188,0.3672
DIAMONDS THREE DIAMONDS SIX,0.6638,0.06,0.2762
DIAMONDS THREE DIAMONDS SEVEN,0.5886,0.0164,0.395
SPADES SEVEN CLUBS TWO,0.619,0.0186,0.3624
CLUBS SIX CLUBS TWO,0.6624,0.0642,0.2734
CLUBS SEVEN CLUBS TWO,0.587,0.0202,0.3928
CLUBS FOUR CLUBS TWO,0.5846,0.0158,0.3996
CLUBS FIVE CLUBS TWO,0.591,0.0212,0.3878
CLUBS TEN CLUBS JACK,0.2148,0.1142,0.671
DIAMONDS FOUR DIAMONDS SIX,0.6438,0.0594,0.2968
CLUBS TEN CLUBS QUEEN,0.3068,0.0096,0.6836
DIAMONDS FOUR DIAMONDS SEVEN,0.581,0.019,0.4
CLUBS TEN CLUBS KING,0.3178,0.0064,0.6758
CLUBS TEN CLUBS ACE,0.3234,0.0038,0.6728
CLUBS EIGHT CLUBS TWO,0.5914,0.019,0.3896
DIAMONDS FIVE DIAMONDS FOUR,0.583,0.0186,0.3984
CLUBS NINE CLUBS TWO,0.5806,0.0162,0.4032
DIAMONDS NINE DIAMONDS FOUR,0.5902,0.0198,0.39
DIAMONDS EIGHT DIAMONDS FOUR,0.5802,0.019,0.4008
CLUBS THREE CLUBS TWO,0.5912,0.0174,0.3914
DIAMONDS NINE DIAMONDS FIVE,0.5904,0.0184,0.3912
DIAMONDS TWO CLUBS JACK,0.404,0.393,0.203
DIAMONDS EIGHT DIAMONDS FIVE,0.5626,0.0188,0.4186
CLUBS TEN DIAMONDS TWO,0.6196,0.0196,0.3608
DIAMONDS FIVE DIAMONDS SEVEN,0.5684,0.0212,0.4104
DIAMONDS FIVE DIAMONDS SIX,0.6222,0.0584,0.3194
DIAMONDS TWO CLUBS ACE,0.4082,0.0034,0.5884
DIAMONDS TWO CLUBS KING,0.4182,0.0072,0.5746
DIAMONDS TWO CLUBS QUEEN,0.3996,0.013,0.5874
DIAMONDS EIGHT DIAMONDS SIX,0.6366,0.0562,0.3072
DIAMONDS NINE DIAMONDS SIX,0.6584,0.0532,0.2884
HEARTS ACE SPADES THREE,0.3814,0.0076,0.611
SPADES THREE HEARTS KING,0.3982,0.0066,0.5952
DIAMONDS SEVEN DIAMONDS SIX,0.6392,0.0596,0.3012
SPADES THREE HEARTS QUEEN,0.3952,0.0116,0.5932
SPADES THREE HEARTS JACK,0.3908,0.3894,0.2198
SPADES THREE HEARTS TEN,0.6264,0.0168,0.3568
DIAMONDS EIGHT DIAMONDS SEVEN,0.5314,0.0174,0.4512
DIAMONDS NINE DIAMONDS SEVEN,0.5376,0.0164,0.446
DIAMONDS NINE DIAMONDS EIGHT,0.5378,0.0158,0.4464
DIAMONDS KING HEARTS TEN,0.35,0.0064,0.6436
HEARTS THREE HEARTS TEN,0.5808,0.0168,0.4024
SPADES JACK CLUBS SIX,0.01,0.9716,0.0184
DIAMONDS KING HEARTS JACK,0.2248,0.0298,0.7454
HEARTS THREE HEARTS JACK,0.3702,0.3632,0.2666
SPADES TEN CLUBS SIX,0.7004,0.0576,0.242
SPADES JACK SPADES FIVE,0.3756,0.3802,0.2442
SPADES TEN SPADES FIVE,0.5884,0.0164,0.3952
DIAMONDS KING HEARTS ACE,0.3222,0.0032,0.6746
HEARTS THREE HEARTS ACE,0.3578,0.0034,0.6388
SPADES ACE CLUBS SIX,0.227,0.0236,0.7494
DIAMONDS KING HEARTS QUEEN,0.3108,0.0062,0.683
HEARTS THREE HEARTS QUEEN,0.3652,0.0084,0.6264
SPADES KING CLUBS SIX,0.2406,0.0382,0.7212
DIAMONDS KING HEARTS KING,0.1344,0.006,0.8596
HEARTS THREE HEARTS KING,0.3614,0.0052,0.6334
SPADES QUEEN CLUBS SIX,0.2286,0.0438,0.7276
SPADES NINE HEARTS TEN,0.529,0.0128,0.4582
SPADES NINE HEARTS JACK,0.2206,0.1744,0.605
SPADES QUEEN SPADES FIVE,0.3712,0.0138,0.615
SPADES KING SPADES FIVE,0.3704,0.007,0.6226
SPADES ACE SPADES FIVE,0.3564,0.0058,0.6378
SPADES NINE HEARTS QUEEN,0.335,0.0126,0.6524
SPADES NINE HEARTS KING,0.3436,0.009,0.6474
SPADES NINE HEARTS ACE,0.3632,0.0032,0.6336
CLUBS TEN SPADES JACK,0.2134,0.1218,0.6648
CLUBS TEN SPADES TEN,0.2734,0.023,0.7036
SPADES ACE CLUBS TEN,0.3396,0.0048,0.6556
SPADES KING CLUBS TEN,0.3284,0.0068,0.6648
CLUBS TEN SPADES QUEEN,0.3168,0.0104,0.6728
SPADES FIVE HEARTS QUEEN,0.3842,0.0084,0.6074
SPADES FIVE HEARTS KING,0.398,0.0058,0.5962
SPADES FIVE HEARTS ACE,0.3796,0.0038,0.6166
CLUBS EIGHT SPADES TEN,0.5524,0.0166,0.431
SPADES JACK HEARTS THREE,0.3846,0.385,0.2304
SPADES JACK DIAMONDS KING,0.2158,0.0344,0.7498
SPADES TEN DIAMONDS KING,0.3186,0.0084,0.673
SPADES TEN HEARTS THREE,0.6294,0.0168,0.3538
SPADES JACK CLUBS EIGHT,0.223,0.223,0.554
CLUBS SIX HEARTS ACE,0.2428,0.0212,0.736
SPADES ACE CLUBS EIGHT,0.3474,0.004,0.6486
HEARTS FIVE CLUBS JACK,0.4024,0.3688,0.2288
HEARTS FIVE CLUBS TEN,0.6182,0.017,0.3648
CLUBS SIX HEARTS QUEEN,0.2354,0.05,0.7146
SPADES QUEEN CLUBS EIGHT,0.3474,0.011,0.6416
CLUBS TEN SPADES THREE,0.6194,0.0228,0.3578
CLUBS SIX HEARTS KING,0.2462,0.0328,0.721
SPADES KING CLUBS EIGHT,0.35,0.0082,0.6418
SPADES THREE CLUBS JACK,0.3874,0.3924,0.2202
DIAMONDS TWO HEARTS JACK,0.384,0.4012,0.2148
SPADES THREE CLUBS QUEEN,0.3876,0.0124,0.6
DIAMONDS TWO HEARTS TEN,0.6272,0.0144,0.3584
SPADES THREE CLUBS KING,0.4066,0.0072,0.5862
HEARTS FIVE CLUBS ACE,0.3884,0.003,0.6086
SPADES FIVE HEARTS TEN,0.627,0.0166,0.3564
SPADES THREE CLUBS ACE,0.3838,0.0046,0.6116
HEARTS FIVE CLUBS KING,0.3868,0.0064,0.6068
SPADES FIVE HEARTS JACK,0.3994,0.39,0.2106
HEARTS FIVE CLUBS QUEEN,0.3768,0.0102,0.613
HEARTS THREE CLUBS KING,0.405,0.0046,0.5904
DIAMONDS KING CLUBS KING,0.1322,0.0062,0.8616
HEARTS THREE CLUBS QUEEN,0.4,0.0092,0.5908
DIAMONDS KING CLUBS QUEEN,0.3076,0.0068,0.6856
HEARTS FIVE HEARTS JACK,0.36,0.3704,0.2696
HEARTS FIVE HEARTS TEN,0.5874,0.0172,0.3954
HEARTS THREE CLUBS ACE,0.371,0.005,0.624
DIAMONDS KING CLUBS ACE,0.3154,0.0034,0.6812
SPADES ACE CLUBS QUEEN,0.3124,0.0046,0.683
SPADES KING CLUBS QUEEN,0.3278,0.008,0.6642
HEARTS THREE CLUBS JACK,0.408,0.3816,0.2104
DIAMONDS KING CLUBS JACK,0.2242,0.0316,0.7442
SPADES QUEEN CLUBS QUEEN,0.1304,0.012,0.8576
CLUBS TEN HEARTS THREE,0.6136,0.015,0.3714
CLUBS TEN DIAMONDS KING,0.3262,0.007,0.6668
SPADES JACK CLUBS QUEEN,0.2242,0.0352,0.7406
CLUBS SIX CLUBS QUEEN,0.2336,0.0508,0.7156
SPADES TEN CLUBS QUEEN,0.3278,0.01,0.6622
CLUBS SIX CLUBS KING,0.2254,0.0312,0.7434
CLUBS SIX CLUBS ACE,0.2378,0.0242,0.738
HEARTS FIVE HEARTS KING,0.3662,0.0054,0.6284
HEARTS FIVE HEARTS QUEEN,0.3616,0.012,0.6264
CLUBS TEN CLUBS SIX,0.6454,0.0584,0.2962
HEARTS FIVE HEARTS ACE,0.3496,0.0024,0.648
CLUBS SIX CLUBS JACK,0.0218,0.9066,0.0716
SPADES SEVEN HEARTS JACK,0.2146,0.2996,0.4858
SPADES SEVEN HEARTS TEN,0.5662,0.0164,0.4174
DIAMONDS TWO CLUBS TWO,0.424,0.0444,0.5316
DIAMONDS TWO CLUBS THREE,0.6368,0.019,0.3442
DIAMONDS TWO HEARTS SIX,0.6904,0.0634,0.2462
DIAMONDS TWO HEARTS QUEEN,0.3988,0.01,0.5912
HEARTS SEVEN DIAMONDS TWO,0.6372,0.0234,0.3394
DIAMONDS TWO HEARTS KING,0.4002,0.0082,0.5916
DIAMONDS TWO HEARTS EIGHT,0.634,0.015,0.351
DIAMONDS TWO HEARTS ACE,0.39,0.0036,0.6064
DIAMONDS TWO HEARTS NINE,0.6214,0.017,0.3616
DIAMONDS TWO DIAMONDS QUEEN,0.3864,0.0134,0.6002
DIAMONDS TWO HEARTS TWO,0.4326,0.046,0.5214
DIAMONDS TWO DIAMONDS KING,0.3884,0.0086,0.603
DIAMONDS TWO HEARTS THREE,0.634,0.0234,0.3426
DIAMONDS TWO DIAMONDS ACE,0.3772,0.0056,0.6172
HEARTS FOUR DIAMONDS TWO,0.6332,0.0234,0.3434
HEARTS FIVE DIAMONDS TWO,0.613,0.0228,0.3642
SPADES SEVEN HEARTS ACE,0.34,0.0038,0.6562
DIAMONDS TWO DIAMONDS TEN,0.5914,0.018,0.3906
SPADES SEVEN HEARTS KING,0.3552,0.0042,0.6406
SPADES SEVEN HEARTS QUEEN,0.3608,0.013,0.6262
DIAMONDS TWO SPADES NINE,0.6168,0.016,0.3672
DIAMONDS TWO SPADES EIGHT,0.6258,0.02,0.3542
DIAMONDS TWO SPADES SEVEN,0.626,0.018,0.356
DIAMONDS TWO SPADES FIVE,0.6328,0.021,0.3462
DIAMONDS TWO SPADES FOUR,0.6328,0.0256,0.3416
DIAMONDS TWO SPADES THREE,0.6368,0.0212,0.342
DIAMONDS TWO SPADES TWO,0.4424,0.0482,0.5094
CLUBS NINE DIAMONDS TWO,0.6308,0.0178,0.3514
DIAMONDS TWO CLUBS EIGHT,0.6288,0.0208,0.3504
