opposingHand,winningChance,drawChance,lostChance
SPADES SIX DIAMONDS KING
HEARTS FIVE SPADES TEN,0.617,0.0082,0.3748
HEARTS FIVE SPADES JACK,0.6298,0.0062,0.364
SPADES FIVE CLUBS JACK,0.642,0.008,0.35
CLUBS TEN SPADES FIVE,0.645,0.007,0.348
CLUBS EIGHT CLUBS JACK,0.5262,0.005,0.4688
CLUBS TEN CLUBS EIGHT,0.5396,0.0054,0.455
CLUBS EIGHT CLUBS KING,0.2142,0.218,0.5678
SPADES FIVE CLUBS ACE,0.395,0.0026,0.6024
CLUBS EIGHT CLUBS QUEEN,0.5492,0.0084,0.4424
SPADES FIVE CLUBS KING,0.3872,0.3962,0.2166
SPADES FIVE CLUBS QUEEN,0.6398,0.0066,0.3536
CLUBS EIGHT CLUBS ACE,0.3434,0.0028,0.6538
DIAMONDS TWO DIAMONDS THREE,0.6176,0.0096,0.3728
DIAMONDS TWO DIAMONDS FIVE,0.6166,0.0086,0.3748
HEARTS FIVE SPADES KING,0.3874,0.3822,0.2304
DIAMONDS TWO DIAMONDS FOUR,0.6208,0.0086,0.3706
HEARTS FIVE SPADES QUEEN,0.6156,0.0066,0.3778
DIAMONDS TWO DIAMONDS SEVEN,0.609,0.0092,0.3818
DIAMONDS TWO DIAMONDS SIX,0.6958,0.0392,0.265
SPADES ACE HEARTS FIVE,0.373,0.0042,0.6228
DIAMONDS TWO DIAMONDS NINE,0.5984,0.0102,0.3914
DIAMONDS TWO DIAMONDS EIGHT,0.613,0.0102,0.3768
DIAMONDS THREE DIAMONDS FOUR,0.6048,0.0072,0.388
SPADES FOUR CLUBS TWO,0.649,0.0084,0.3426
DIAMONDS THREE DIAMONDS FIVE,0.6066,0.011,0.3824
SPADES FIVE CLUBS TWO,0.6528,0.01,0.3372
CLUBS TWO SPADES TWO,0.4504,0.018,0.5316
CLUBS TWO SPADES THREE,0.6532,0.0078,0.339
DIAMONDS THREE DIAMONDS EIGHT,0.6178,0.0068,0.3754
SPADES EIGHT CLUBS TWO,0.6298,0.0092,0.361
DIAMONDS THREE DIAMONDS NINE,0.617,0.0082,0.3748
SPADES NINE CLUBS TWO,0.6342,0.0044,0.3614
DIAMONDS THREE DIAMONDS SIX,0.6846,0.0394,0.276
DIAMONDS THREE DIAMONDS SEVEN,0.6086,0.0106,0.3808
SPADES SEVEN CLUBS TWO,0.6516,0.0088,0.3396
CLUBS SIX CLUBS TWO,0.6574,0.039,0.3036
CLUBS SEVEN CLUBS TWO,0.6086,0.0066,0.3848
CLUBS FOUR CLUBS TWO,0.6144,0.0086,0.377
CLUBS FIVE CLUBS TWO,0.594,0.0096,0.3964
CLUBS TEN CLUBS JACK,0.5044,0.0056,0.49
DIAMONDS FOUR DIAMONDS SIX,0.6586,0.0364,0.305
CLUBS TEN CLUBS QUEEN,0.52,0.0062,0.4738
DIAMONDS FOUR DIAMONDS SEVEN,0.5988,0.0066,0.3946
CLUBS TEN CLUBS KING,0.2172,0.1094,0.6734
CLUBS TEN CLUBS ACE,0.3248,0.0046,0.6706
CLUBS EIGHT CLUBS TWO,0.6076,0.0084,0.384
DIAMONDS FIVE DIAMONDS FOUR,0.5896,0.0082,0.4022
CLUBS NINE CLUBS TWO,0.5948,0.0092,0.396
DIAMONDS NINE DIAMONDS FOUR,0.5946,0.0054,0.4
DIAMONDS EIGHT DIAMONDS FOUR,0.6086,0.0088,0.3826
CLUBS THREE CLUBS TWO,0.5928,0.0094,0.3978
DIAMONDS NINE DIAMONDS FIVE,0.601,0.008,0.391
DIAMONDS TWO CLUBS JACK,0.644,0.0078,0.3482
DIAMONDS EIGHT DIAMONDS FIVE,0.5856,0.0074,0.407
CLUBS TEN DIAMONDS TWO,0.6288,0.007,0.3642
DIAMONDS FIVE DIAMONDS SEVEN,0.5854,0.007,0.4076
DIAMONDS FIVE DIAMONDS SIX,0.655,0.0386,0.3064
DIAMONDS TWO CLUBS ACE,0.3988,0.0036,0.5976
DIAMONDS TWO CLUBS KING,0.391,0.3856,0.2234
DIAMONDS TWO CLUBS QUEEN,0.6394,0.0064,0.3542
DIAMONDS EIGHT DIAMONDS SIX,0.664,0.0296,0.3064
DIAMONDS NINE DIAMONDS SIX,0.6776,0.0366,0.2858
HEARTS ACE SPADES THREE,0.3992,0.0042,0.5966
SPADES THREE HEARTS KING,0.3992,0.3794,0.2214
DIAMONDS SEVEN DIAMONDS SIX,0.6526,0.0322,0.3152
SPADES THREE HEARTS QUEEN,0.6432,0.0058,0.351
SPADES THREE HEARTS JACK,0.6432,0.0082,0.3486
SPADES THREE HEARTS TEN,0.6376,0.0064,0.356
DIAMONDS EIGHT DIAMONDS SEVEN,0.5336,0.0074,0.459
DIAMONDS NINE DIAMONDS SEVEN,0.554,0.0072,0.4388
DIAMONDS NINE DIAMONDS EIGHT,0.5484,0.007,0.4446
HEARTS THREE HEARTS TEN,0.5978,0.0074,0.3948
SPADES JACK CLUBS SIX,0.7104,0.041,0.2486
HEARTS THREE HEARTS JACK,0.5786,0.007,0.4144
SPADES TEN CLUBS SIX,0.7098,0.0324,0.2578
SPADES JACK SPADES FIVE,0.5936,0.007,0.3994
SPADES TEN SPADES FIVE,0.5906,0.007,0.4024
HEARTS THREE HEARTS ACE,0.3732,0.0038,0.623
SPADES ACE CLUBS SIX,0.2242,0.0308,0.745
HEARTS THREE HEARTS QUEEN,0.5758,0.0074,0.4168
SPADES KING CLUBS SIX,0.0126,0.9698,0.0176
HEARTS THREE HEARTS KING,0.3808,0.3424,0.2768
SPADES QUEEN CLUBS SIX,0.7304,0.0408,0.2288
SPADES NINE HEARTS TEN,0.5526,0.0054,0.442
SPADES NINE HEARTS JACK,0.548,0.0082,0.4438
SPADES QUEEN SPADES FIVE,0.5976,0.0064,0.396
SPADES KING SPADES FIVE,0.374,0.3652,0.2608
SPADES ACE SPADES FIVE,0.3718,0.0038,0.6244
SPADES NINE HEARTS QUEEN,0.581,0.0072,0.4118
SPADES NINE HEARTS KING,0.2366,0.1696,0.5938
SPADES NINE HEARTS ACE,0.3648,0.0056,0.6296
CLUBS TEN SPADES JACK,0.5422,0.0036,0.4542
CLUBS TEN SPADES TEN,0.3038,0.0074,0.6888
SPADES ACE CLUBS TEN,0.332,0.005,0.663
SPADES KING CLUBS TEN,0.2346,0.1156,0.6498
CLUBS TEN SPADES QUEEN,0.5494,0.0064,0.4442
SPADES FIVE HEARTS QUEEN,0.6368,0.0068,0.3564
SPADES FIVE HEARTS KING,0.3904,0.3786,0.231
SPADES FIVE HEARTS ACE,0.385,0.0038,0.6112
CLUBS EIGHT SPADES TEN,0.563,0.0068,0.4302
SPADES JACK HEARTS THREE,0.6116,0.009,0.3794
SPADES TEN HEARTS THREE,0.6244,0.0066,0.369
SPADES JACK CLUBS EIGHT,0.5752,0.006,0.4188
CLUBS SIX HEARTS ACE,0.245,0.0278,0.7272
SPADES ACE CLUBS EIGHT,0.357,0.0054,0.6376
HEARTS FIVE CLUBS JACK,0.6276,0.0056,0.3668
HEARTS FIVE CLUBS TEN,0.6346,0.006,0.3594
CLUBS SIX HEARTS QUEEN,0.7114,0.0364,0.2522
SPADES QUEEN CLUBS EIGHT,0.5868,0.0056,0.4076
CLUBS TEN SPADES THREE,0.627,0.0062,0.3668
CLUBS SIX HEARTS KING,0.0236,0.955,0.0214
SPADES KING CLUBS EIGHT,0.228,0.2204,0.5516
SPADES THREE CLUBS JACK,0.6302,0.0096,0.3602
DIAMONDS TWO HEARTS JACK,0.6306,0.0066,0.3628
SPADES THREE CLUBS QUEEN,0.6396,0.0062,0.3542
DIAMONDS TWO HEARTS TEN,0.6324,0.0072,0.3604
SPADES THREE CLUBS KING,0.4092,0.3654,0.2254
HEARTS FIVE CLUBS ACE,0.3746,0.004,0.6214
SPADES FIVE HEARTS TEN,0.636,0.008,0.356
SPADES THREE CLUBS ACE,0.3964,0.0022,0.6014
HEARTS FIVE CLUBS KING,0.3812,0.3826,0.2362
SPADES FIVE HEARTS JACK,0.643,0.0068,0.3502
HEARTS FIVE CLUBS QUEEN,0.6334,0.0056,0.361
HEARTS THREE CLUBS KING,0.3832,0.3888,0.228
HEARTS THREE CLUBS QUEEN,0.6336,0.0058,0.3606
HEARTS FIVE HEARTS JACK,0.5836,0.0092,0.4072
HEARTS FIVE HEARTS TEN,0.576,0.0074,0.4166
HEARTS THREE CLUBS ACE,0.3812,0.004,0.6148
SPADES ACE CLUBS QUEEN,0.3474,0.0044,0.6482
SPADES KING CLUBS QUEEN,0.2416,0.0596,0.6988
HEARTS THREE CLUBS JACK,0.6208,0.01,0.3692
SPADES QUEEN CLUBS QUEEN,0.287,0.004,0.709
CLUBS TEN HEARTS THREE,0.6288,0.0062,0.365
SPADES JACK CLUBS QUEEN,0.5664,0.0056,0.428
CLUBS SIX CLUBS QUEEN,0.6826,0.043,0.2744
SPADES TEN CLUBS QUEEN,0.5662,0.0068,0.427
CLUBS SIX CLUBS KING,0.0244,0.9056,0.07
CLUBS SIX CLUBS ACE,0.2062,0.0286,0.7652
HEARTS FIVE HEARTS KING,0.3622,0.3544,0.2834
HEARTS FIVE HEARTS QUEEN,0.591,0.0082,0.4008
CLUBS TEN CLUBS SIX,0.6734,0.0358,0.2908
HEARTS FIVE HEARTS ACE,0.3632,0.0032,0.6336
CLUBS SIX CLUBS JACK,0.6852,0.0354,0.2794
SPADES SEVEN HEARTS JACK,0.5874,0.0056,0.407
SPADES SEVEN HEARTS TEN,0.5722,0.0082,0.4196
DIAMONDS TWO CLUBS TWO,0.457,0.0148,0.5282
DIAMONDS TWO CLUBS THREE,0.6512,0.0084,0.3404
DIAMONDS TWO HEARTS SIX,0.733,0.0438,0.2232
DIAMONDS TWO HEARTS QUEEN,0.6342,0.0066,0.3592
HEARTS SEVEN DIAMONDS TWO,0.6498,0.0072,0.343
DIAMONDS TWO HEARTS KING,0.3958,0.3782,0.226
DIAMONDS TWO HEARTS EIGHT,0.6478,0.007,0.3452
DIAMONDS TWO HEARTS ACE,0.3842,0.0042,0.6116
DIAMONDS TWO HEARTS NINE,0.63,0.0088,0.3612
DIAMONDS TWO DIAMONDS QUEEN,0.6024,0.0084,0.3892
DIAMONDS TWO HEARTS TWO,0.4616,0.0166,0.5218
DIAMONDS TWO HEARTS THREE,0.643,0.01,0.347
DIAMONDS TWO DIAMONDS ACE,0.3672,0.0062,0.6266
