opposingHand,winningChance,drawChance,lostChance
SPADES SIX DIAMONDS SEVEN
HEARTS FIVE SPADES TEN,0.4148,0.0284,0.5568
HEARTS FIVE SPADES JACK,0.4212,0.0178,0.561
SPADES FIVE CLUBS JACK,0.4324,0.0176,0.55
CLUBS TEN SPADES FIVE,0.4286,0.0322,0.5392
CLUBS EIGHT CLUBS JACK,0.3362,0.0152,0.6486
CLUBS TEN CLUBS EIGHT,0.3324,0.0222,0.6454
CLUBS EIGHT CLUBS KING,0.3546,0.0064,0.639
SPADES FIVE CLUBS ACE,0.422,0.0046,0.5734
CLUBS EIGHT CLUBS QUEEN,0.3522,0.009,0.6388
SPADES FIVE CLUBS KING,0.432,0.006,0.562
SPADES FIVE CLUBS QUEEN,0.432,0.0084,0.5596
CLUBS EIGHT CLUBS ACE,0.3422,0.0042,0.6536
DIAMONDS TWO DIAMONDS THREE,0.5504,0.0972,0.3524
DIAMONDS TWO DIAMONDS FIVE,0.5694,0.0978,0.3328
HEARTS FIVE SPADES KING,0.415,0.0066,0.5784
DIAMONDS TWO DIAMONDS FOUR,0.5546,0.0894,0.356
HEARTS FIVE SPADES QUEEN,0.4124,0.0116,0.576
DIAMONDS TWO DIAMONDS SIX,0.569,0.1878,0.2432
SPADES ACE HEARTS FIVE,0.4106,0.003,0.5864
DIAMONDS TWO DIAMONDS NINE,0.4274,0.0446,0.528
DIAMONDS TWO DIAMONDS EIGHT,0.4144,0.0628,0.5228
DIAMONDS THREE DIAMONDS FOUR,0.5546,0.0912,0.3542
SPADES FOUR CLUBS TWO,0.5872,0.0988,0.314
DIAMONDS THREE DIAMONDS FIVE,0.5586,0.0922,0.3492
SPADES FIVE CLUBS TWO,0.5914,0.0902,0.3184
CLUBS TWO SPADES TWO,0.4066,0.1074,0.486
CLUBS TWO SPADES THREE,0.5956,0.0962,0.3082
DIAMONDS THREE DIAMONDS EIGHT,0.3984,0.0632,0.5384
SPADES EIGHT CLUBS TWO,0.4348,0.0614,0.5038
DIAMONDS THREE DIAMONDS NINE,0.4196,0.0398,0.5406
SPADES NINE CLUBS TWO,0.4232,0.0422,0.5346
DIAMONDS THREE DIAMONDS SIX,0.5426,0.192,0.2654
