opposingHand,winningChance,drawChance,lostChance
SPADES SIX DIAMONDS TEN
HEARTS FIVE SPADES TEN,0.4084,0.3728,0.2188
HEARTS FIVE SPADES JACK,0.3938,0.019,0.5872
SPADES FIVE CLUBS JACK,0.4032,0.0178,0.579
CLUBS TEN SPADES FIVE,0.4076,0.3744,0.218
CLUBS EIGHT CLUBS JACK,0.3212,0.017,0.6618
CLUBS TEN CLUBS EIGHT,0.2106,0.212,0.5774
CLUBS EIGHT CLUBS KING,0.3434,0.0066,0.65
SPADES FIVE CLUBS ACE,0.4018,0.0052,0.593
CLUBS EIGHT CLUBS QUEEN,0.3258,0.012,0.6622
SPADES FIVE CLUBS KING,0.4142,0.0064,0.5794
SPADES FIVE CLUBS QUEEN,0.3906,0.0108,0.5986
CLUBS EIGHT CLUBS ACE,0.3554,0.003,0.6416
DIAMONDS TWO DIAMONDS THREE,0.6136,0.0274,0.359
DIAMONDS TWO DIAMONDS FIVE,0.6064,0.0302,0.3634
HEARTS FIVE SPADES KING,0.3962,0.0074,0.5964
DIAMONDS TWO DIAMONDS FOUR,0.6044,0.035,0.3606
HEARTS FIVE SPADES QUEEN,0.3916,0.0098,0.5986
DIAMONDS TWO DIAMONDS SEVEN,0.6036,0.0296,0.3668
DIAMONDS TWO DIAMONDS SIX,0.658,0.082,0.26
SPADES ACE HEARTS FIVE,0.3984,0.0036,0.598
DIAMONDS TWO DIAMONDS NINE,0.6026,0.0274,0.37
DIAMONDS TWO DIAMONDS EIGHT,0.598,0.028,0.374
DIAMONDS THREE DIAMONDS FOUR,0.6018,0.0258,0.3724
SPADES FOUR CLUBS TWO,0.6404,0.0276,0.332
DIAMONDS THREE DIAMONDS FIVE,0.5798,0.0306,0.3896
SPADES FIVE CLUBS TWO,0.6346,0.028,0.3374
CLUBS TWO SPADES TWO,0.4234,0.0636,0.513
CLUBS TWO SPADES THREE,0.6262,0.0288,0.345
DIAMONDS THREE DIAMONDS EIGHT,0.6094,0.0266,0.364
SPADES EIGHT CLUBS TWO,0.6276,0.0302,0.3422
DIAMONDS THREE DIAMONDS NINE,0.5986,0.0252,0.3762
SPADES NINE CLUBS TWO,0.6402,0.0248,0.335
DIAMONDS THREE DIAMONDS SIX,0.636,0.0822,0.2818
DIAMONDS THREE DIAMONDS SEVEN,0.5882,0.0296,0.3822
SPADES SEVEN CLUBS TWO,0.6336,0.0264,0.34
CLUBS SIX CLUBS TWO,0.6306,0.0762,0.2932
CLUBS SEVEN CLUBS TWO,0.5866,0.0234,0.39
CLUBS FOUR CLUBS TWO,0.589,0.0256,0.3854
CLUBS FIVE CLUBS TWO,0.5824,0.0298,0.3878
CLUBS TEN CLUBS JACK,0.2064,0.0562,0.7374
DIAMONDS FOUR DIAMONDS SIX,0.6196,0.0768,0.3036
CLUBS TEN CLUBS QUEEN,0.2358,0.0394,0.7248
DIAMONDS FOUR DIAMONDS SEVEN,0.5816,0.0214,0.397
CLUBS TEN CLUBS KING,0.2184,0.0346,0.747
CLUBS TEN CLUBS ACE,0.2346,0.0228,0.7426
CLUBS EIGHT CLUBS TWO,0.6044,0.0224,0.3732
DIAMONDS FIVE DIAMONDS FOUR,0.5714,0.0266,0.402
CLUBS NINE CLUBS TWO,0.5948,0.0234,0.3818
DIAMONDS NINE DIAMONDS FOUR,0.5918,0.0284,0.3798
DIAMONDS EIGHT DIAMONDS FOUR,0.6034,0.0244,0.3722
CLUBS THREE CLUBS TWO,0.5848,0.0276,0.3876
DIAMONDS NINE DIAMONDS FIVE,0.5876,0.0252,0.3872
DIAMONDS TWO CLUBS JACK,0.4208,0.018,0.5612
DIAMONDS EIGHT DIAMONDS FIVE,0.5794,0.026,0.3946
CLUBS TEN DIAMONDS TWO,0.41,0.3712,0.2188
DIAMONDS FIVE DIAMONDS SEVEN,0.5626,0.0328,0.4046
DIAMONDS FIVE DIAMONDS SIX,0.621,0.082,0.297
DIAMONDS TWO CLUBS ACE,0.409,0.0048,0.5862
DIAMONDS TWO CLUBS KING,0.4158,0.0056,0.5786
DIAMONDS TWO CLUBS QUEEN,0.4058,0.0132,0.581
DIAMONDS EIGHT DIAMONDS SIX,0.6258,0.0836,0.2906
DIAMONDS NINE DIAMONDS SIX,0.6408,0.082,0.2772
HEARTS ACE SPADES THREE,0.4118,0.0038,0.5844
SPADES THREE HEARTS KING,0.423,0.0078,0.5692
DIAMONDS SEVEN DIAMONDS SIX,0.6196,0.07,0.3104
SPADES THREE HEARTS QUEEN,0.4092,0.0144,0.5764
SPADES THREE HEARTS JACK,0.417,0.0174,0.5656
SPADES THREE HEARTS TEN,0.4066,0.3776,0.2158
DIAMONDS EIGHT DIAMONDS SEVEN,0.525,0.0284,0.4466
DIAMONDS NINE DIAMONDS SEVEN,0.5568,0.0254,0.4178
DIAMONDS NINE DIAMONDS EIGHT,0.5308,0.0248,0.4444
DIAMONDS KING HEARTS TEN,0.2328,0.0352,0.732
HEARTS THREE HEARTS TEN,0.3848,0.351,0.2642
SPADES JACK CLUBS SIX,0.2516,0.0612,0.6872
DIAMONDS KING HEARTS JACK,0.3204,0.0068,0.6728
HEARTS THREE HEARTS JACK,0.3832,0.0154,0.6014
SPADES TEN CLUBS SIX,0.012,0.969,0.019
SPADES JACK SPADES FIVE,0.3728,0.015,0.6122
SPADES TEN SPADES FIVE,0.3844,0.3582,0.2574
DIAMONDS KING HEARTS ACE,0.3302,0.0032,0.6666
HEARTS THREE HEARTS ACE,0.3778,0.0026,0.6196
SPADES ACE CLUBS SIX,0.243,0.0248,0.7322
DIAMONDS KING HEARTS QUEEN,0.323,0.0066,0.6704
HEARTS THREE HEARTS QUEEN,0.3876,0.0104,0.602
SPADES KING CLUBS SIX,0.2472,0.0388,0.714
DIAMONDS KING HEARTS KING,0.1462,0.0114,0.8424
HEARTS THREE HEARTS KING,0.3784,0.0066,0.615
SPADES QUEEN CLUBS SIX,0.245,0.0504,0.7046
SPADES NINE HEARTS TEN,0.2238,0.1724,0.6038
SPADES NINE HEARTS JACK,0.3336,0.014,0.6524
SPADES QUEEN SPADES FIVE,0.3974,0.012,0.5906
SPADES KING SPADES FIVE,0.3776,0.0068,0.6156
SPADES ACE SPADES FIVE,0.3832,0.0036,0.6132
SPADES NINE HEARTS QUEEN,0.3486,0.011,0.6404
SPADES NINE HEARTS KING,0.3582,0.0082,0.6336
SPADES NINE HEARTS ACE,0.371,0.003,0.626
CLUBS TEN SPADES JACK,0.2136,0.0538,0.7326
CLUBS TEN SPADES TEN,0.0898,0.0558,0.8544
SPADES ACE CLUBS TEN,0.2318,0.0218,0.7464
SPADES KING CLUBS TEN,0.2458,0.0314,0.7228
CLUBS TEN SPADES QUEEN,0.2344,0.0444,0.7212
SPADES FIVE HEARTS QUEEN,0.4032,0.0144,0.5824
SPADES FIVE HEARTS KING,0.4038,0.0072,0.589
SPADES FIVE HEARTS ACE,0.4042,0.006,0.5898
CLUBS EIGHT SPADES TEN,0.2124,0.2294,0.5582
SPADES JACK HEARTS THREE,0.3972,0.0188,0.584
SPADES JACK DIAMONDS KING,0.3204,0.0086,0.671
SPADES TEN DIAMONDS KING,0.2372,0.0342,0.7286
SPADES TEN HEARTS THREE,0.3986,0.3794,0.222
SPADES JACK CLUBS EIGHT,0.3528,0.0184,0.6288
CLUBS SIX HEARTS ACE,0.2616,0.0238,0.7146
SPADES ACE CLUBS EIGHT,0.3666,0.0036,0.6298
HEARTS FIVE CLUBS JACK,0.3906,0.0168,0.5926
HEARTS FIVE CLUBS TEN,0.3982,0.3766,0.2252
CLUBS SIX HEARTS QUEEN,0.2494,0.0466,0.704
SPADES QUEEN CLUBS EIGHT,0.3594,0.0118,0.6288
