opposingHand,winningChance,drawChance,lostChance
SPADES SIX HEARTS ACE
HEARTS FIVE SPADES TEN,0.6364,0.0048,0.3588
SPADES JACK HEARTS FIVE,0.6368,0.006,0.3572
SPADES FIVE CLUBS JACK,0.6286,0.0042,0.3672
CLUBS TEN SPADES FIVE,0.638,0.0034,0.3586
CLUBS EIGHT CLUBS JACK,0.5414,0.004,0.4546
CLUBS TEN CLUBS EIGHT,0.545,0.0024,0.4526
CLUBS EIGHT CLUBS KING,0.5624,0.0044,0.4332
SPADES FIVE CLUBS ACE,0.3706,0.3918,0.2376
CLUBS EIGHT CLUBS QUEEN,0.556,0.0024,0.4416
SPADES FIVE CLUBS KING,0.634,0.0038,0.3622
SPADES FIVE CLUBS QUEEN,0.6328,0.0036,0.3636
CLUBS EIGHT CLUBS ACE,0.21,0.2148,0.5752
DIAMONDS TWO DIAMONDS THREE,0.617,0.0066,0.3764
DIAMONDS TWO DIAMONDS FIVE,0.6048,0.0042,0.391
SPADES KING HEARTS FIVE,0.6386,0.0058,0.3556
DIAMONDS TWO DIAMONDS FOUR,0.6076,0.006,0.3864
SPADES QUEEN HEARTS FIVE,0.632,0.0036,0.3644
DIAMONDS TWO DIAMONDS SEVEN,0.5988,0.0058,0.3954
DIAMONDS TWO DIAMONDS SIX,0.6914,0.03,0.2786
SPADES ACE HEARTS FIVE,0.3684,0.3942,0.2374
DIAMONDS TWO DIAMONDS NINE,0.6002,0.0042,0.3956
DIAMONDS TWO DIAMONDS EIGHT,0.6038,0.0042,0.392
DIAMONDS THREE DIAMONDS FOUR,0.5978,0.0036,0.3986
SPADES FOUR CLUBS TWO,0.6576,0.0058,0.3366
DIAMONDS THREE DIAMONDS FIVE,0.6062,0.0058,0.388
SPADES FIVE CLUBS TWO,0.6536,0.0062,0.3402
CLUBS TWO SPADES TWO,0.4628,0.0058,0.5314
CLUBS TWO SPADES THREE,0.6378,0.0048,0.3574
DIAMONDS THREE DIAMONDS EIGHT,0.602,0.004,0.394
SPADES EIGHT CLUBS TWO,0.6272,0.006,0.3668
DIAMONDS THREE DIAMONDS NINE,0.5966,0.0032,0.4002
SPADES NINE CLUBS TWO,0.64,0.0046,0.3554
DIAMONDS THREE DIAMONDS SIX,0.6876,0.0272,0.2852
DIAMONDS THREE DIAMONDS SEVEN,0.5998,0.0042,0.396
SPADES SEVEN CLUBS TWO,0.6394,0.0064,0.3542
CLUBS SIX CLUBS TWO,0.6902,0.03,0.2798
CLUBS SEVEN CLUBS TWO,0.6112,0.0038,0.385
CLUBS FOUR CLUBS TWO,0.62,0.0056,0.3744
CLUBS FIVE CLUBS TWO,0.6118,0.006,0.3822
CLUBS TEN CLUBS JACK,0.5108,0.006,0.4832
DIAMONDS FOUR DIAMONDS SIX,0.6582,0.0298,0.312
CLUBS TEN CLUBS QUEEN,0.5266,0.0028,0.4706
DIAMONDS FOUR DIAMONDS SEVEN,0.5844,0.0036,0.412
CLUBS TEN CLUBS KING,0.539,0.0038,0.4572
CLUBS TEN CLUBS ACE,0.225,0.1092,0.6658
CLUBS EIGHT CLUBS TWO,0.6036,0.0056,0.3908
DIAMONDS FIVE DIAMONDS FOUR,0.564,0.0042,0.4318
CLUBS NINE CLUBS TWO,0.5858,0.0048,0.4094
DIAMONDS NINE DIAMONDS FOUR,0.6044,0.0042,0.3914
DIAMONDS EIGHT DIAMONDS FOUR,0.5988,0.0034,0.3978
CLUBS THREE CLUBS TWO,0.6052,0.0042,0.3906
DIAMONDS NINE DIAMONDS FIVE,0.5882,0.0034,0.4084
DIAMONDS TWO CLUBS JACK,0.6426,0.0038,0.3536
DIAMONDS EIGHT DIAMONDS FIVE,0.5716,0.0034,0.425
CLUBS TEN DIAMONDS TWO,0.6316,0.004,0.3644
DIAMONDS FIVE DIAMONDS SEVEN,0.5744,0.0044,0.4212
DIAMONDS FIVE DIAMONDS SIX,0.6574,0.0232,0.3194
DIAMONDS TWO CLUBS ACE,0.3804,0.375,0.2446
DIAMONDS TWO CLUBS KING,0.6326,0.0056,0.3618
DIAMONDS TWO CLUBS QUEEN,0.6332,0.0048,0.362
DIAMONDS EIGHT DIAMONDS SIX,0.6574,0.0192,0.3234
DIAMONDS NINE DIAMONDS SIX,0.6698,0.0212,0.309
HEARTS KING SPADES THREE,0.6502,0.0042,0.3456
DIAMONDS SEVEN DIAMONDS SIX,0.6384,0.021,0.3406
SPADES THREE HEARTS QUEEN,0.6494,0.006,0.3446
SPADES THREE HEARTS JACK,0.6482,0.0056,0.3462
SPADES THREE HEARTS TEN,0.6398,0.0048,0.3554
DIAMONDS EIGHT DIAMONDS SEVEN,0.539,0.0044,0.4566
DIAMONDS NINE DIAMONDS SEVEN,0.5388,0.004,0.4572
DIAMONDS NINE DIAMONDS EIGHT,0.5312,0.0042,0.4646
DIAMONDS KING HEARTS TEN,0.569,0.003,0.428
HEARTS THREE HEARTS TEN,0.6156,0.0062,0.3782
SPADES JACK CLUBS SIX,0.7366,0.0242,0.2392
DIAMONDS KING HEARTS JACK,0.5726,0.0062,0.4212
HEARTS THREE HEARTS JACK,0.6,0.0054,0.3946
SPADES TEN CLUBS SIX,0.7142,0.029,0.2568
SPADES JACK SPADES FIVE,0.5958,0.0048,0.3994
SPADES TEN SPADES FIVE,0.6054,0.0046,0.39
SPADES ACE CLUBS SIX,0.0096,0.9732,0.0172
DIAMONDS KING HEARTS QUEEN,0.5726,0.004,0.4234
HEARTS THREE HEARTS QUEEN,0.6074,0.0062,0.3864
SPADES KING CLUBS SIX,0.7352,0.0332,0.2316
DIAMONDS KING HEARTS KING,0.289,0.0038,0.7072
HEARTS THREE HEARTS KING,0.5936,0.0034,0.403
SPADES QUEEN CLUBS SIX,0.722,0.0276,0.2504
SPADES NINE HEARTS TEN,0.5618,0.005,0.4332
SPADES NINE HEARTS JACK,0.5718,0.0042,0.424
SPADES QUEEN SPADES FIVE,0.5916,0.0048,0.4036
SPADES KING SPADES FIVE,0.6124,0.0038,0.3838
SPADES ACE SPADES FIVE,0.3592,0.3672,0.2736
SPADES NINE HEARTS QUEEN,0.568,0.0038,0.4282
SPADES NINE HEARTS KING,0.5842,0.005,0.4108
CLUBS TEN SPADES JACK,0.552,0.0046,0.4434
CLUBS TEN SPADES TEN,0.3146,0.0022,0.6832
SPADES ACE CLUBS TEN,0.2312,0.1108,0.658
SPADES KING CLUBS TEN,0.5592,0.0036,0.4372
CLUBS TEN SPADES QUEEN,0.568,0.003,0.429
SPADES FIVE HEARTS QUEEN,0.643,0.0044,0.3526
SPADES FIVE HEARTS KING,0.6304,0.0042,0.3654
CLUBS EIGHT SPADES TEN,0.5786,0.004,0.4174
HEARTS THREE SPADES JACK,0.6374,0.0062,0.3564
SPADES JACK DIAMONDS KING,0.5726,0.0028,0.4246
SPADES TEN DIAMONDS KING,0.5726,0.0042,0.4232
HEARTS THREE SPADES TEN,0.6214,0.006,0.3726
SPADES JACK CLUBS EIGHT,0.5824,0.0034,0.4142
SPADES ACE CLUBS EIGHT,0.2138,0.2262,0.56
HEARTS FIVE CLUBS JACK,0.6394,0.0038,0.3568
CLUBS TEN HEARTS FIVE,0.659,0.0038,0.3372
CLUBS SIX HEARTS QUEEN,0.7324,0.0284,0.2392
SPADES QUEEN CLUBS EIGHT,0.5874,0.003,0.4096
CLUBS TEN SPADES THREE,0.6386,0.0026,0.3588
CLUBS SIX HEARTS KING,0.7466,0.0274,0.226
SPADES KING CLUBS EIGHT,0.6006,0.0024,0.397
SPADES THREE CLUBS JACK,0.6342,0.006,0.3598
DIAMONDS TWO HEARTS JACK,0.6326,0.005,0.3624
SPADES THREE CLUBS QUEEN,0.6284,0.005,0.3666
DIAMONDS TWO HEARTS TEN,0.6318,0.0034,0.3648
SPADES THREE CLUBS KING,0.645,0.0054,0.3496
HEARTS FIVE CLUBS ACE,0.3732,0.3804,0.2464
SPADES FIVE HEARTS TEN,0.6494,0.0052,0.3454
