opposingHand,winningChance,drawChance,lostChance
SPADES SIX SPADES FIVE
HEARTS FIVE SPADES TEN,0.3196,0.075,0.6054
SPADES JACK HEARTS FIVE,0.317,0.0564,0.6266
CLUBS EIGHT CLUBS JACK,0.393,0.0166,0.5904
CLUBS EIGHT CLUBS TEN,0.3754,0.0314,0.5932
CLUBS EIGHT CLUBS KING,0.4008,0.0076,0.5916
CLUBS EIGHT CLUBS QUEEN,0.3868,0.0124,0.6008
CLUBS EIGHT CLUBS ACE,0.391,0.0064,0.6026
DIAMONDS TWO DIAMONDS THREE,0.528,0.1376,0.3344
DIAMONDS TWO DIAMONDS FIVE,0.4876,0.2338,0.2786
SPADES KING HEARTS FIVE,0.3222,0.0344,0.6434
DIAMONDS TWO DIAMONDS FOUR,0.52,0.135,0.345
SPADES QUEEN HEARTS FIVE,0.3118,0.046,0.6422
DIAMONDS TWO DIAMONDS SEVEN,0.4342,0.095,0.4708
DIAMONDS TWO DIAMONDS SIX,0.374,0.3796,0.2464
SPADES ACE HEARTS FIVE,0.2928,0.026,0.6812
DIAMONDS TWO DIAMONDS NINE,0.4316,0.0434,0.525
DIAMONDS TWO DIAMONDS EIGHT,0.4564,0.0584,0.4852
DIAMONDS THREE DIAMONDS FOUR,0.5328,0.1342,0.333
CLUBS TWO SPADES FOUR,0.5592,0.149,0.2918
DIAMONDS THREE DIAMONDS FIVE,0.4958,0.2356,0.2686
CLUBS TWO SPADES TWO,0.3992,0.1276,0.4732
CLUBS TWO SPADES THREE,0.5488,0.1434,0.3078
DIAMONDS THREE DIAMONDS EIGHT,0.4192,0.0596,0.5212
SPADES EIGHT CLUBS TWO,0.4708,0.0618,0.4674
DIAMONDS THREE DIAMONDS NINE,0.4324,0.0352,0.5324
SPADES NINE CLUBS TWO,0.4468,0.0524,0.5008
DIAMONDS THREE DIAMONDS SIX,0.3624,0.3946,0.243
DIAMONDS THREE DIAMONDS SEVEN,0.4222,0.0918,0.486
CLUBS TWO SPADES SEVEN,0.4578,0.0982,0.444
CLUBS SIX CLUBS TWO,0.3624,0.391,0.2466
CLUBS SEVEN CLUBS TWO,0.4448,0.0888,0.4664
CLUBS FOUR CLUBS TWO,0.522,0.137,0.341
CLUBS FIVE CLUBS TWO,0.489,0.2452,0.2658
CLUBS JACK CLUBS TEN,0.3598,0.0128,0.6274
DIAMONDS FOUR DIAMONDS SIX,0.326,0.4126,0.2614
CLUBS QUEEN CLUBS TEN,0.3786,0.0102,0.6112
DIAMONDS FOUR DIAMONDS SEVEN,0.418,0.0888,0.4932
CLUBS KING CLUBS TEN,0.3804,0.007,0.6126
CLUBS ACE CLUBS TEN,0.373,0.003,0.624
CLUBS EIGHT CLUBS TWO,0.4338,0.0662,0.5
DIAMONDS FIVE DIAMONDS FOUR,0.4746,0.2398,0.2856
CLUBS NINE CLUBS TWO,0.4368,0.0388,0.5244
DIAMONDS NINE DIAMONDS FOUR,0.4358,0.0376,0.5266
DIAMONDS EIGHT DIAMONDS FOUR,0.422,0.0576,0.5204
CLUBS TWO CLUBS THREE,0.5352,0.1366,0.3282
DIAMONDS NINE DIAMONDS FIVE,0.3054,0.0972,0.5974
DIAMONDS TWO CLUBS JACK,0.4666,0.0182,0.5152
DIAMONDS EIGHT DIAMONDS FIVE,0.296,0.1312,0.5728
DIAMONDS TWO CLUBS TEN,0.4746,0.0292,0.4962
