opposingHand,winningChance,drawChance,lostChance
SPADES TEN HEARTS ACE
SPADES JACK HEARTS FIVE,0.6618,0.0048,0.3334
SPADES FIVE CLUBS JACK,0.6394,0.0048,0.3558
CLUBS TEN SPADES FIVE,0.7462,0.028,0.2258
CLUBS EIGHT CLUBS JACK,0.5844,0.0038,0.4118
CLUBS TEN CLUBS EIGHT,0.6702,0.0224,0.3074
CLUBS EIGHT CLUBS KING,0.6138,0.0026,0.3836
SPADES FIVE CLUBS ACE,0.6446,0.1188,0.2366
CLUBS EIGHT CLUBS QUEEN,0.5994,0.0048,0.3958
SPADES FIVE CLUBS KING,0.6334,0.0052,0.3614
SPADES FIVE CLUBS QUEEN,0.6506,0.0034,0.346
CLUBS EIGHT CLUBS ACE,0.6006,0.1162,0.2832
DIAMONDS TWO DIAMONDS THREE,0.6248,0.0046,0.3706
DIAMONDS TWO DIAMONDS FIVE,0.6048,0.0024,0.3928
SPADES KING HEARTS FIVE,0.6456,0.0058,0.3486
DIAMONDS TWO DIAMONDS FOUR,0.6162,0.0068,0.377
SPADES QUEEN HEARTS FIVE,0.6414,0.005,0.3536
DIAMONDS TWO DIAMONDS SEVEN,0.6346,0.004,0.3614
DIAMONDS TWO DIAMONDS SIX,0.6308,0.0032,0.366
SPADES ACE HEARTS FIVE,0.635,0.1214,0.2436
DIAMONDS TWO DIAMONDS NINE,0.6214,0.0054,0.3732
DIAMONDS TWO DIAMONDS EIGHT,0.6426,0.0036,0.3538
DIAMONDS THREE DIAMONDS FOUR,0.6096,0.0042,0.3862
SPADES FOUR CLUBS TWO,0.66,0.0056,0.3344
DIAMONDS THREE DIAMONDS FIVE,0.607,0.0044,0.3886
SPADES FIVE CLUBS TWO,0.6608,0.0058,0.3334
CLUBS TWO SPADES TWO,0.4774,0.0062,0.5164
CLUBS TWO SPADES THREE,0.6644,0.0052,0.3304
DIAMONDS THREE DIAMONDS EIGHT,0.6252,0.0046,0.3702
SPADES EIGHT CLUBS TWO,0.684,0.0052,0.3108
DIAMONDS THREE DIAMONDS NINE,0.6302,0.0028,0.367
SPADES NINE CLUBS TWO,0.6842,0.0056,0.3102
DIAMONDS THREE DIAMONDS SIX,0.6146,0.0036,0.3818
SPADES SIX CLUBS TWO,0.6714,0.0046,0.324
DIAMONDS THREE DIAMONDS SEVEN,0.6222,0.005,0.3728
SPADES SEVEN CLUBS TWO,0.6818,0.005,0.3132
CLUBS SIX CLUBS TWO,0.6362,0.004,0.3598
CLUBS SEVEN CLUBS TWO,0.6318,0.0026,0.3656
CLUBS FOUR CLUBS TWO,0.6072,0.0042,0.3886
CLUBS FIVE CLUBS TWO,0.615,0.0024,0.3826
CLUBS TEN CLUBS JACK,0.6552,0.0164,0.3284
DIAMONDS FOUR DIAMONDS SIX,0.6118,0.0026,0.3856
CLUBS TEN CLUBS QUEEN,0.6708,0.0188,0.3104
DIAMONDS FOUR DIAMONDS SEVEN,0.62,0.0034,0.3766
CLUBS TEN CLUBS KING,0.6756,0.0192,0.3052
CLUBS TEN CLUBS ACE,0.0198,0.9068,0.0734
CLUBS EIGHT CLUBS TWO,0.6348,0.0048,0.3604
DIAMONDS FIVE DIAMONDS FOUR,0.584,0.005,0.411
CLUBS NINE CLUBS TWO,0.6212,0.0036,0.3752
DIAMONDS NINE DIAMONDS FOUR,0.6236,0.0044,0.372
DIAMONDS EIGHT DIAMONDS FOUR,0.6318,0.0044,0.3638
CLUBS THREE CLUBS TWO,0.6064,0.005,0.3886
DIAMONDS NINE DIAMONDS FIVE,0.616,0.0054,0.3786
DIAMONDS TWO CLUBS JACK,0.665,0.0036,0.3314
DIAMONDS EIGHT DIAMONDS FIVE,0.605,0.0026,0.3924
CLUBS TEN DIAMONDS TWO,0.7578,0.0258,0.2164
DIAMONDS FIVE DIAMONDS SEVEN,0.591,0.0036,0.4054
DIAMONDS FIVE DIAMONDS SIX,0.5836,0.0026,0.4138
DIAMONDS TWO CLUBS ACE,0.6332,0.1218,0.245
DIAMONDS TWO CLUBS KING,0.6742,0.0036,0.3222
DIAMONDS TWO CLUBS QUEEN,0.6656,0.0052,0.3292
DIAMONDS EIGHT DIAMONDS SIX,0.5884,0.0038,0.4078
DIAMONDS NINE DIAMONDS SIX,0.621,0.003,0.376
HEARTS KING SPADES THREE,0.6586,0.0068,0.3346
DIAMONDS SEVEN DIAMONDS SIX,0.5792,0.0038,0.417
SPADES THREE HEARTS QUEEN,0.6494,0.0042,0.3464
SPADES THREE HEARTS JACK,0.6664,0.0054,0.3282
SPADES THREE HEARTS TEN,0.7656,0.027,0.2074
DIAMONDS EIGHT DIAMONDS SEVEN,0.5804,0.004,0.4156
DIAMONDS NINE DIAMONDS SEVEN,0.6018,0.0044,0.3938
DIAMONDS NINE DIAMONDS EIGHT,0.59,0.003,0.407
DIAMONDS KING HEARTS TEN,0.7298,0.0202,0.25
HEARTS THREE HEARTS TEN,0.7114,0.0256,0.263
SPADES JACK CLUBS SIX,0.6478,0.0052,0.347
DIAMONDS KING HEARTS JACK,0.6044,0.006,0.3896
HEARTS THREE HEARTS JACK,0.6154,0.0052,0.3794
SPADES JACK SPADES FIVE,0.6236,0.0042,0.3722
SPADES ACE CLUBS SIX,0.6502,0.1128,0.237
DIAMONDS KING HEARTS QUEEN,0.603,0.0042,0.3928
HEARTS THREE HEARTS QUEEN,0.6294,0.0048,0.3658
SPADES KING CLUBS SIX,0.6578,0.0028,0.3394
DIAMONDS KING HEARTS KING,0.2912,0.0042,0.7046
HEARTS THREE HEARTS KING,0.6216,0.0066,0.3718
SPADES QUEEN CLUBS SIX,0.6492,0.0044,0.3464
SPADES NINE HEARTS TEN,0.7148,0.0228,0.2624
SPADES NINE HEARTS JACK,0.629,0.007,0.364
SPADES QUEEN SPADES FIVE,0.6272,0.0052,0.3676
SPADES KING SPADES FIVE,0.6026,0.0046,0.3928
SPADES ACE SPADES FIVE,0.5972,0.1156,0.2872
SPADES NINE HEARTS QUEEN,0.6294,0.0054,0.3652
SPADES NINE HEARTS KING,0.6362,0.0054,0.3584
CLUBS TEN SPADES JACK,0.6942,0.0194,0.2864
SPADES ACE CLUBS TEN,0.0132,0.9702,0.0166
SPADES KING CLUBS TEN,0.729,0.0228,0.2482
CLUBS TEN SPADES QUEEN,0.7116,0.0176,0.2708
SPADES FIVE HEARTS QUEEN,0.6526,0.005,0.3424
SPADES FIVE HEARTS KING,0.66,0.005,0.335
HEARTS THREE SPADES JACK,0.6458,0.0046,0.3496
SPADES JACK DIAMONDS KING,0.5934,0.0048,0.4018
SPADES JACK CLUBS EIGHT,0.6312,0.0046,0.3642
SPADES ACE CLUBS EIGHT,0.6508,0.112,0.2372
HEARTS FIVE CLUBS JACK,0.6508,0.0046,0.3446
CLUBS TEN HEARTS FIVE,0.7636,0.021,0.2154
CLUBS SIX HEARTS QUEEN,0.6538,0.004,0.3422
SPADES QUEEN CLUBS EIGHT,0.6372,0.004,0.3588
CLUBS TEN SPADES THREE,0.75,0.0296,0.2204
CLUBS SIX HEARTS KING,0.657,0.0038,0.3392
SPADES KING CLUBS EIGHT,0.6464,0.0032,0.3504
SPADES THREE CLUBS JACK,0.649,0.0042,0.3468
DIAMONDS TWO HEARTS JACK,0.653,0.0048,0.3422
SPADES THREE CLUBS QUEEN,0.6556,0.0036,0.3408
DIAMONDS TWO HEARTS TEN,0.7562,0.025,0.2188
SPADES THREE CLUBS KING,0.6412,0.0048,0.354
HEARTS FIVE CLUBS ACE,0.6348,0.124,0.2412
SPADES FIVE HEARTS TEN,0.7654,0.0268,0.2078
SPADES THREE CLUBS ACE,0.641,0.1242,0.2348
HEARTS FIVE CLUBS KING,0.6486,0.0056,0.3458
SPADES FIVE HEARTS JACK,0.653,0.0062,0.3408
HEARTS FIVE CLUBS QUEEN,0.6414,0.0048,0.3538
HEARTS THREE CLUBS KING,0.6538,0.003,0.3432
DIAMONDS KING CLUBS KING,0.2984,0.0036,0.698
