opposingHand,winningChance,drawChance,lostChance
SPADES TEN HEARTS FOUR
HEARTS FIVE SPADES JACK,0.3596,0.0188,0.6216
SPADES FIVE CLUBS JACK,0.3618,0.0174,0.6208
CLUBS TEN SPADES FIVE,0.227,0.4632,0.3098
CLUBS EIGHT CLUBS JACK,0.3278,0.0154,0.6568
CLUBS TEN CLUBS EIGHT,0.2148,0.2112,0.574
CLUBS EIGHT CLUBS KING,0.3578,0.0062,0.636
SPADES FIVE CLUBS ACE,0.3512,0.005,0.6438
CLUBS EIGHT CLUBS QUEEN,0.3272,0.0122,0.6606
SPADES FIVE CLUBS KING,0.3556,0.011,0.6334
SPADES FIVE CLUBS QUEEN,0.3768,0.0126,0.6106
CLUBS EIGHT CLUBS ACE,0.3328,0.0036,0.6636
DIAMONDS TWO DIAMONDS THREE,0.589,0.0286,0.3824
DIAMONDS TWO DIAMONDS FIVE,0.5564,0.0302,0.4134
HEARTS FIVE SPADES KING,0.3502,0.0088,0.641
DIAMONDS TWO DIAMONDS FOUR,0.613,0.0848,0.3022
HEARTS FIVE SPADES QUEEN,0.3544,0.0134,0.6322
DIAMONDS TWO DIAMONDS SEVEN,0.5932,0.0284,0.3784
DIAMONDS TWO DIAMONDS SIX,0.5638,0.0274,0.4088
SPADES ACE HEARTS FIVE,0.34,0.006,0.654
DIAMONDS TWO DIAMONDS NINE,0.5818,0.0284,0.3898
DIAMONDS TWO DIAMONDS EIGHT,0.571,0.029,0.4
DIAMONDS THREE DIAMONDS FOUR,0.6138,0.0708,0.3154
SPADES FOUR CLUBS TWO,0.662,0.0814,0.2566
DIAMONDS THREE DIAMONDS FIVE,0.5466,0.0266,0.4268
SPADES FIVE CLUBS TWO,0.608,0.0272,0.3648
CLUBS TWO SPADES TWO,0.3906,0.073,0.5364
CLUBS TWO SPADES THREE,0.6242,0.03,0.3458
DIAMONDS THREE DIAMONDS EIGHT,0.5762,0.0248,0.399
SPADES EIGHT CLUBS TWO,0.6166,0.0348,0.3486
DIAMONDS THREE DIAMONDS NINE,0.5638,0.025,0.4112
SPADES NINE CLUBS TWO,0.623,0.026,0.351
DIAMONDS THREE DIAMONDS SIX,0.5682,0.0318,0.4
SPADES SIX CLUBS TWO,0.6162,0.031,0.3528
DIAMONDS THREE DIAMONDS SEVEN,0.5786,0.0278,0.3936
SPADES SEVEN CLUBS TWO,0.626,0.0302,0.3438
CLUBS SIX CLUBS TWO,0.5808,0.0284,0.3908
CLUBS SEVEN CLUBS TWO,0.5892,0.0272,0.3836
CLUBS FOUR CLUBS TWO,0.6174,0.0752,0.3074
CLUBS FIVE CLUBS TWO,0.5536,0.025,0.4214
CLUBS TEN CLUBS JACK,0.2088,0.0562,0.735
DIAMONDS FOUR DIAMONDS SIX,0.604,0.0782,0.3178
CLUBS TEN CLUBS QUEEN,0.2192,0.041,0.7398
DIAMONDS FOUR DIAMONDS SEVEN,0.6256,0.077,0.2974
CLUBS TEN CLUBS KING,0.2128,0.036,0.7512
CLUBS TEN CLUBS ACE,0.2098,0.0256,0.7646
CLUBS EIGHT CLUBS TWO,0.5644,0.027,0.4086
DIAMONDS FIVE DIAMONDS FOUR,0.5852,0.0814,0.3334
CLUBS NINE CLUBS TWO,0.5776,0.024,0.3984
DIAMONDS NINE DIAMONDS FOUR,0.637,0.0786,0.2844
DIAMONDS EIGHT DIAMONDS FOUR,0.6332,0.0688,0.298
CLUBS THREE CLUBS TWO,0.5912,0.0254,0.3834
DIAMONDS NINE DIAMONDS FIVE,0.5372,0.0268,0.436
DIAMONDS TWO CLUBS JACK,0.3986,0.0204,0.581
DIAMONDS EIGHT DIAMONDS FIVE,0.53,0.0306,0.4394
CLUBS TEN DIAMONDS TWO,0.2662,0.5102,0.2236
DIAMONDS FIVE DIAMONDS SEVEN,0.5196,0.0344,0.446
DIAMONDS FIVE DIAMONDS SIX,0.512,0.03,0.458
DIAMONDS TWO CLUBS ACE,0.3888,0.0046,0.6066
DIAMONDS TWO CLUBS KING,0.4002,0.0076,0.5922
DIAMONDS TWO CLUBS QUEEN,0.3906,0.0108,0.5986
DIAMONDS EIGHT DIAMONDS SIX,0.5218,0.0272,0.451
DIAMONDS NINE DIAMONDS SIX,0.522,0.0234,0.4546
HEARTS ACE SPADES THREE,0.3828,0.0054,0.6118
