opposingHand,winningChance,drawChance,lostChance
SPADES TEN HEARTS TEN
SPADES JACK HEARTS FIVE,0.7054,0.0226,0.272
SPADES FIVE CLUBS JACK,0.7058,0.0244,0.2698
CLUBS TEN SPADES FIVE,0.8542,0.0612,0.0846
CLUBS EIGHT CLUBS JACK,0.6496,0.0262,0.3242
CLUBS TEN CLUBS EIGHT,0.7792,0.0506,0.1702
CLUBS EIGHT CLUBS KING,0.647,0.0068,0.3462
SPADES FIVE CLUBS ACE,0.6748,0.0032,0.322
CLUBS EIGHT CLUBS QUEEN,0.6618,0.0138,0.3244
SPADES FIVE CLUBS KING,0.7042,0.0098,0.286
SPADES FIVE CLUBS QUEEN,0.7,0.011,0.289
CLUBS EIGHT CLUBS ACE,0.6436,0.0022,0.3542
DIAMONDS TWO DIAMONDS THREE,0.7462,0.0696,0.1842
DIAMONDS TWO DIAMONDS FIVE,0.737,0.0684,0.1946
SPADES KING HEARTS FIVE,0.6896,0.0112,0.2992
DIAMONDS TWO DIAMONDS FOUR,0.7446,0.0648,0.1906
SPADES QUEEN HEARTS FIVE,0.7046,0.0142,0.2812
DIAMONDS TWO DIAMONDS SEVEN,0.777,0.0554,0.1676
DIAMONDS TWO DIAMONDS SIX,0.759,0.061,0.18
SPADES ACE HEARTS FIVE,0.6666,0.0052,0.3282
DIAMONDS TWO DIAMONDS NINE,0.7796,0.0406,0.1798
DIAMONDS TWO DIAMONDS EIGHT,0.7716,0.0498,0.1786
DIAMONDS THREE DIAMONDS FOUR,0.7254,0.068,0.2066
SPADES FOUR CLUBS TWO,0.7994,0.0674,0.1332
DIAMONDS THREE DIAMONDS FIVE,0.7222,0.0636,0.2142
SPADES FIVE CLUBS TWO,0.792,0.0652,0.1428
CLUBS TWO SPADES TWO,0.6944,0.129,0.1766
CLUBS TWO SPADES THREE,0.7896,0.0638,0.1466
DIAMONDS THREE DIAMONDS EIGHT,0.7628,0.0536,0.1836
SPADES EIGHT CLUBS TWO,0.8096,0.0524,0.138
DIAMONDS THREE DIAMONDS NINE,0.7716,0.0372,0.1912
SPADES NINE CLUBS TWO,0.8314,0.0374,0.1312
DIAMONDS THREE DIAMONDS SIX,0.7412,0.0572,0.2016
SPADES SIX CLUBS TWO,0.8086,0.0644,0.127
DIAMONDS THREE DIAMONDS SEVEN,0.7498,0.0546,0.1956
SPADES SEVEN CLUBS TWO,0.8166,0.0552,0.1282
CLUBS SIX CLUBS TWO,0.758,0.057,0.185
CLUBS SEVEN CLUBS TWO,0.7742,0.0562,0.1696
CLUBS FOUR CLUBS TWO,0.743,0.0652,0.1918
CLUBS FIVE CLUBS TWO,0.74,0.0658,0.1942
CLUBS TEN CLUBS JACK,0.601,0.0312,0.3678
DIAMONDS FOUR DIAMONDS SIX,0.727,0.065,0.208
CLUBS TEN CLUBS QUEEN,0.6136,0.0242,0.3622
DIAMONDS FOUR DIAMONDS SEVEN,0.7498,0.0534,0.1968
CLUBS TEN CLUBS KING,0.6364,0.0212,0.3424
CLUBS TEN CLUBS ACE,0.6314,0.0222,0.3464
CLUBS EIGHT CLUBS TWO,0.7624,0.0506,0.187
DIAMONDS FIVE DIAMONDS FOUR,0.7016,0.069,0.2294
CLUBS NINE CLUBS TWO,0.7814,0.0378,0.1808
DIAMONDS NINE DIAMONDS FOUR,0.7786,0.0366,0.1848
DIAMONDS EIGHT DIAMONDS FOUR,0.7524,0.0416,0.206
CLUBS THREE CLUBS TWO,0.7446,0.0664,0.189
DIAMONDS NINE DIAMONDS FIVE,0.762,0.0376,0.2004
DIAMONDS TWO CLUBS JACK,0.6912,0.0234,0.2854
DIAMONDS EIGHT DIAMONDS FIVE,0.7404,0.0458,0.2138
CLUBS TEN DIAMONDS TWO,0.8766,0.049,0.0744
DIAMONDS FIVE DIAMONDS SEVEN,0.7266,0.0534,0.22
DIAMONDS FIVE DIAMONDS SIX,0.7126,0.063,0.2244
DIAMONDS TWO CLUBS ACE,0.6706,0.0038,0.3256
DIAMONDS TWO CLUBS KING,0.7034,0.0082,0.2884
DIAMONDS TWO CLUBS QUEEN,0.7016,0.0136,0.2848
DIAMONDS EIGHT DIAMONDS SIX,0.7402,0.0446,0.2152
DIAMONDS NINE DIAMONDS SIX,0.7506,0.0334,0.216
HEARTS ACE SPADES THREE,0.6736,0.004,0.3224
SPADES THREE HEARTS KING,0.6932,0.0116,0.2952
DIAMONDS SEVEN DIAMONDS SIX,0.7204,0.0574,0.2222
SPADES THREE HEARTS QUEEN,0.6954,0.0134,0.2912
SPADES THREE HEARTS JACK,0.7036,0.0222,0.2742
DIAMONDS EIGHT DIAMONDS SEVEN,0.7404,0.048,0.2116
DIAMONDS NINE DIAMONDS SEVEN,0.7544,0.0378,0.2078
DIAMONDS NINE DIAMONDS EIGHT,0.7586,0.0406,0.2008
SPADES JACK CLUBS SIX,0.7036,0.0178,0.2786
DIAMONDS KING HEARTS JACK,0.5596,0.0052,0.4352
HEARTS THREE HEARTS JACK,0.6762,0.023,0.3008
SPADES JACK SPADES FIVE,0.6722,0.0274,0.3004
DIAMONDS KING HEARTS ACE,0.5434,0.0032,0.4534
HEARTS THREE HEARTS ACE,0.6458,0.004,0.3502
SPADES ACE CLUBS SIX,0.6756,0.002,0.3224
DIAMONDS KING HEARTS QUEEN,0.5576,0.0046,0.4378
HEARTS THREE HEARTS QUEEN,0.6624,0.0156,0.322
SPADES KING CLUBS SIX,0.683,0.0064,0.3106
DIAMONDS KING HEARTS KING,0.1842,0.034,0.7818
HEARTS THREE HEARTS KING,0.6684,0.0082,0.3234
SPADES QUEEN CLUBS SIX,0.6934,0.0174,0.2892
SPADES NINE HEARTS JACK,0.7016,0.023,0.2754
SPADES QUEEN SPADES FIVE,0.6742,0.0142,0.3116
SPADES KING SPADES FIVE,0.6528,0.0102,0.337
SPADES ACE SPADES FIVE,0.6292,0.0028,0.368
SPADES NINE HEARTS QUEEN,0.6872,0.015,0.2978
SPADES NINE HEARTS KING,0.7028,0.0094,0.2878
SPADES NINE HEARTS ACE,0.683,0.0034,0.3136
CLUBS TEN SPADES JACK,0.624,0.0316,0.3444
SPADES ACE CLUBS TEN,0.662,0.0212,0.3168
SPADES KING CLUBS TEN,0.6654,0.0208,0.3138
CLUBS TEN SPADES QUEEN,0.6468,0.0218,0.3314
SPADES FIVE HEARTS QUEEN,0.6966,0.0154,0.288
SPADES FIVE HEARTS KING,0.697,0.0088,0.2942
SPADES FIVE HEARTS ACE,0.6696,0.0048,0.3256
HEARTS THREE SPADES JACK,0.6976,0.027,0.2754
SPADES JACK DIAMONDS KING,0.5534,0.0056,0.441
SPADES JACK CLUBS EIGHT,0.6974,0.0222,0.2804
CLUBS SIX HEARTS ACE,0.6734,0.0036,0.323
SPADES ACE CLUBS EIGHT,0.6772,0.003,0.3198
HEARTS FIVE CLUBS JACK,0.7002,0.0214,0.2784
CLUBS TEN HEARTS FIVE,0.8682,0.057,0.0748
