opposingHand,winningChance,drawChance,lostChance
SPADES TEN SPADES EIGHT
SPADES JACK HEARTS FIVE,0.455,0.0144,0.5306
SPADES FIVE CLUBS JACK,0.4576,0.0164,0.526
SPADES FIVE CLUBS TEN,0.5602,0.2136,0.2262
CLUBS EIGHT CLUBS JACK,0.2846,0.0472,0.6682
CLUBS EIGHT CLUBS TEN,0.0714,0.8578,0.0708
CLUBS EIGHT CLUBS KING,0.2976,0.0306,0.6718
SPADES FIVE CLUBS ACE,0.4558,0.0046,0.5396
CLUBS EIGHT CLUBS QUEEN,0.296,0.0394,0.6646
SPADES FIVE CLUBS KING,0.4558,0.0096,0.5346
SPADES FIVE CLUBS QUEEN,0.4628,0.012,0.5252
CLUBS EIGHT CLUBS ACE,0.3032,0.0194,0.6774
DIAMONDS TWO DIAMONDS THREE,0.6084,0.0282,0.3634
DIAMONDS TWO DIAMONDS FIVE,0.6294,0.0218,0.3488
SPADES KING HEARTS FIVE,0.4552,0.0084,0.5364
DIAMONDS TWO DIAMONDS FOUR,0.621,0.023,0.356
SPADES QUEEN HEARTS FIVE,0.4532,0.0124,0.5344
DIAMONDS TWO DIAMONDS SEVEN,0.6416,0.0248,0.3336
DIAMONDS TWO DIAMONDS SIX,0.6306,0.0256,0.3438
SPADES ACE HEARTS FIVE,0.4428,0.006,0.5512
DIAMONDS TWO DIAMONDS NINE,0.6204,0.0242,0.3554
DIAMONDS TWO DIAMONDS EIGHT,0.6652,0.0768,0.258
DIAMONDS THREE DIAMONDS FOUR,0.5958,0.0226,0.3816
CLUBS TWO SPADES FOUR,0.662,0.0246,0.3134
DIAMONDS THREE DIAMONDS FIVE,0.6078,0.0214,0.3708
CLUBS TWO SPADES FIVE,0.6478,0.024,0.3282
CLUBS TWO SPADES TWO,0.4706,0.0506,0.4788
CLUBS TWO SPADES THREE,0.6588,0.0258,0.3154
DIAMONDS THREE DIAMONDS EIGHT,0.6716,0.0752,0.2532
DIAMONDS THREE DIAMONDS NINE,0.626,0.0244,0.3496
SPADES NINE CLUBS TWO,0.6758,0.026,0.2982
DIAMONDS THREE DIAMONDS SIX,0.6202,0.0246,0.3552
SPADES SIX CLUBS TWO,0.6714,0.0264,0.3022
DIAMONDS THREE DIAMONDS SEVEN,0.6276,0.0196,0.3528
SPADES SEVEN CLUBS TWO,0.6952,0.0282,0.2766
CLUBS SIX CLUBS TWO,0.6362,0.024,0.3398
CLUBS SEVEN CLUBS TWO,0.6486,0.026,0.3254
CLUBS FOUR CLUBS TWO,0.6132,0.0266,0.3602
CLUBS FIVE CLUBS TWO,0.6076,0.0258,0.3666
CLUBS JACK CLUBS TEN,0.2768,0.0514,0.6718
DIAMONDS FOUR DIAMONDS SIX,0.6102,0.0278,0.362
CLUBS QUEEN CLUBS TEN,0.2838,0.0398,0.6764
DIAMONDS FOUR DIAMONDS SEVEN,0.6264,0.0268,0.3468
CLUBS KING CLUBS TEN,0.27,0.032,0.698
CLUBS ACE CLUBS TEN,0.3018,0.0198,0.6784
CLUBS EIGHT CLUBS TWO,0.671,0.0766,0.2524
DIAMONDS FIVE DIAMONDS FOUR,0.5884,0.0266,0.385
CLUBS NINE CLUBS TWO,0.6342,0.023,0.3428
DIAMONDS NINE DIAMONDS FOUR,0.6326,0.0194,0.348
DIAMONDS EIGHT DIAMONDS FOUR,0.6554,0.0758,0.2688
CLUBS TWO CLUBS THREE,0.6254,0.0272,0.3474
DIAMONDS NINE DIAMONDS FIVE,0.6212,0.0248,0.354
DIAMONDS TWO CLUBS JACK,0.4694,0.0174,0.5132
DIAMONDS EIGHT DIAMONDS FIVE,0.665,0.0724,0.2626
DIAMONDS TWO CLUBS TEN,0.5824,0.213,0.2046
DIAMONDS FIVE DIAMONDS SEVEN,0.6126,0.0244,0.363
DIAMONDS FIVE DIAMONDS SIX,0.6036,0.025,0.3714
DIAMONDS TWO CLUBS ACE,0.4514,0.003,0.5456
DIAMONDS TWO CLUBS KING,0.4778,0.0072,0.515
DIAMONDS TWO CLUBS QUEEN,0.4722,0.0106,0.5172
DIAMONDS EIGHT DIAMONDS SIX,0.6478,0.0752,0.277
DIAMONDS NINE DIAMONDS SIX,0.601,0.0228,0.3762
SPADES THREE HEARTS ACE,0.4552,0.0038,0.541
HEARTS KING SPADES THREE,0.4654,0.0076,0.527
DIAMONDS SEVEN DIAMONDS SIX,0.5986,0.026,0.3754
SPADES THREE HEARTS QUEEN,0.4622,0.0126,0.5252
SPADES THREE HEARTS JACK,0.4636,0.019,0.5174
SPADES THREE HEARTS TEN,0.5764,0.2124,0.2112
DIAMONDS EIGHT DIAMONDS SEVEN,0.6376,0.0718,0.2906
DIAMONDS NINE DIAMONDS SEVEN,0.5946,0.0214,0.384
DIAMONDS NINE DIAMONDS EIGHT,0.6526,0.0696,0.2778
DIAMONDS KING HEARTS TEN,0.2922,0.0322,0.6756
HEARTS THREE HEARTS TEN,0.5292,0.2076,0.2632
CLUBS SIX SPADES JACK,0.4538,0.0152,0.531
DIAMONDS KING HEARTS JACK,0.3916,0.0062,0.6022
HEARTS THREE HEARTS JACK,0.4564,0.0166,0.527
SPADES JACK SPADES FIVE,0.418,0.0204,0.5616
DIAMONDS KING HEARTS ACE,0.3948,0.004,0.6012
HEARTS THREE HEARTS ACE,0.4452,0.005,0.5498
SPADES ACE CLUBS SIX,0.4544,0.005,0.5406
DIAMONDS KING HEARTS QUEEN,0.3976,0.0038,0.5986
