opposingHand,winningChance,drawChance,lostChance
SPADES TEN SPADES FIVE
SPADES JACK HEARTS FIVE,0.2644,0.0568,0.6788
CLUBS EIGHT CLUBS JACK,0.3572,0.0168,0.626
CLUBS EIGHT CLUBS TEN,0.2634,0.1932,0.5434
CLUBS EIGHT CLUBS KING,0.3758,0.0074,0.6168
CLUBS EIGHT CLUBS QUEEN,0.3666,0.0092,0.6242
CLUBS EIGHT CLUBS ACE,0.3728,0.0044,0.6228
DIAMONDS TWO DIAMONDS THREE,0.5976,0.0284,0.374
DIAMONDS TWO DIAMONDS FIVE,0.6248,0.0802,0.295
SPADES KING HEARTS FIVE,0.2636,0.0388,0.6976
DIAMONDS TWO DIAMONDS FOUR,0.6022,0.0298,0.368
SPADES QUEEN HEARTS FIVE,0.2786,0.0456,0.6758
DIAMONDS TWO DIAMONDS SEVEN,0.6054,0.029,0.3656
DIAMONDS TWO DIAMONDS SIX,0.5954,0.0226,0.382
SPADES ACE HEARTS FIVE,0.265,0.0252,0.7098
DIAMONDS TWO DIAMONDS NINE,0.6056,0.0278,0.3666
DIAMONDS TWO DIAMONDS EIGHT,0.607,0.024,0.369
DIAMONDS THREE DIAMONDS FOUR,0.5862,0.0294,0.3844
CLUBS TWO SPADES FOUR,0.6442,0.033,0.3228
DIAMONDS THREE DIAMONDS FIVE,0.6268,0.0796,0.2936
CLUBS TWO SPADES TWO,0.4274,0.0648,0.5078
CLUBS TWO SPADES THREE,0.64,0.0342,0.3258
DIAMONDS THREE DIAMONDS EIGHT,0.6086,0.0274,0.364
SPADES EIGHT CLUBS TWO,0.6254,0.0282,0.3464
DIAMONDS THREE DIAMONDS NINE,0.5894,0.0248,0.3858
SPADES NINE CLUBS TWO,0.6194,0.0284,0.3522
DIAMONDS THREE DIAMONDS SIX,0.5928,0.026,0.3812
CLUBS TWO SPADES SIX,0.6352,0.0304,0.3344
DIAMONDS THREE DIAMONDS SEVEN,0.5876,0.0222,0.3902
SPADES SEVEN CLUBS TWO,0.6346,0.0238,0.3416
CLUBS SIX CLUBS TWO,0.618,0.023,0.359
CLUBS SEVEN CLUBS TWO,0.6008,0.0258,0.3734
CLUBS FOUR CLUBS TWO,0.6078,0.0268,0.3654
CLUBS FIVE CLUBS TWO,0.6314,0.0766,0.292
CLUBS JACK CLUBS TEN,0.2456,0.0474,0.707
DIAMONDS FOUR DIAMONDS SIX,0.5728,0.0268,0.4004
CLUBS QUEEN CLUBS TEN,0.2644,0.0426,0.693
DIAMONDS FOUR DIAMONDS SEVEN,0.5778,0.0274,0.3948
CLUBS KING CLUBS TEN,0.2602,0.0372,0.7026
CLUBS ACE CLUBS TEN,0.2578,0.0244,0.7178
CLUBS EIGHT CLUBS TWO,0.6072,0.0262,0.3666
DIAMONDS FIVE DIAMONDS FOUR,0.6198,0.0726,0.3076
CLUBS NINE CLUBS TWO,0.6008,0.0326,0.3666
DIAMONDS NINE DIAMONDS FOUR,0.6108,0.0234,0.3658
DIAMONDS EIGHT DIAMONDS FOUR,0.5936,0.0284,0.378
CLUBS TWO CLUBS THREE,0.6006,0.0282,0.3712
DIAMONDS NINE DIAMONDS FIVE,0.6414,0.0742,0.2844
DIAMONDS TWO CLUBS JACK,0.4344,0.0176,0.548
DIAMONDS EIGHT DIAMONDS FIVE,0.6338,0.0706,0.2956
DIAMONDS TWO CLUBS TEN,0.3516,0.4438,0.2046
DIAMONDS FIVE DIAMONDS SEVEN,0.628,0.07,0.302
DIAMONDS FIVE DIAMONDS SIX,0.6108,0.0748,0.3144
DIAMONDS TWO CLUBS ACE,0.431,0.0058,0.5632
DIAMONDS TWO CLUBS KING,0.418,0.0068,0.5752
DIAMONDS TWO CLUBS QUEEN,0.425,0.0124,0.5626
DIAMONDS EIGHT DIAMONDS SIX,0.55,0.027,0.423
DIAMONDS NINE DIAMONDS SIX,0.5544,0.0264,0.4192
SPADES THREE HEARTS ACE,0.4214,0.0048,0.5738
HEARTS KING SPADES THREE,0.4224,0.0104,0.5672
DIAMONDS SEVEN DIAMONDS SIX,0.5354,0.0248,0.4398
SPADES THREE HEARTS QUEEN,0.4364,0.0112,0.5524
SPADES THREE HEARTS JACK,0.4268,0.0176,0.5556
SPADES THREE HEARTS TEN,0.3482,0.442,0.2098
DIAMONDS EIGHT DIAMONDS SEVEN,0.5336,0.027,0.4394
DIAMONDS NINE DIAMONDS SEVEN,0.5516,0.0248,0.4236
DIAMONDS NINE DIAMONDS EIGHT,0.5218,0.0208,0.4574
DIAMONDS KING HEARTS TEN,0.2828,0.033,0.6842
HEARTS THREE HEARTS TEN,0.3284,0.4198,0.2518
CLUBS SIX SPADES JACK,0.3884,0.016,0.5956
DIAMONDS KING HEARTS JACK,0.3548,0.0062,0.639
HEARTS THREE HEARTS JACK,0.3992,0.0182,0.5826
DIAMONDS KING HEARTS ACE,0.379,0.0048,0.6162
HEARTS THREE HEARTS ACE,0.399,0.005,0.596
SPADES ACE CLUBS SIX,0.385,0.003,0.612
DIAMONDS KING HEARTS QUEEN,0.369,0.005,0.626
HEARTS THREE HEARTS QUEEN,0.4024,0.0122,0.5854
SPADES KING CLUBS SIX,0.3828,0.0056,0.6116
DIAMONDS KING HEARTS KING,0.167,0.0092,0.8238
HEARTS THREE HEARTS KING,0.4126,0.0084,0.579
SPADES QUEEN CLUBS SIX,0.3872,0.011,0.6018
SPADES NINE HEARTS TEN,0.253,0.1556,0.5914
SPADES NINE HEARTS JACK,0.3554,0.0166,0.628
SPADES NINE HEARTS QUEEN,0.3874,0.0086,0.604
SPADES NINE HEARTS KING,0.375,0.0094,0.6156
SPADES NINE HEARTS ACE,0.3866,0.0034,0.61
SPADES JACK CLUBS TEN,0.2578,0.0588,0.6834
SPADES ACE CLUBS TEN,0.2502,0.0284,0.7214
SPADES KING CLUBS TEN,0.2734,0.0358,0.6908
SPADES QUEEN CLUBS TEN,0.246,0.0504,0.7036
HEARTS THREE SPADES JACK,0.4182,0.0188,0.563
SPADES JACK DIAMONDS KING,0.3404,0.0078,0.6518
CLUBS EIGHT SPADES JACK,0.3714,0.0184,0.6102
SPADES ACE CLUBS EIGHT,0.378,0.0024,0.6196
HEARTS FIVE CLUBS JACK,0.2854,0.0606,0.654
CLUBS SIX HEARTS ACE,0.399,0.0026,0.5984
HEARTS FIVE CLUBS TEN,0.0704,0.9092,0.0204
CLUBS EIGHT SPADES QUEEN,0.3774,0.012,0.6106
SPADES THREE CLUBS TEN,0.3482,0.4396,0.2122
CLUBS SIX HEARTS QUEEN,0.3966,0.0088,0.5946
CLUBS EIGHT SPADES KING,0.4008,0.0082,0.591
SPADES THREE CLUBS JACK,0.4108,0.0178,0.5714
CLUBS SIX HEARTS KING,0.3896,0.0078,0.6026
DIAMONDS TWO HEARTS JACK,0.4174,0.0188,0.5638
SPADES THREE CLUBS QUEEN,0.4164,0.0128,0.5708
DIAMONDS TWO HEARTS TEN,0.3556,0.441,0.2034
SPADES THREE CLUBS KING,0.4384,0.0108,0.5508
HEARTS FIVE CLUBS ACE,0.291,0.023,0.686
SPADES THREE CLUBS ACE,0.412,0.0044,0.5836
HEARTS FIVE CLUBS KING,0.2858,0.0346,0.6796
HEARTS FIVE CLUBS QUEEN,0.2922,0.0438,0.664
HEARTS THREE CLUBS KING,0.43,0.0078,0.5622
DIAMONDS KING CLUBS KING,0.1844,0.0106,0.805
HEARTS THREE CLUBS QUEEN,0.4312,0.012,0.5568
DIAMONDS KING CLUBS QUEEN,0.3632,0.0082,0.6286
HEARTS FIVE HEARTS JACK,0.2768,0.0558,0.6674
HEARTS FIVE HEARTS TEN,0.0692,0.8596,0.0712
HEARTS THREE CLUBS ACE,0.4266,0.005,0.5684
DIAMONDS KING CLUBS ACE,0.3622,0.005,0.6328
SPADES ACE CLUBS QUEEN,0.3528,0.0048,0.6424
SPADES KING CLUBS QUEEN,0.3486,0.0058,0.6456
HEARTS THREE CLUBS JACK,0.4314,0.0168,0.5518
DIAMONDS KING CLUBS JACK,0.368,0.0066,0.6254
SPADES QUEEN CLUBS QUEEN,0.1798,0.0186,0.8016
HEARTS THREE CLUBS TEN,0.3546,0.4426,0.2028
DIAMONDS KING CLUBS TEN,0.27,0.0392,0.6908
SPADES JACK CLUBS QUEEN,0.3272,0.0116,0.6612
CLUBS SIX CLUBS QUEEN,0.3764,0.0114,0.6122
CLUBS SIX CLUBS KING,0.37,0.0092,0.6208
CLUBS SIX CLUBS ACE,0.376,0.0062,0.6178
HEARTS FIVE HEARTS KING,0.268,0.0368,0.6952
HEARTS FIVE HEARTS QUEEN,0.265,0.0432,0.6918
CLUBS SIX CLUBS TEN,0.2572,0.3332,0.4096
HEARTS FIVE HEARTS ACE,0.2832,0.0202,0.6966
CLUBS SIX CLUBS JACK,0.3766,0.0198,0.6036
SPADES SEVEN HEARTS JACK,0.392,0.0178,0.5902
SPADES SEVEN HEARTS TEN,0.2524,0.2836,0.464
DIAMONDS TWO CLUBS TWO,0.4316,0.0612,0.5072
DIAMONDS TWO CLUBS THREE,0.6442,0.032,0.3238
HEARTS SIX DIAMONDS TWO,0.6388,0.0294,0.3318
DIAMONDS TWO HEARTS QUEEN,0.43,0.0124,0.5576
DIAMONDS TWO HEARTS SEVEN,0.6502,0.0292,0.3206
DIAMONDS TWO HEARTS KING,0.437,0.0072,0.5558
DIAMONDS TWO HEARTS EIGHT,0.6538,0.026,0.3202
DIAMONDS TWO HEARTS ACE,0.4244,0.0058,0.5698
DIAMONDS TWO HEARTS NINE,0.6504,0.026,0.3236
DIAMONDS TWO DIAMONDS QUEEN,0.4098,0.0122,0.578
DIAMONDS TWO HEARTS TWO,0.4358,0.0622,0.502
DIAMONDS TWO DIAMONDS KING,0.3986,0.0092,0.5922
HEARTS THREE DIAMONDS TWO,0.6612,0.0248,0.314
DIAMONDS TWO DIAMONDS ACE,0.3992,0.005,0.5958
HEARTS FOUR DIAMONDS TWO,0.6334,0.0304,0.3362
DIAMONDS TWO HEARTS FIVE,0.671,0.0816,0.2474
SPADES SEVEN HEARTS ACE,0.3782,0.0058,0.616
DIAMONDS TWO DIAMONDS TEN,0.3526,0.4042,0.2432
SPADES SEVEN HEARTS KING,0.3902,0.0074,0.6024
DIAMONDS TWO DIAMONDS JACK,0.397,0.0168,0.5862
SPADES SEVEN HEARTS QUEEN,0.3886,0.011,0.6004
DIAMONDS TWO SPADES NINE,0.635,0.027,0.338
DIAMONDS TWO SPADES EIGHT,0.6426,0.0286,0.3288
DIAMONDS TWO SPADES SEVEN,0.6264,0.031,0.3426
DIAMONDS TWO SPADES SIX,0.6266,0.0312,0.3422
DIAMONDS TWO SPADES FOUR,0.6324,0.0366,0.331
DIAMONDS TWO SPADES THREE,0.6428,0.0348,0.3224
DIAMONDS TWO SPADES TWO,0.4306,0.0608,0.5086
CLUBS NINE DIAMONDS TWO,0.6308,0.031,0.3382
CLUBS EIGHT DIAMONDS TWO,0.6326,0.0282,0.3392
DIAMONDS TWO CLUBS SEVEN,0.64,0.0254,0.3346
CLUBS SIX DIAMONDS TWO,0.6262,0.032,0.3418
DIAMONDS TWO CLUBS FIVE,0.6664,0.0824,0.2512
DIAMONDS TWO CLUBS FOUR,0.6458,0.0268,0.3274
CLUBS FOUR SPADES FOUR,0.4226,0.0628,0.5146
CLUBS FOUR SPADES THREE,0.625,0.031,0.344
CLUBS FOUR SPADES TWO,0.6204,0.0296,0.35
SPADES NINE CLUBS FOUR,0.6388,0.0318,0.3294
CLUBS FOUR SPADES EIGHT,0.627,0.0256,0.3474
CLUBS FOUR SPADES SEVEN,0.6136,0.0292,0.3572
CLUBS FOUR SPADES SIX,0.5976,0.0316,0.3708
SPADES ACE DIAMONDS SIX,0.3868,0.0034,0.6098
SPADES QUEEN DIAMONDS SIX,0.3732,0.0106,0.6162
SPADES KING DIAMONDS SIX,0.3872,0.0084,0.6044
SPADES JACK DIAMONDS SIX,0.3776,0.0168,0.6056
SPADES QUEEN SPADES TWO,0.3844,0.0142,0.6014
SPADES KING SPADES TWO,0.3874,0.0114,0.6012
SPADES ACE SPADES TWO,0.377,0.007,0.616
DIAMONDS JACK CLUBS JACK,0.1846,0.0234,0.792
DIAMONDS JACK CLUBS TEN,0.2844,0.0532,0.6624
DIAMONDS JACK CLUBS KING,0.365,0.0054,0.6296
DIAMONDS JACK CLUBS QUEEN,0.3652,0.0086,0.6262
DIAMONDS THREE DIAMONDS JACK,0.4092,0.019,0.5718
DIAMONDS THREE DIAMONDS TEN,0.3296,0.4164,0.254
DIAMONDS JACK CLUBS ACE,0.361,0.0046,0.6344
DIAMONDS THREE DIAMONDS KING,0.4192,0.007,0.5738
HEARTS THREE DIAMONDS THREE,0.4336,0.0626,0.5038
DIAMONDS THREE DIAMONDS QUEEN,0.414,0.0118,0.5742
DIAMONDS THREE HEARTS TWO,0.6364,0.0278,0.3358
HEARTS FIVE DIAMONDS THREE,0.663,0.079,0.258
DIAMONDS THREE DIAMONDS ACE,0.4092,0.005,0.5858
HEARTS FOUR DIAMONDS THREE,0.6362,0.03,0.3338
DIAMONDS THREE HEARTS SEVEN,0.6262,0.0232,0.3506
HEARTS SIX DIAMONDS THREE,0.6272,0.0274,0.3454
SPADES JACK SPADES NINE,0.3126,0.0174,0.67
DIAMONDS THREE HEARTS NINE,0.6482,0.0264,0.3254
HEARTS JACK DIAMONDS FOUR,0.4348,0.0156,0.5496
HEARTS KING HEARTS ACE,0.345,0.006,0.649
DIAMONDS THREE HEARTS EIGHT,0.6282,0.0256,0.3462
HEARTS TEN DIAMONDS FOUR,0.3454,0.443,0.2116
SPADES JACK SPADES TWO,0.3758,0.0218,0.6024
HEARTS QUEEN DIAMONDS FOUR,0.4328,0.011,0.5562
HEARTS KING DIAMONDS FOUR,0.4256,0.0082,0.5662
SPADES ACE SPADES NINE,0.343,0.0074,0.6496
HEARTS ACE DIAMONDS FOUR,0.4268,0.0032,0.57
SPADES KING SPADES NINE,0.349,0.0078,0.6432
SPADES QUEEN SPADES NINE,0.331,0.011,0.658
DIAMONDS THREE SPADES NINE,0.65,0.0248,0.3252
DIAMONDS THREE SPADES EIGHT,0.6388,0.0264,0.3348
DIAMONDS THREE SPADES SEVEN,0.6342,0.0266,0.3392
DIAMONDS THREE SPADES SIX,0.6218,0.0264,0.3518
CLUBS SIX DIAMONDS THREE,0.6284,0.0266,0.345
CLUBS ACE DIAMONDS FOUR,0.4286,0.004,0.5674
CLUBS SIX CLUBS FIVE,0.612,0.077,0.311
CLUBS SEVEN CLUBS FIVE,0.6312,0.0738,0.295
CLUBS SEVEN DIAMONDS THREE,0.6352,0.0252,0.3396
DIAMONDS THREE CLUBS FOUR,0.6214,0.0288,0.3498
CLUBS QUEEN DIAMONDS FOUR,0.4326,0.0106,0.5568
DIAMONDS THREE CLUBS FIVE,0.6648,0.0806,0.2546
CLUBS KING DIAMONDS FOUR,0.4388,0.006,0.5552
DIAMONDS THREE CLUBS TWO,0.6494,0.0278,0.3228
DIAMONDS FOUR CLUBS TEN,0.3428,0.4406,0.2166
DIAMONDS THREE CLUBS THREE,0.4384,0.0598,0.5018
DIAMONDS FOUR CLUBS JACK,0.4096,0.0186,0.5718
DIAMONDS THREE SPADES FOUR,0.6286,0.028,0.3434
DIAMONDS THREE SPADES TWO,0.6492,0.0274,0.3234
DIAMONDS THREE SPADES THREE,0.4212,0.0636,0.5152
CLUBS EIGHT DIAMONDS THREE,0.6484,0.0208,0.3308
CLUBS NINE DIAMONDS THREE,0.6344,0.0246,0.341
SPADES SEVEN CLUBS ACE,0.4036,0.0042,0.5922
SPADES SEVEN CLUBS QUEEN,0.4008,0.0094,0.5898
SPADES SEVEN CLUBS KING,0.3928,0.0068,0.6004
CLUBS FIVE SPADES SEVEN,0.6666,0.0768,0.2566
SPADES SEVEN CLUBS TEN,0.2532,0.278,0.4688
CLUBS FIVE SPADES SIX,0.6624,0.0764,0.2612
SPADES SEVEN CLUBS JACK,0.3828,0.0184,0.5988
SPADES NINE CLUBS FIVE,0.6862,0.0752,0.2386
SPADES EIGHT CLUBS FIVE,0.6768,0.0736,0.2496
CLUBS FIVE SPADES THREE,0.662,0.0786,0.2594
CLUBS FIVE SPADES TWO,0.6678,0.0772,0.255
CLUBS FIVE SPADES FOUR,0.648,0.0754,0.2766
CLUBS NINE CLUBS FIVE,0.649,0.076,0.275
CLUBS EIGHT CLUBS FIVE,0.6242,0.0708,0.305
CLUBS ACE CLUBS QUEEN,0.3426,0.0046,0.6528
CLUBS KING CLUBS QUEEN,0.3472,0.006,0.6468
DIAMONDS TEN DIAMONDS FOUR,0.3396,0.409,0.2514
DIAMONDS NINE CLUBS TEN,0.2798,0.1608,0.5594
DIAMONDS JACK DIAMONDS FOUR,0.407,0.0202,0.5728
DIAMONDS NINE CLUBS JACK,0.3802,0.0166,0.6032
SPADES NINE CLUBS JACK,0.3638,0.016,0.6202
SPADES NINE CLUBS TEN,0.2532,0.1582,0.5886
DIAMONDS ACE DIAMONDS FOUR,0.3966,0.0044,0.599
HEARTS FOUR DIAMONDS FOUR,0.4144,0.0638,0.5218
DIAMONDS JACK HEARTS TEN,0.281,0.0526,0.6664
SPADES NINE CLUBS KING,0.377,0.0058,0.6172
DIAMONDS NINE CLUBS ACE,0.3928,0.0044,0.6028
HEARTS FIVE DIAMONDS FOUR,0.6488,0.077,0.2742
HEARTS JACK DIAMONDS JACK,0.1844,0.02,0.7956
SPADES NINE CLUBS QUEEN,0.3694,0.0116,0.619
DIAMONDS TWO SPADES JACK,0.4296,0.0166,0.5538
DIAMONDS QUEEN DIAMONDS FOUR,0.3998,0.0122,0.588
HEARTS TWO DIAMONDS FOUR,0.644,0.0296,0.3264
DIAMONDS NINE CLUBS QUEEN,0.388,0.0114,0.6006
DIAMONDS KING DIAMONDS FOUR,0.4058,0.008,0.5862
HEARTS THREE DIAMONDS FOUR,0.6128,0.0332,0.354
SPADES NINE CLUBS ACE,0.3832,0.004,0.6128
