opposingHand,winningChance,drawChance,lostChance
SPADES TEN SPADES FOUR
SPADES JACK HEARTS FIVE,0.3772,0.0218,0.601
SPADES FIVE CLUBS JACK,0.3904,0.021,0.5886
SPADES FIVE CLUBS TEN,0.2516,0.444,0.3044
CLUBS EIGHT CLUBS JACK,0.3528,0.0162,0.631
CLUBS EIGHT CLUBS TEN,0.2614,0.1996,0.539
CLUBS EIGHT CLUBS KING,0.3892,0.0074,0.6034
SPADES FIVE CLUBS ACE,0.3908,0.0064,0.6028
CLUBS EIGHT CLUBS QUEEN,0.366,0.0092,0.6248
SPADES FIVE CLUBS KING,0.3788,0.0102,0.611
SPADES FIVE CLUBS QUEEN,0.3914,0.0154,0.5932
CLUBS EIGHT CLUBS ACE,0.3776,0.0054,0.617
DIAMONDS TWO DIAMONDS THREE,0.6012,0.0254,0.3734
DIAMONDS TWO DIAMONDS FIVE,0.5894,0.0224,0.3882
SPADES KING HEARTS FIVE,0.4022,0.0072,0.5906
DIAMONDS TWO DIAMONDS FOUR,0.6316,0.078,0.2904
SPADES QUEEN HEARTS FIVE,0.38,0.0126,0.6074
DIAMONDS TWO DIAMONDS SEVEN,0.5958,0.028,0.3762
DIAMONDS TWO DIAMONDS SIX,0.5922,0.0284,0.3794
SPADES ACE HEARTS FIVE,0.3904,0.004,0.6056
DIAMONDS TWO DIAMONDS NINE,0.5918,0.0278,0.3804
DIAMONDS TWO DIAMONDS EIGHT,0.6068,0.0232,0.37
DIAMONDS THREE DIAMONDS FOUR,0.6162,0.0768,0.307
DIAMONDS THREE DIAMONDS FIVE,0.579,0.0278,0.3932
CLUBS TWO SPADES FIVE,0.6052,0.031,0.3638
CLUBS TWO SPADES TWO,0.4216,0.0666,0.5118
CLUBS TWO SPADES THREE,0.6402,0.0346,0.3252
DIAMONDS THREE DIAMONDS EIGHT,0.6032,0.0256,0.3712
SPADES EIGHT CLUBS TWO,0.6416,0.0294,0.329
DIAMONDS THREE DIAMONDS NINE,0.6038,0.0268,0.3694
SPADES NINE CLUBS TWO,0.6412,0.028,0.3308
DIAMONDS THREE DIAMONDS SIX,0.5832,0.0238,0.393
CLUBS TWO SPADES SIX,0.6278,0.0302,0.342
DIAMONDS THREE DIAMONDS SEVEN,0.601,0.0262,0.3728
SPADES SEVEN CLUBS TWO,0.6472,0.0288,0.324
CLUBS SIX CLUBS TWO,0.586,0.028,0.386
CLUBS SEVEN CLUBS TWO,0.605,0.0262,0.3688
CLUBS FOUR CLUBS TWO,0.6238,0.0834,0.2928
CLUBS FIVE CLUBS TWO,0.5904,0.0254,0.3842
CLUBS JACK CLUBS TEN,0.2656,0.0492,0.6852
DIAMONDS FOUR DIAMONDS SIX,0.6142,0.07,0.3158
CLUBS QUEEN CLUBS TEN,0.2552,0.0402,0.7046
DIAMONDS FOUR DIAMONDS SEVEN,0.636,0.0716,0.2924
CLUBS KING CLUBS TEN,0.2716,0.0304,0.698
CLUBS ACE CLUBS TEN,0.2544,0.0234,0.7222
CLUBS EIGHT CLUBS TWO,0.599,0.0288,0.3722
DIAMONDS FIVE DIAMONDS FOUR,0.6048,0.079,0.3162
CLUBS NINE CLUBS TWO,0.5972,0.0284,0.3744
DIAMONDS NINE DIAMONDS FOUR,0.6634,0.0702,0.2664
DIAMONDS EIGHT DIAMONDS FOUR,0.6382,0.0768,0.285
CLUBS TWO CLUBS THREE,0.6036,0.0274,0.369
DIAMONDS NINE DIAMONDS FIVE,0.5638,0.0274,0.4088
DIAMONDS TWO CLUBS JACK,0.425,0.017,0.558
DIAMONDS EIGHT DIAMONDS FIVE,0.5664,0.0248,0.4088
