opposingHand,winningChance,drawChance,lostChance
SPADES TEN SPADES NINE
SPADES JACK HEARTS FIVE,0.4636,0.0164,0.52
SPADES FIVE CLUBS JACK,0.485,0.0162,0.4988
SPADES FIVE CLUBS TEN,0.6212,0.165,0.2138
CLUBS EIGHT CLUBS JACK,0.4304,0.0136,0.556
CLUBS EIGHT CLUBS TEN,0.5902,0.1548,0.255
CLUBS EIGHT CLUBS KING,0.4498,0.007,0.5432
SPADES FIVE CLUBS ACE,0.463,0.0056,0.5314
CLUBS EIGHT CLUBS QUEEN,0.4506,0.0086,0.5408
SPADES FIVE CLUBS KING,0.48,0.0086,0.5114
SPADES FIVE CLUBS QUEEN,0.4726,0.0148,0.5126
CLUBS EIGHT CLUBS ACE,0.4246,0.0042,0.5712
DIAMONDS TWO DIAMONDS THREE,0.6274,0.0234,0.3492
DIAMONDS TWO DIAMONDS FIVE,0.6276,0.0208,0.3516
SPADES KING HEARTS FIVE,0.4774,0.0068,0.5158
DIAMONDS TWO DIAMONDS FOUR,0.6128,0.024,0.3632
SPADES QUEEN HEARTS FIVE,0.4764,0.0094,0.5142
DIAMONDS TWO DIAMONDS SEVEN,0.6452,0.0242,0.3306
DIAMONDS TWO DIAMONDS SIX,0.6436,0.0188,0.3376
SPADES ACE HEARTS FIVE,0.4492,0.0032,0.5476
DIAMONDS TWO DIAMONDS NINE,0.6692,0.069,0.2618
DIAMONDS TWO DIAMONDS EIGHT,0.6568,0.0236,0.3196
DIAMONDS THREE DIAMONDS FOUR,0.6068,0.0174,0.3758
CLUBS TWO SPADES FOUR,0.6622,0.0226,0.3152
DIAMONDS THREE DIAMONDS FIVE,0.5984,0.0208,0.3808
CLUBS TWO SPADES FIVE,0.6666,0.0262,0.3072
CLUBS TWO SPADES TWO,0.4804,0.0488,0.4708
CLUBS TWO SPADES THREE,0.6704,0.027,0.3026
DIAMONDS THREE DIAMONDS EIGHT,0.656,0.0192,0.3248
SPADES EIGHT CLUBS TWO,0.6918,0.0206,0.2876
DIAMONDS THREE DIAMONDS NINE,0.6648,0.0696,0.2656
DIAMONDS THREE DIAMONDS SIX,0.6344,0.0212,0.3444
SPADES SIX CLUBS TWO,0.6744,0.0234,0.3022
DIAMONDS THREE DIAMONDS SEVEN,0.6278,0.0228,0.3494
SPADES SEVEN CLUBS TWO,0.679,0.027,0.294
CLUBS SIX CLUBS TWO,0.6496,0.0216,0.3288
CLUBS SEVEN CLUBS TWO,0.6488,0.0226,0.3286
CLUBS FOUR CLUBS TWO,0.6162,0.0202,0.3636
CLUBS FIVE CLUBS TWO,0.6254,0.0266,0.348
CLUBS JACK CLUBS TEN,0.2782,0.0494,0.6724
DIAMONDS FOUR DIAMONDS SIX,0.6158,0.0244,0.3598
CLUBS QUEEN CLUBS TEN,0.2916,0.0396,0.6688
DIAMONDS FOUR DIAMONDS SEVEN,0.6278,0.0208,0.3514
CLUBS KING CLUBS TEN,0.284,0.0342,0.6818
CLUBS ACE CLUBS TEN,0.2892,0.023,0.6878
CLUBS EIGHT CLUBS TWO,0.653,0.0246,0.3224
