opposingHand,winningChance,drawChance,lostChance
SPADES THREE DIAMONDS QUEEN
HEARTS FIVE SPADES TEN,0.6036,0.0124,0.384
HEARTS FIVE SPADES JACK,0.595,0.0102,0.3948
SPADES FIVE CLUBS JACK,0.5932,0.0108,0.396
CLUBS TEN SPADES FIVE,0.6056,0.0118,0.3826
CLUBS EIGHT CLUBS JACK,0.5376,0.0088,0.4536
CLUBS TEN CLUBS EIGHT,0.5164,0.0096,0.474
CLUBS EIGHT CLUBS KING,0.3334,0.0048,0.6618
SPADES FIVE CLUBS ACE,0.3382,0.005,0.6568
CLUBS EIGHT CLUBS QUEEN,0.215,0.2098,0.5752
SPADES FIVE CLUBS KING,0.3578,0.0094,0.6328
SPADES FIVE CLUBS QUEEN,0.213,0.4684,0.3186
CLUBS EIGHT CLUBS ACE,0.3282,0.0036,0.6682
DIAMONDS TWO DIAMONDS THREE,0.6804,0.0402,0.2794
DIAMONDS TWO DIAMONDS FIVE,0.58,0.017,0.403
HEARTS FIVE SPADES KING,0.356,0.0076,0.6364
DIAMONDS TWO DIAMONDS FOUR,0.5868,0.0142,0.399
HEARTS FIVE SPADES QUEEN,0.209,0.4742,0.3168
DIAMONDS TWO DIAMONDS SEVEN,0.6058,0.015,0.3792
DIAMONDS TWO DIAMONDS SIX,0.598,0.018,0.384
SPADES ACE HEARTS FIVE,0.351,0.0048,0.6442
DIAMONDS TWO DIAMONDS NINE,0.5984,0.0146,0.387
DIAMONDS TWO DIAMONDS EIGHT,0.6012,0.0124,0.3864
DIAMONDS THREE DIAMONDS FOUR,0.658,0.0452,0.2968
CLUBS TWO SPADES FOUR,0.6152,0.0138,0.371
DIAMONDS THREE DIAMONDS FIVE,0.6492,0.0388,0.312
SPADES FIVE CLUBS TWO,0.6072,0.0158,0.377
CLUBS TWO SPADES TWO,0.4142,0.0408,0.545
DIAMONDS THREE DIAMONDS EIGHT,0.6846,0.0444,0.271
SPADES EIGHT CLUBS TWO,0.6268,0.014,0.3592
DIAMONDS THREE DIAMONDS NINE,0.6928,0.0434,0.2638
SPADES NINE CLUBS TWO,0.619,0.0144,0.3666
DIAMONDS THREE DIAMONDS SIX,0.6744,0.04,0.2856
SPADES SIX CLUBS TWO,0.6188,0.0144,0.3668
DIAMONDS THREE DIAMONDS SEVEN,0.6758,0.038,0.2862
SPADES SEVEN CLUBS TWO,0.6254,0.0158,0.3588
CLUBS SIX CLUBS TWO,0.5774,0.012,0.4106
CLUBS SEVEN CLUBS TWO,0.597,0.013,0.39
CLUBS FOUR CLUBS TWO,0.57,0.0136,0.4164
CLUBS FIVE CLUBS TWO,0.5772,0.0122,0.4106
CLUBS TEN CLUBS JACK,0.506,0.0084,0.4856
DIAMONDS FOUR DIAMONDS SIX,0.5454,0.0158,0.4388
CLUBS TEN CLUBS QUEEN,0.226,0.1076,0.6664
DIAMONDS FOUR DIAMONDS SEVEN,0.557,0.0148,0.4282
CLUBS TEN CLUBS KING,0.3172,0.0054,0.6774
CLUBS TEN CLUBS ACE,0.3066,0.0046,0.6888
CLUBS EIGHT CLUBS TWO,0.5904,0.0114,0.3982
DIAMONDS FIVE DIAMONDS FOUR,0.5476,0.0156,0.4368
CLUBS NINE CLUBS TWO,0.5926,0.0134,0.394
