opposingHand,winningChance,drawChance,lostChance
SPADES THREE DIAMONDS SIX
HEARTS FIVE SPADES TEN,0.356,0.0324,0.6116
HEARTS FIVE SPADES JACK,0.3594,0.022,0.6186
SPADES FIVE CLUBS JACK,0.3594,0.0214,0.6192
CLUBS TEN SPADES FIVE,0.3702,0.034,0.5958
CLUBS EIGHT CLUBS JACK,0.31,0.0164,0.6736
CLUBS TEN CLUBS EIGHT,0.3038,0.024,0.6722
CLUBS EIGHT CLUBS KING,0.3204,0.0074,0.6722
SPADES FIVE CLUBS ACE,0.3576,0.0036,0.6388
CLUBS EIGHT CLUBS QUEEN,0.321,0.0084,0.6706
SPADES FIVE CLUBS KING,0.373,0.0066,0.6204
SPADES FIVE CLUBS QUEEN,0.3598,0.0126,0.6276
CLUBS EIGHT CLUBS ACE,0.3286,0.0054,0.666
DIAMONDS TWO DIAMONDS THREE,0.4686,0.2632,0.2682
DIAMONDS TWO DIAMONDS FIVE,0.4758,0.1506,0.3736
HEARTS FIVE SPADES KING,0.3624,0.0074,0.6302
DIAMONDS TWO DIAMONDS FOUR,0.475,0.1488,0.3762
HEARTS FIVE SPADES QUEEN,0.3614,0.0128,0.6258
DIAMONDS TWO DIAMONDS SEVEN,0.3878,0.1042,0.508
SPADES ACE HEARTS FIVE,0.3618,0.0052,0.633
DIAMONDS TWO DIAMONDS NINE,0.3786,0.0486,0.5728
DIAMONDS TWO DIAMONDS EIGHT,0.376,0.065,0.559
DIAMONDS THREE DIAMONDS FOUR,0.4568,0.2612,0.282
CLUBS TWO SPADES FOUR,0.4978,0.1582,0.344
DIAMONDS THREE DIAMONDS FIVE,0.4558,0.2658,0.2784
SPADES FIVE CLUBS TWO,0.4908,0.1722,0.337
CLUBS TWO SPADES TWO,0.3422,0.1396,0.5182
DIAMONDS THREE DIAMONDS EIGHT,0.2428,0.134,0.6232
SPADES EIGHT CLUBS TWO,0.4028,0.0646,0.5326
DIAMONDS THREE DIAMONDS NINE,0.254,0.1002,0.6458
SPADES NINE CLUBS TWO,0.4026,0.0418,0.5556
SPADES SIX CLUBS TWO,0.265,0.526,0.209
DIAMONDS THREE DIAMONDS SEVEN,0.2428,0.1906,0.5666
SPADES SEVEN CLUBS TWO,0.392,0.1006,0.5074
CLUBS SIX CLUBS TWO,0.2618,0.4858,0.2524
CLUBS SEVEN CLUBS TWO,0.3828,0.1024,0.5148
CLUBS FOUR CLUBS TWO,0.463,0.1538,0.3832
CLUBS FIVE CLUBS TWO,0.4496,0.1534,0.397
CLUBS TEN CLUBS JACK,0.3268,0.0138,0.6594
CLUBS TEN CLUBS QUEEN,0.318,0.0084,0.6736
DIAMONDS FOUR DIAMONDS SEVEN,0.3332,0.0984,0.5684
CLUBS TEN CLUBS KING,0.3092,0.0072,0.6836
CLUBS TEN CLUBS ACE,0.3246,0.003,0.6724
CLUBS EIGHT CLUBS TWO,0.3666,0.067,0.5664
DIAMONDS FIVE DIAMONDS FOUR,0.424,0.1554,0.4206
CLUBS NINE CLUBS TWO,0.3808,0.0446,0.5746
DIAMONDS NINE DIAMONDS FOUR,0.3684,0.0394,0.5922
DIAMONDS FOUR DIAMONDS EIGHT,0.3394,0.0654,0.5952
CLUBS THREE CLUBS TWO,0.4622,0.251,0.2868
DIAMONDS NINE DIAMONDS FIVE,0.3596,0.0428,0.5976
