opposingHand,winningChance,drawChance,lostChance
SPADES TWO HEARTS QUEEN
HEARTS FIVE SPADES TEN,0.5876,0.0128,0.3996
SPADES JACK HEARTS FIVE,0.6042,0.0106,0.3852
SPADES FIVE CLUBS JACK,0.579,0.014,0.407
CLUBS TEN SPADES FIVE,0.586,0.0134,0.4006
CLUBS EIGHT CLUBS JACK,0.5258,0.0116,0.4626
CLUBS TEN CLUBS EIGHT,0.51,0.011,0.479
CLUBS EIGHT CLUBS KING,0.3382,0.0084,0.6534
SPADES FIVE CLUBS ACE,0.3366,0.004,0.6594
CLUBS EIGHT CLUBS QUEEN,0.2148,0.215,0.5702
SPADES FIVE CLUBS KING,0.3524,0.0068,0.6408
SPADES FIVE CLUBS QUEEN,0.2106,0.462,0.3274
CLUBS EIGHT CLUBS ACE,0.327,0.0042,0.6688
DIAMONDS TWO DIAMONDS THREE,0.6582,0.038,0.3038
DIAMONDS TWO DIAMONDS FIVE,0.6514,0.0356,0.313
SPADES KING HEARTS FIVE,0.351,0.0108,0.6382
DIAMONDS TWO DIAMONDS FOUR,0.6604,0.0358,0.3038
SPADES QUEEN HEARTS FIVE,0.2084,0.4662,0.3254
DIAMONDS TWO DIAMONDS SEVEN,0.681,0.033,0.286
DIAMONDS TWO DIAMONDS SIX,0.6644,0.0382,0.2974
SPADES ACE HEARTS FIVE,0.347,0.007,0.646
DIAMONDS TWO DIAMONDS NINE,0.6786,0.0372,0.2842
DIAMONDS TWO DIAMONDS EIGHT,0.6676,0.0404,0.292
DIAMONDS THREE DIAMONDS FOUR,0.5366,0.017,0.4464
CLUBS TWO SPADES FOUR,0.7042,0.034,0.2618
DIAMONDS THREE DIAMONDS FIVE,0.5392,0.0148,0.446
SPADES FIVE CLUBS TWO,0.7052,0.0376,0.2572
CLUBS TWO SPADES THREE,0.6894,0.0436,0.267
DIAMONDS THREE DIAMONDS EIGHT,0.5568,0.012,0.4312
SPADES EIGHT CLUBS TWO,0.7186,0.0368,0.2446
DIAMONDS THREE DIAMONDS NINE,0.5582,0.0122,0.4296
SPADES NINE CLUBS TWO,0.7116,0.0428,0.2456
DIAMONDS THREE DIAMONDS SIX,0.5352,0.0126,0.4522
SPADES SIX CLUBS TWO,0.7046,0.0332,0.2622
DIAMONDS THREE DIAMONDS SEVEN,0.5528,0.0156,0.4316
SPADES SEVEN CLUBS TWO,0.726,0.035,0.239
CLUBS SIX CLUBS TWO,0.6638,0.0332,0.303
CLUBS SEVEN CLUBS TWO,0.6762,0.0334,0.2904
